ANMOIS;LSN_SEG;LSN_FSC;LSN_1;LSN_2;LSN_2_CONT;LSN_PEQ;LSN_PEQKT;LSN_PAX;LSN_PKT;LSN_FRP;LSN_TKT;LSN_DRT
199701;INTL;MET_INTL;MÉTROPOLE;AFRIQUE DU SUD;AFRIQUE;18457;163910186,54;10771;95880846;768,6;6802934,054;95
199701;INTL;MET_INTL;MÉTROPOLE;AFRIQUE_AUTRE;AFRIQUE;36634;202272143,91;21805;120908642;1482,9;8136350,191;339
199701;INTL;MET_INTL;MÉTROPOLE;ALGÉRIE;AFRIQUE;64449;63361311,49;61357;60507391;309,2;285392,049;466
199701;INTL;MET_INTL;MÉTROPOLE;ALLEMAGNE;EUROPE;340830;192874808,31;288754;164792137;5207,6;2808267,131;7837
199701;INTL;MET_INTL;MÉTROPOLE;AMÉRIQUE_AUTRE;AMÉRIQUE;13937;128778473,43;10131;86332026;380,6;4244644,743;114
199701;INTL;MET_INTL;MÉTROPOLE;ARABIE SAOUDITE;ASIE;19733;90723765,36;8768;39840853;1096,5;5088291,236;147
199701;INTL;MET_INTL;MÉTROPOLE;ARGENTINE;AMÉRIQUE;14953;166160020,18;7796;86636948;715,7;7952307,218;81
199701;INTL;MET_INTL;MÉTROPOLE;ASIE_AUTRE;ASIE;10615;53928613,27;6441;34270854;417,3;1965775,927;137
199701;INTL;MET_INTL;MÉTROPOLE;AUTRICHE;EUROPE;37330;36898918,88;35810;35361015;151,9;153790,388;1077
199701;INTL;MET_INTL;MÉTROPOLE;BELGIQUE;EUROPE;91289;46191710,54;77718;38675462;1357,1;751624,854;2767
199701;INTL;MET_INTL;MÉTROPOLE;BENIN;AFRIQUE;6564;31120465,36;4211;19946902;235,3;1117356,336;43
199701;INTL;MET_INTL;MÉTROPOLE;BRÉSIL;AMÉRIQUE;37787;352809028,08;20254;188520732;1753,3;16428829,608;254
199701;INTL;MET_INTL;MÉTROPOLE;BURKINA FASO;AFRIQUE;12910;50884189,31;5173;21129885;773,7;2975430,431;110
199701;INTL;MET_INTL;MÉTROPOLE;CAMEROUN;AFRIQUE;16069;81122099,24;9013;45626951;705,6;3549514,824;86
199701;INTL;MET_INTL;MÉTROPOLE;CANADA;AMÉRIQUE;93013;525406651,82;54439;307460414;3857,4;21794623,782;268
199701;INTL;MET_INTL;MÉTROPOLE;CHINE;ASIE;22858;194953422,78;10028;83954464;1283;11099895,878;97
199701;INTL;MET_INTL;MÉTROPOLE;COLOMBIE;AMÉRIQUE;11740;101590005,55;7444;64427769;429,6;3716223,655;63
199701;INTL;MET_INTL;MÉTROPOLE;CONGO-BRAZZAVILLE (RÉP.);AFRIQUE;5037;30506785,4;3278;19848290;175,9;1065849,54;47
199701;INTL;MET_INTL;MÉTROPOLE;CORÉE DU SUD;ASIE;31564;282340069,45;15526;138880070;1603,8;14345999,945;77
199701;INTL;MET_INTL;MÉTROPOLE;"CÔTE D'IVOIRE";AFRIQUE;28864;139830547,3;19814;96216722;905;4361382,53;208
199701;INTL;MET_INTL;MÉTROPOLE;CUBA;AMÉRIQUE;15154;116915004,82;13467;103881996;168,7;1303300,882;69
199701;INTL;MET_INTL;MÉTROPOLE;DANEMARK;EUROPE;45529;47906674,85;42844;45228054;268,5;267862,085;791
199701;INTL;MET_INTL;MÉTROPOLE;DJIBOUTI;AFRIQUE;5078;28403787,54;3372;18863375;170,6;954041,254;41
199701;INTL;MET_INTL;MÉTROPOLE;DOMINICAINE (RÉP.);AMÉRIQUE;16901;122169101,3;16441;118864374;46;330472,73;65
199701;INTL;MET_INTL;MÉTROPOLE;EGYPTE;AFRIQUE;59284;197633551,06;45974;154883460;1331;4275009,106;449
199701;INTL;MET_INTL;MÉTROPOLE;EMIRATS ARABES UNIS;ASIE;31705;165363508,12;10717;55607727;2098,8;10975578,112;288
199701;INTL;MET_INTL;MÉTROPOLE;ESPAGNE;EUROPE;212066;264388355,36;203870;255963828;819,5;842452,736;4758
199701;INTL;MET_INTL;MÉTROPOLE;ETATS-UNIS;AMÉRIQUE;491140;3393913334,3;263149;1818708458;22799,1;157520487,63;2403
199701;INTL;MET_INTL;MÉTROPOLE;EUROPE_AUTRE;EUROPE;25806;50258541,37;22093;39221952;371,3;1103658,937;430
199701;INTL;MET_INTL;MÉTROPOLE;FINLANDE;EUROPE;13852;26437719;12377;23640067;147,5;279765,2;198
199701;INTL;MET_INTL;MÉTROPOLE;GABON;AFRIQUE;15131;81773657,23;7935;42698795;719,6;3907486,223;87
199701;INTL;MET_INTL;MÉTROPOLE;GRÈCE;EUROPE;25642;53442270,09;23391;48711109;225,1;473116,109;280
199701;INTL;MET_INTL;MÉTROPOLE;HONG KONG (CHINE);ASIE;63390;608681300,1;29052;278899200;3433,8;32978210,01;167
199701;INTL;MET_INTL;MÉTROPOLE;HONGRIE;EUROPE;10190;12727108,95;9698;12111914;49,2;61519,495;211
199701;INTL;MET_INTL;MÉTROPOLE;INDE;ASIE;41228;289180782,22;15681;105613285;2554,7;18356749,722;188
199701;INTL;MET_INTL;MÉTROPOLE;INDONÉSIE;ASIE;6176;72598447,35;3593;41870292;258,3;3072815,535;79
199701;INTL;MET_INTL;MÉTROPOLE;IRAN;ASIE;5109;21453335,53;3175;13331255;193,4;812208,053;34
199701;INTL;MET_INTL;MÉTROPOLE;IRLANDE;EUROPE;43651;38448036,09;40443;35769185;320,8;267885,109;455
199701;INTL;MET_INTL;MÉTROPOLE;ISRAËL;ASIE;52654;172128392,39;43984;143646655;867;2848173,739;295
199701;INTL;MET_INTL;MÉTROPOLE;ITALIE;EUROPE;285615;235080227,49;266743;220245823;1887,2;1483440,449;6002
199701;INTL;MET_INTL;MÉTROPOLE;JAPON;ASIE;135406;1313389217,62;86141;835531178;4926,5;47785803,962;402
199701;INTL;MET_INTL;MÉTROPOLE;JORDANIE;ASIE;5582;18781074,5;3421;11511665;216,1;726940,95;54
199701;INTL;MET_INTL;MÉTROPOLE;KENYA;AFRIQUE;27216;179708297,55;19531;129806166;768,5;4990213,155;165
199701;INTL;MET_INTL;MÉTROPOLE;KOWEÏT;ASIE;7750;34179733,3;1963;8656830;578,7;2552290,33;62
199701;INTL;MET_INTL;MÉTROPOLE;LIBAN;ASIE;20637;65716246,72;14041;44671751;659,6;2104449,572;139
