ANMOIS;LSN_SEG;LSN_FSC;LSN_1;LSN_2;LSN_2_CONT;LSN_PEQ;LSN_PEQKT;LSN_PAX;LSN_PKT;LSN_FRP;LSN_TKT;LSN_DRT
202001;INTL;MET_INTL;MÉTROPOLE;AFRIQUE DU SUD;AFRIQUE;42101;374940391,18;36818;327861450;528,3;4707894,118;97
202001;INTL;MET_INTL;MÉTROPOLE;AFRIQUE_AUTRE;AFRIQUE;14416;70653105,17;11628;56498654;278,8;1415445,117;146
202001;INTL;MET_INTL;MÉTROPOLE;ALGÉRIE;AFRIQUE;335417;414031983,93;314971;386420489;2044,6;2761149,493;2566
202001;INTL;MET_INTL;MÉTROPOLE;ALLEMAGNE;EUROPE;891920;602609573,31;622172;429700752;26974,8;17290882,131;8451
202001;INTL;MET_INTL;MÉTROPOLE;AMÉRIQUE_AUTRE;AMÉRIQUE;3480;25274605,2;3320;24095373;16;117923,22;28
202001;INTL;MET_INTL;MÉTROPOLE;ANGOLA;AFRIQUE;7531;49148219,64;5669;36995894;186,1;1215232,564;27
202001;INTL;MET_INTL;MÉTROPOLE;ARABIE SAOUDITE;ASIE;37926;172299280,36;25660;116678241;1226,6;5562103,936;169
202001;INTL;MET_INTL;MÉTROPOLE;ARGENTINE;AMÉRIQUE;18197;202224372,3;16102;178941526;209,5;2328284,63;60
202001;INTL;MET_INTL;MÉTROPOLE;ASIE_AUTRE;ASIE;3721;15666975,81;2567;10778833;115,4;488814,281;20
202001;INTL;MET_INTL;MÉTROPOLE;AUTRICHE;EUROPE;107162;106066280,22;99414;98032371;774,8;803390,922;1041
202001;INTL;MET_INTL;MÉTROPOLE;BAHREÏN;ASIE;6167;29766098,87;5618;27116993;54,9;264910,587;64
202001;INTL;MET_INTL;MÉTROPOLE;BELGIQUE;EUROPE;176853;117328560,91;145820;101763160;3103,2;1556540,091;1917
202001;INTL;MET_INTL;MÉTROPOLE;BENIN;AFRIQUE;9175;43562605,12;7961;37798818;121,4;576378,712;45
202001;INTL;MET_INTL;MÉTROPOLE;BIÉLORUSSIE;EUROPE;7040;12939356,26;6969;12807443;7,1;13191,326;87
202001;INTL;MET_INTL;MÉTROPOLE;BRÉSIL;AMÉRIQUE;124906;1146625228,33;87388;799363338;3751,8;34726189,033;304
202001;INTL;MET_INTL;MÉTROPOLE;BULGARIE;EUROPE;22218;38072237,96;21797;37337003;42,1;73523,496;179
202001;INTL;MET_INTL;MÉTROPOLE;BURKINA FASO;AFRIQUE;8342;34181132,36;5877;24076202;246,5;1010493,036;66
202001;INTL;MET_INTL;MÉTROPOLE;CAMEROUN;AFRIQUE;20267;102980183,3;16891;85854587;337,6;1712559,63;118
202001;INTL;MET_INTL;MÉTROPOLE;CANADA;AMÉRIQUE;181055;1045310054,73;144023;832216606;3703,2;21309344,873;504
202001;INTL;MET_INTL;MÉTROPOLE;CAP VERT;AFRIQUE;11172;47839693,75;8617;37114498;255,5;1072519,575;104
202001;INTL;MET_INTL;MÉTROPOLE;CHILI;AMÉRIQUE;31683;370233281,08;25952;303275072;573,1;6695820,908;89
202001;INTL;MET_INTL;MÉTROPOLE;CHINE;ASIE;428343;3810462965,81;167336;1496434368;26100,7;231402859,781;769
202001;INTL;MET_INTL;MÉTROPOLE;COLOMBIE;AMÉRIQUE;18429;159508361,1;15285;132291675;314,4;2721668,61;62
202001;INTL;MET_INTL;MÉTROPOLE;CONGO-BRAZZAVILLE (RÉP.);AFRIQUE;11030;66815353,45;8754;53025126;227,6;1379022,745;101
202001;INTL;MET_INTL;MÉTROPOLE;CONGO-KINSHASA (RÉP. DÉM.);AFRIQUE;7158;43477266,82;5449;33097226;170,9;1038004,082;62
202001;INTL;MET_INTL;MÉTROPOLE;CORÉE DU SUD;ASIE;103536;925325890,07;53200;475448400;5033,6;44987749,007;195
202001;INTL;MET_INTL;MÉTROPOLE;COSTA RICA;AMÉRIQUE;13546;121177467,75;12355;110515475;119,1;1066199,275;36
202001;INTL;MET_INTL;MÉTROPOLE;"CÔTE D'IVOIRE";AFRIQUE;41057;201122288,92;33166;162479266;789,1;3864302,292;203
202001;INTL;MET_INTL;MÉTROPOLE;CROATIE;EUROPE;12664;13672899;11752;12687345;91,2;98555,4;133
202001;INTL;MET_INTL;MÉTROPOLE;CUBA;AMÉRIQUE;40515;313367074,61;38075;294494879;244;1887219,561;104
202001;INTL;MET_INTL;MÉTROPOLE;DANEMARK;EUROPE;99147;106834820,64;90418;98063296;872,9;877152,464;812
202001;INTL;MET_INTL;MÉTROPOLE;DOMINICAINE (RÉP.);AMÉRIQUE;51564;366276576,43;47847;339777429;371,7;2649914,743;141
202001;INTL;MET_INTL;MÉTROPOLE;EGYPTE;AFRIQUE;65794;215958240,9;46463;153660785;1933,1;6229745,59;271
202001;INTL;MET_INTL;MÉTROPOLE;EMIRATS ARABES UNIS;ASIE;302222;1567147311,52;193475;1000303034;10874,7;56684427,752;625
202001;INTL;MET_INTL;MÉTROPOLE;EQUATEUR;AMÉRIQUE;6674;62510463,54;5123;47982018;155,1;1452844,554;26
202001;INTL;MET_INTL;MÉTROPOLE;ESPAGNE;EUROPE;934110;1044051942,56;904766;1015897686;2934,4;2815425,656;7033
202001;INTL;MET_INTL;MÉTROPOLE;ETATS-UNIS;AMÉRIQUE;900741;6275365466,14;548439;3840918284;35230,2;243444718,214;2804
202001;INTL;MET_INTL;MÉTROPOLE;ETHIOPIE;AFRIQUE;24163;133961091,02;18644;103153480;551,9;3080761,102;81
202001;INTL;MET_INTL;MÉTROPOLE;EUROPE_AUTRE;EUROPE;25595;63981951,25;21516;45769246;407,9;1821270,525;1234
202001;INTL;MET_INTL;MÉTROPOLE;FINLANDE;EUROPE;59882;121622437,4;52737;106947860;714,5;1467457,74;453
202001;INTL;MET_INTL;MÉTROPOLE;GABON;AFRIQUE;12033;65504395,04;9811;53411039;222,2;1209335,604;68
202001;INTL;MET_INTL;MÉTROPOLE;GEORGIE;EUROPE;6934;22007913,5;6934;22007745;0;16,85;56
202001;INTL;MET_INTL;MÉTROPOLE;GHANA;AFRIQUE;8668;41938705,18;6415;31035740;225,3;1090296,518;65
202001;INTL;MET_INTL;MÉTROPOLE;GRÈCE;EUROPE;50495;104102508,9;45721;94030023;477,3;1007248,59;327
202001;INTL;MET_INTL;MÉTROPOLE;GUINÉE (CONAKRY);AFRIQUE;9337;43323169,6;8119;37672160;121,8;565100,96;61
202001;INTL;MET_INTL;MÉTROPOLE;HONG KONG (CHINE);ASIE;86931;834540041;32852;315379049;5407,9;51916099,2;152
202001;INTL;MET_INTL;MÉTROPOLE;HONGRIE;EUROPE;78203;93061062,96;77250;91870071;95,3;119099,196;546
202001;INTL;MET_INTL;MÉTROPOLE;INDE;ASIE;126207;879236954,3;73804;517268423;5240,3;36196853,13;359
202001;INTL;MET_INTL;MÉTROPOLE;IRLANDE;EUROPE;132045;120144914,8;128295;117083428;375;306148,68;1058
202001;INTL;MET_INTL;MÉTROPOLE;ISLANDE;EUROPE;18456;41423377,28;13952;31316132;450,4;1010724,528;84
202001;INTL;MET_INTL;MÉTROPOLE;ISRAËL;ASIE;124005;399157828,56;111809;359041250;1219,6;4011657,856;761
202001;INTL;MET_INTL;MÉTROPOLE;ITALIE;EUROPE;782716;675443817,07;745945;651794579;3677,1;2364923,807;6734
202001;INTL;MET_INTL;MÉTROPOLE;JAPON;ASIE;143415;1392123024,31;83029;805967618;6038,6;58615540,631;385
202001;INTL;MET_INTL;MÉTROPOLE;JORDANIE;ASIE;13546;45670106,8;12086;40725028;146;494507,88;125
202001;INTL;MET_INTL;MÉTROPOLE;KENYA;AFRIQUE;34018;221180549,62;23093;150150686;1092,5;7102986,362;127
202001;INTL;MET_INTL;MÉTROPOLE;KOSOVO;EUROPE;29340;35150313,06;29325;35132978;1,5;1733,506;232
202001;INTL;MET_INTL;MÉTROPOLE;KOWEÏT;ASIE;14735;64976401,3;10371;45734998;436,4;1924140,33;65
202001;INTL;MET_INTL;MÉTROPOLE;LETTONIE;EUROPE;13270;22419886,52;12317;20823761;95,3;159612,552;117
202001;INTL;MET_INTL;MÉTROPOLE;LIBAN;ASIE;54771;174442760,65;44604;142002576;1016,7;3244018,465;243
202001;INTL;MET_INTL;MÉTROPOLE;LITUANIE;EUROPE;14704;25140124,56;14593;24953988;11,1;18613,656;99
202001;INTL;MET_INTL;MÉTROPOLE;LUXEMBOURG;EUROPE;24050;12401927,87;24050;12401876;0;5,187;454
202001;INTL;MET_INTL;MÉTROPOLE;MACÉDOINE DU NORD;EUROPE;17397;23479601;17397;23479601;0;0;109
202001;INTL;MET_INTL;MÉTROPOLE;MADAGASCAR;AFRIQUE;21588;188353590,52;16364;142601900;522,4;4575169,052;84
202001;INTL;MET_INTL;MÉTROPOLE;MALDIVES;ASIE;8230;68189699,74;7338;60797842;89,2;739185,774;34
202001;INTL;MET_INTL;MÉTROPOLE;MALI;AFRIQUE;15476;64602852,75;13685;57124885;179,1;747796,775;63
202001;INTL;MET_INTL;MÉTROPOLE;MALTE;EUROPE;28157;45262125,37;25380;41447616;277,7;381450,937;277
202001;INTL;MET_INTL;MÉTROPOLE;MAROC;AFRIQUE;565266;1031342462,1;548728;999805549;1653,8;3153691,31;4263
202001;INTL;MET_INTL;MÉTROPOLE;MAURICE;AFRIQUE;68925;651752644,91;55070;520728460;1385,5;13102418,491;161
202001;INTL;MET_INTL;MÉTROPOLE;MAURITANIE;AFRIQUE;5373;19834834,53;3456;12792686;191,7;704214,853;45
202001;INTL;MET_INTL;MÉTROPOLE;MEXIQUE;AMÉRIQUE;98653;880269868,33;71515;631053396;2713,8;24921647,233;225
202001;INTL;MET_INTL;MÉTROPOLE;MOLDAVIE;EUROPE;7816;15571723;7816;15571723;0;0;54
202001;INTL;MET_INTL;MÉTROPOLE;NIGER;AFRIQUE;7114;28111712,1;3789;14962049;332,5;1314966,31;55
202001;INTL;MET_INTL;MÉTROPOLE;NIGERIA;AFRIQUE;21534;101080450,26;16444;76790281;509;2429016,926;111
202001;INTL;MET_INTL;MÉTROPOLE;NORVÈGE;EUROPE;40395;56251939,27;39956;55655977;43,9;59596,227;341
202001;INTL;MET_INTL;MÉTROPOLE;OMAN;ASIE;23779;132785007,36;14851;82928040;892,8;4985696,736;64
202001;INTL;MET_INTL;MÉTROPOLE;PAKISTAN;ASIE;6054;36103235,21;4917;29319801;113,7;678343,421;26
202001;INTL;MET_INTL;MÉTROPOLE;PANAMA;AMÉRIQUE;19121;165776815,8;15767;136699890;335,4;2907692,58;62
202001;INTL;MET_INTL;MÉTROPOLE;PAYS-BAS;EUROPE;292981;188619518,1;281549;184045549;1143,2;457396,91;2819
202001;INTL;MET_INTL;MÉTROPOLE;PAYS-BAS (CARAÏBES);AMÉRIQUE;22327;150519271,17;19312;130205987;301,5;2031328,417;84
202001;INTL;MET_INTL;MÉTROPOLE;PÉROU;AMÉRIQUE;19781;203484266,64;15328;157679136;445,3;4580513,064;43
202001;INTL;MET_INTL;MÉTROPOLE;POLOGNE;EUROPE;109666;139331493,4;105422;133747871;424,4;558362,24;961
202001;INTL;MET_INTL;MÉTROPOLE;PORTUGAL;EUROPE;475499;626529190,12;473152;623182705;234,7;334648,512;3545
202001;INTL;MET_INTL;MÉTROPOLE;QATAR;ASIE;110931;548214314,27;66469;329138850;4446,2;21907546,427;288
