ANMOIS;LSN_SEG;LSN_FSC;LSN_1;LSN_2;LSN_2_CONT;LSN_PEQ;LSN_PEQKT;LSN_PAX;LSN_PKT;LSN_FRP;LSN_TKT;LSN_DRT
202401;INTL;MET_INTL;MÉTROPOLE;AFRIQUE DU SUD;AFRIQUE;38400;343159487,24;29463;263260790;893,7;7989869,724;100
202401;INTL;MET_INTL;MÉTROPOLE;AFRIQUE_AUTRE;AFRIQUE;13276;64585598,36;10478;51386815;279,8;1319878,336;161
202401;INTL;MET_INTL;MÉTROPOLE;ALBANIE;EUROPE;21589;31569857;21589;31569857;0;0;158
202401;INTL;MET_INTL;MÉTROPOLE;ALGÉRIE;AFRIQUE;401656;495439913,78;392567;483959167;908,9;1148074,678;3225
202401;INTL;MET_INTL;MÉTROPOLE;ALLEMAGNE;EUROPE;645892;431682239,42;405525;277911596;24036,6;15377064,342;5717
202401;INTL;MET_INTL;MÉTROPOLE;AMÉRIQUE_AUTRE;AMÉRIQUE;4835;34683055,21;4643;33288370;19,2;139468,521;37
202401;INTL;MET_INTL;MÉTROPOLE;ANGOLA;AFRIQUE;5028;32811683,84;3890;25386140;113,8;742554,384;45
202401;INTL;MET_INTL;MÉTROPOLE;ARABIE SAOUDITE;ASIE;44024;196908289,08;33637;149731571;1038,7;4717671,808;194
202401;INTL;MET_INTL;MÉTROPOLE;ARGENTINE;AMÉRIQUE;22037;244887623,82;18316;203545708;372,1;4134191,582;62
202401;INTL;MET_INTL;MÉTROPOLE;ARMÉNIE;EUROPE;6890;23552074,26;6884;23529576;0,6;2249,826;51
202401;INTL;MET_INTL;MÉTROPOLE;ASIE_AUTRE;ASIE;3295;14293683,39;3094;13451322;20,1;84236,139;29
202401;INTL;MET_INTL;MÉTROPOLE;AUTRICHE;EUROPE;81642;80270925,95;78153;76654333;348,9;361659,295;809
202401;INTL;MET_INTL;MÉTROPOLE;BAHREÏN;ASIE;9162;44224249,95;8575;41391525;58,7;283272,495;56
202401;INTL;MET_INTL;MÉTROPOLE;BELGIQUE;EUROPE;135726;87401944,41;103632;74080679;3209,3;1332126,541;1288
202401;INTL;MET_INTL;MÉTROPOLE;BENIN;AFRIQUE;15621;74048530,37;11882;56305813;373,9;1774271,737;79
202401;INTL;MET_INTL;MÉTROPOLE;BOSNIE-HERZÉGOVINE;EUROPE;9130;8135936,12;8654;7559100;47,6;57683,612;62
202401;INTL;MET_INTL;MÉTROPOLE;BRÉSIL;AMÉRIQUE;116914;1073775501,87;93935;861002805;2297,9;21277269,687;332
202401;INTL;MET_INTL;MÉTROPOLE;BULGARIE;EUROPE;18502;29350541,04;18195;28812169;30,7;53837,204;225
202401;INTL;MET_INTL;MÉTROPOLE;CAMEROUN;AFRIQUE;23394;118880757,1;20115;102237753;327,9;1664300,41;121
202401;INTL;MET_INTL;MÉTROPOLE;CANADA;AMÉRIQUE;209160;1228680247,23;180596;1061361398;2856,4;16731884,923;638
202401;INTL;MET_INTL;MÉTROPOLE;CAP VERT;AFRIQUE;7985;34306849;7985;34306849;0;0;79
202401;INTL;MET_INTL;MÉTROPOLE;CHILI;AMÉRIQUE;20803;243084342,38;17963;209915618;284;3316872,438;62
202401;INTL;MET_INTL;MÉTROPOLE;CHINE;ASIE;256658;2297834379,92;99377;885944487;15728,1;141188989,292;649
202401;INTL;MET_INTL;MÉTROPOLE;CHYPRE;EUROPE;11816;34669287,54;11224;32903949;59,2;176533,854;184
202401;INTL;MET_INTL;MÉTROPOLE;COLOMBIE;AMÉRIQUE;19896;172201198,8;17937;155244669;195,9;1695652,98;63
202401;INTL;MET_INTL;MÉTROPOLE;CONGO-BRAZZAVILLE (RÉP.);AFRIQUE;13392;81124867;10742;65060006;265;1606486,1;91
202401;INTL;MET_INTL;MÉTROPOLE;CONGO-KINSHASA (RÉP. DÉM.);AFRIQUE;9306;56515731,96;7916;48081740;139;843399,196;64
202401;INTL;MET_INTL;MÉTROPOLE;CORÉE DU SUD;ASIE;66963;598446038,01;48561;433989777;1840,2;16445626,101;169
202401;INTL;MET_INTL;MÉTROPOLE;COSTA RICA;AMÉRIQUE;20905;186999559,7;18703;167302133;220,2;1969742,67;63
202401;INTL;MET_INTL;MÉTROPOLE;"CÔTE D'IVOIRE";AFRIQUE;54591;267301241,59;43940;215200714;1065,1;5210052,759;180
202401;INTL;MET_INTL;MÉTROPOLE;CROATIE;EUROPE;16939;16642429;15812;15426133;112,7;121629,6;168
202401;INTL;MET_INTL;MÉTROPOLE;CUBA;AMÉRIQUE;13774;106712213,55;12042;93289374;173,2;1342283,955;41
202401;INTL;MET_INTL;MÉTROPOLE;DANEMARK;EUROPE;99558;103337949,48;93255;97271212;630,3;606673,748;830
202401;INTL;MET_INTL;MÉTROPOLE;DOMINICAINE (RÉP.);AMÉRIQUE;23745;168120704,71;23192;164206296;55,3;391440,871;84
202401;INTL;MET_INTL;MÉTROPOLE;EGYPTE;AFRIQUE;71597;233343743,12;53298;174488162;1829,9;5885558,112;311
202401;INTL;MET_INTL;MÉTROPOLE;EMIRATS ARABES UNIS;ASIE;293229;1520026616,47;182340;944232089;11088,9;57579452,747;690
202401;INTL;MET_INTL;MÉTROPOLE;ESPAGNE;EUROPE;975575;1119603051,69;943096;1087893739;3247,9;3170931,269;7079
202401;INTL;MET_INTL;MÉTROPOLE;ETATS-UNIS;AMÉRIQUE;781398;5397727166,55;539311;3729655134;24208,7;166807203,255;2830
202401;INTL;MET_INTL;MÉTROPOLE;ETHIOPIE;AFRIQUE;19960;111500023,32;14964;83588904;499,6;2791111,932;50
202401;INTL;MET_INTL;MÉTROPOLE;EUROPE_AUTRE;EUROPE;9885;31815502,82;5900;13793597;398,5;1802190,582;643
202401;INTL;MET_INTL;MÉTROPOLE;FINLANDE;EUROPE;69180;144727698,07;62953;133165324;622,7;1156237,407;560
202401;INTL;MET_INTL;MÉTROPOLE;GABON;AFRIQUE;11022;60002540,92;9536;51907694;148,6;809484,692;54
202401;INTL;MET_INTL;MÉTROPOLE;GEORGIE;EUROPE;11813;38723131,3;11812;38720806;0,1;232,53;107
