ANMOIS;LSN_SEG;LSN_FSC;LSN_1;LSN_2;LSN_2_CONT;LSN_PEQ;LSN_PEQKT;LSN_PAX;LSN_PKT;LSN_FRP;LSN_TKT;LSN_DRT
201501;INTL;MET_INTL;MÉTROPOLE;AFRIQUE DU SUD;AFRIQUE;39370;345852762,44;33789;297113489;558,1;4873927,344;96
201501;INTL;MET_INTL;MÉTROPOLE;AFRIQUE_AUTRE;AFRIQUE;25905;133056440,28;16085;83060594;982;4999584,628;236
201501;INTL;MET_INTL;MÉTROPOLE;ALGÉRIE;AFRIQUE;322716;398563919,26;309444;380879416;1327,1;1768450,326;2952
201501;INTL;MET_INTL;MÉTROPOLE;ALLEMAGNE;EUROPE;742817;488869759,18;518817;345385794;22399,9;14348396,518;7832
201501;INTL;MET_INTL;MÉTROPOLE;AMÉRIQUE_AUTRE;AMÉRIQUE;8644;80396584,82;6867;62485028;177,7;1791155,682;91
201501;INTL;MET_INTL;MÉTROPOLE;ARABIE SAOUDITE;ASIE;41221;186870724,08;23932;108630409;1728,9;7824031,508;205
201501;INTL;MET_INTL;MÉTROPOLE;ARGENTINE;AMÉRIQUE;20808;231228302,13;16705;185642665;410,3;4558563,713;62
201501;INTL;MET_INTL;MÉTROPOLE;ASIE_AUTRE;ASIE;20701;117693875,19;15719;89864813;498,2;2782906,219;230
201501;INTL;MET_INTL;MÉTROPOLE;AUTRICHE;EUROPE;70374;70724459,13;61186;61261920;918,8;946253,913;760
201501;INTL;MET_INTL;MÉTROPOLE;BELGIQUE;EUROPE;140751;93525396,72;119563;81503311;2118,8;1202208,572;1976
201501;INTL;MET_INTL;MÉTROPOLE;BENIN;AFRIQUE;9871;46865408,88;7575;35966090;229,6;1089931,888;38
201501;INTL;MET_INTL;MÉTROPOLE;BRÉSIL;AMÉRIQUE;112279;1044239988,24;85047;789513589;2723,2;25472639,924;320
201501;INTL;MET_INTL;MÉTROPOLE;BULGARIE;EUROPE;9433;16686159,4;8983;15895696;45;79046,34;91
201501;INTL;MET_INTL;MÉTROPOLE;BURKINA FASO;AFRIQUE;10252;42010276,2;7697;31538247;255,5;1047202,92;70
201501;INTL;MET_INTL;MÉTROPOLE;CAMEROUN;AFRIQUE;28071;142418604,95;20757;105309854;731,4;3710875,095;195
201501;INTL;MET_INTL;MÉTROPOLE;CANADA;AMÉRIQUE;132787;751474065,48;99319;561517939;3346,8;18995612,648;371
201501;INTL;MET_INTL;MÉTROPOLE;CAP VERT;AFRIQUE;9204;39929737,56;9161;39740815;4,3;18892,256;69
201501;INTL;MET_INTL;MÉTROPOLE;CHILI;AMÉRIQUE;24433;285519129,88;20183;235858538;425;4966059,188;62
201501;INTL;MET_INTL;MÉTROPOLE;CHINE;ASIE;231310;2066990829,48;121998;1090930621;10931,2;97606020,848;644
201501;INTL;MET_INTL;MÉTROPOLE;COLOMBIE;AMÉRIQUE;16926;146488298,4;14550;125930250;237,6;2055804,84;58
201501;INTL;MET_INTL;MÉTROPOLE;CONGO-BRAZZAVILLE (RÉP.);AFRIQUE;18166;110039608,1;14418;87337587;374,8;2270202,11;135
