ANMOIS;LSN_SEG;LSN_FSC;LSN_1;LSN_2;LSN_2_CONT;LSN_PEQ;LSN_PEQKT;LSN_PAX;LSN_PKT;LSN_FRP;LSN_TKT;LSN_DRT
200901;INTL;MET_INTL;MÉTROPOLE;AFRIQUE DU SUD;AFRIQUE;40872;357462139;28128;246007488;1274,4;11145465,1;116
200901;INTL;MET_INTL;MÉTROPOLE;AFRIQUE_AUTRE;AFRIQUE;25072;122469026,06;15889;73375214;918,3;4909381,206;217
200901;INTL;MET_INTL;MÉTROPOLE;ALGÉRIE;AFRIQUE;200776;252981376,83;182957;228806347;1781,9;2417502,983;1946
200901;INTL;MET_INTL;MÉTROPOLE;ALLEMAGNE;EUROPE;651272;417568073,76;469888;306428699;18138,4;11113937,476;9238
200901;INTL;MET_INTL;MÉTROPOLE;AMÉRIQUE_AUTRE;AMÉRIQUE;3143;28830299,34;1498;10763484;164,5;1806681,534;22
200901;INTL;MET_INTL;MÉTROPOLE;ANGOLA;AFRIQUE;5404;34998314,86;3418;22305868;198,6;1269244,686;17
200901;INTL;MET_INTL;MÉTROPOLE;ARABIE SAOUDITE;ASIE;16068;73526651,76;8847;40285446;722,1;3324120,576;191
200901;INTL;MET_INTL;MÉTROPOLE;ARGENTINE;AMÉRIQUE;27455;305111526,81;18244;202745572;921,1;10236595,481;68
200901;INTL;MET_INTL;MÉTROPOLE;ASIE_AUTRE;ASIE;20192;131729376,81;9498;59992097;1069,4;7173727,981;73
200901;INTL;MET_INTL;MÉTROPOLE;AUTRICHE;EUROPE;73017;73405122,41;60574;60512540;1244,3;1289258,241;967
200901;INTL;MET_INTL;MÉTROPOLE;BAHREÏN;ASIE;26700;128879886,33;11246;54284442;1545,4;7459544,433;90
200901;INTL;MET_INTL;MÉTROPOLE;BELGIQUE;EUROPE;81161;56842988,08;70441;51121438;1071,9;572155,008;1726
200901;INTL;MET_INTL;MÉTROPOLE;BENIN;AFRIQUE;10290;48860481;8048;38211904;224,2;1064857,7;42
200901;INTL;MET_INTL;MÉTROPOLE;BRÉSIL;AMÉRIQUE;124331;1154423118,83;95437;884603933;2889,4;26981918,583;486
200901;INTL;MET_INTL;MÉTROPOLE;BULGARIE;EUROPE;9466;16620975,68;8337;14640594;112,9;198038,168;97
200901;INTL;MET_INTL;MÉTROPOLE;BURKINA FASO;AFRIQUE;17306;70792410,93;11073;45323076;623,3;2546933,493;97
200901;INTL;MET_INTL;MÉTROPOLE;CAMEROUN;AFRIQUE;19209;97330924,32;14087;71415975;512,2;2591494,932;94
200901;INTL;MET_INTL;MÉTROPOLE;CANADA;AMÉRIQUE;128783;729284957,48;86458;488752812;4232,5;24053214,548;374
200901;INTL;MET_INTL;MÉTROPOLE;CHILI;AMÉRIQUE;18669;218165817,14;15665;183061190;300,4;3510462,714;62
200901;INTL;MET_INTL;MÉTROPOLE;CHINE;ASIE;145467;1290792410,33;76731;678538161;6873,5;61225424,933;497
200901;INTL;MET_INTL;MÉTROPOLE;CHYPRE;EUROPE;6257;18646657,84;3789;11284354;246,8;736230,384;67
200901;INTL;MET_INTL;MÉTROPOLE;COLOMBIE;AMÉRIQUE;16989;147046545,9;14960;129478800;202,9;1756774,59;62
200901;INTL;MET_INTL;MÉTROPOLE;CONGO-BRAZZAVILLE (RÉP.);AFRIQUE;11895;72053830,35;9029;54693565;286,6;1736026,535;76
200901;INTL;MET_INTL;MÉTROPOLE;CONGO-KINSHASA (RÉP. DÉM.);AFRIQUE;6181;37531294,42;4837;29377982;134,4;815331,242;35
200901;INTL;MET_INTL;MÉTROPOLE;CORÉE DU SUD;ASIE;52234;466502336,48;33575;300059775;1865,9;16644256,148;196
200901;INTL;MET_INTL;MÉTROPOLE;"CÔTE D'IVOIRE";AFRIQUE;19746;96570462,16;14813;72435021;493,3;2413544,116;136
200901;INTL;MET_INTL;MÉTROPOLE;CROATIE;EUROPE;9086;9858237,4;9019;9787303;6,7;7093,44;180
