ANMOIS;LSN_SEG;LSN_FSC;LSN_1;LSN_2;LSN_2_CONT;LSN_PEQ;LSN_PEQKT;LSN_PAX;LSN_PKT;LSN_FRP;LSN_TKT;LSN_DRT
201001;INTL;MET_INTL;MÉTROPOLE;AFRIQUE DU SUD;AFRIQUE;36276;317277707,4;25439;222489434;1083,7;9478827,34;99
201001;INTL;MET_INTL;MÉTROPOLE;AFRIQUE_AUTRE;AFRIQUE;25806;131557688,97;18462;93428575;734,4;3812911,397;204
201001;INTL;MET_INTL;MÉTROPOLE;ALGÉRIE;AFRIQUE;209944;265749691,54;193153;242977128;1679,1;2277256,354;2176
201001;INTL;MET_INTL;MÉTROPOLE;ALLEMAGNE;EUROPE;572425;376783236,58;450160;295717925;12226,4;8106531,158;8585
201001;INTL;MET_INTL;MÉTROPOLE;AMÉRIQUE_AUTRE;AMÉRIQUE;3298;24013546,94;2618;18932907;68;508063,994;35
201001;INTL;MET_INTL;MÉTROPOLE;ARABIE SAOUDITE;ASIE;13353;60940243,72;9629;43870681;372,4;1706956,272;238
201001;INTL;MET_INTL;MÉTROPOLE;ARGENTINE;AMÉRIQUE;25586;284339662,86;18488;205457144;709,8;7888251,886;62
201001;INTL;MET_INTL;MÉTROPOLE;ASIE_AUTRE;ASIE;18512;94372238,23;9049;44324520;946,3;5004771,823;111
201001;INTL;MET_INTL;MÉTROPOLE;AUTRICHE;EUROPE;67984;68247897,63;57564;57442462;1042;1080543,563;964
201001;INTL;MET_INTL;MÉTROPOLE;BAHREÏN;ASIE;17102;82553222,31;11569;55842873;553,3;2671034,931;70
201001;INTL;MET_INTL;MÉTROPOLE;BELGIQUE;EUROPE;89339;62355847,29;75215;54392078;1412,4;796376,929;1671
201001;INTL;MET_INTL;MÉTROPOLE;BENIN;AFRIQUE;10863;51537170,08;8185;38862355;267,8;1267481,508;42
201001;INTL;MET_INTL;MÉTROPOLE;BRÉSIL;AMÉRIQUE;140916;1311207594,64;95107;884084665;4580,9;42712292,964;481
201001;INTL;MET_INTL;MÉTROPOLE;BULGARIE;EUROPE;11671;20541188,32;10399;18258643;127,2;228254,532;158
201001;INTL;MET_INTL;MÉTROPOLE;BURKINA FASO;AFRIQUE;16136;65690744,62;12182;49490990;395,4;1619975,462;120
201001;INTL;MET_INTL;MÉTROPOLE;CAMEROUN;AFRIQUE;21552;109272764,85;14809;75131509;674,3;3414125,585;97
201001;INTL;MET_INTL;MÉTROPOLE;CANADA;AMÉRIQUE;131406;741260016,74;95753;540531040;3565,3;20072897,674;396
201001;INTL;MET_INTL;MÉTROPOLE;CHILI;AMÉRIQUE;20790;242942006,9;16117;188343262;467,3;5459874,49;61
201001;INTL;MET_INTL;MÉTROPOLE;CHINE;ASIE;182898;1635009268,86;81465;724610820;10143,3;91039844,886;540
201001;INTL;MET_INTL;MÉTROPOLE;CHYPRE;EUROPE;8637;25759229,84;4095;12204380;454,2;1355484,984;67
201001;INTL;MET_INTL;MÉTROPOLE;COLOMBIE;AMÉRIQUE;18252;157974348,9;15573;134784315;267,9;2319003,39;62
201001;INTL;MET_INTL;MÉTROPOLE;CONGO-BRAZZAVILLE (RÉP.);AFRIQUE;14838;89882017,85;10110;61243216;472,8;2863880,185;84
201001;INTL;MET_INTL;MÉTROPOLE;CONGO-KINSHASA (RÉP. DÉM.);AFRIQUE;6130;37228700,06;4371;26549454;175,9;1067924,606;31
201001;INTL;MET_INTL;MÉTROPOLE;CORÉE DU SUD;ASIE;101560;907615802,7;36850;329328450;6471;57828735,27;166
201001;INTL;MET_INTL;MÉTROPOLE;"CÔTE D'IVOIRE";AFRIQUE;18799;92222338,8;13863;67994733;493,6;2422760,58;68
201001;INTL;MET_INTL;MÉTROPOLE;CROATIE;EUROPE;8652;9492853,4;8574;9408365;7,8;8448,84;186
201001;INTL;MET_INTL;MÉTROPOLE;CUBA;AMÉRIQUE;36943;285992527,21;34790;269310995;215,3;1668153,221;112
201001;INTL;MET_INTL;MÉTROPOLE;DANEMARK;EUROPE;78182;83297554,59;66859;71908740;1132,3;1138881,459;1009
201001;INTL;MET_INTL;MÉTROPOLE;DOMINICAINE (RÉP.);AMÉRIQUE;89875;639444449,96;81080;576348566;879,5;6309588,396;304
201001;INTL;MET_INTL;MÉTROPOLE;EGYPTE;AFRIQUE;104142;350514856,24;86762;294660311;1738;5585454,524;671
201001;INTL;MET_INTL;MÉTROPOLE;EMIRATS ARABES UNIS;ASIE;178467;928926945,7;84861;440446391;9360,6;48848055,47;481
201001;INTL;MET_INTL;MÉTROPOLE;ESPAGNE;EUROPE;508594;544483370,64;482444;518314622;2615;2616874,864;6387
201001;INTL;MET_INTL;MÉTROPOLE;ETATS-UNIS;AMÉRIQUE;732748;5007066467,95;391590;2686634525;34115,8;232043194,295;2537
201001;INTL;MET_INTL;MÉTROPOLE;ETHIOPIE;AFRIQUE;6985;39021577,6;5372;30008008;161,3;901356,96;38
201001;INTL;MET_INTL;MÉTROPOLE;EUROPE_AUTRE;EUROPE;19956;54576249,01;14974;33082006;498,2;2149424,301;1305
201001;INTL;MET_INTL;MÉTROPOLE;FINLANDE;EUROPE;44381;88238981,28;41399;82578462;298,2;566051,928;411
201001;INTL;MET_INTL;MÉTROPOLE;GABON;AFRIQUE;13744;74565237,25;10659;57788482;308,5;1677675,525;88
201001;INTL;MET_INTL;MÉTROPOLE;GRÈCE;EUROPE;49084;102626953,86;44071;92100509;501,3;1052644,486;598
201001;INTL;MET_INTL;MÉTROPOLE;GUINÉE (CONAKRY);AFRIQUE;5603;25991039,2;3936;18261820;166,7;772921,92;28
201001;INTL;MET_INTL;MÉTROPOLE;HONG KONG (CHINE);ASIE;106880;1026046560;49979;479798400;5690,1;54624816;254
201001;INTL;MET_INTL;MÉTROPOLE;HONGRIE;EUROPE;36619;45295495,76;34338;42447929;228,1;284756,676;454
201001;INTL;MET_INTL;MÉTROPOLE;INDE;ASIE;76104;530517222,65;46683;325833677;2942,1;20468354,565;301
201001;INTL;MET_INTL;MÉTROPOLE;IRLANDE;EUROPE;94543;83859872,09;90620;80719868;392,3;314000,409;1044
201001;INTL;MET_INTL;MÉTROPOLE;ISRAËL;ASIE;56261;183861763,08;48125;157142738;813,6;2671902,508;370
201001;INTL;MET_INTL;MÉTROPOLE;ITALIE;EUROPE;537088;456479225,84;514305;441144782;2278,3;1533444,384;6612
201001;INTL;MET_INTL;MÉTROPOLE;JAPON;ASIE;122859;1192588108,16;73893;717306679;4896,6;47528142,916;353
201001;INTL;MET_INTL;MÉTROPOLE;JORDANIE;ASIE;11452;38804044,5;10805;36611749;64,7;219229,55;127
201001;INTL;MET_INTL;MÉTROPOLE;KAZAKHSTAN;EUROPE;9067;49676955,06;9;50001;905,8;4962695,406;24
201001;INTL;MET_INTL;MÉTROPOLE;KENYA;AFRIQUE;19408;128004296,23;13879;92034316;552,9;3596998,023;99
201001;INTL;MET_INTL;MÉTROPOLE;LETTONIE;EUROPE;6798;11379131,36;6297;10541060;50,1;83807,136;67
201001;INTL;MET_INTL;MÉTROPOLE;LIBAN;ASIE;42388;135257138,81;33879;108105207;850,9;2715193,181;208
201001;INTL;MET_INTL;MÉTROPOLE;LIBYE;AFRIQUE;15941;32038176,63;8410;17008633;753,1;1502954,363;83
201001;INTL;MET_INTL;MÉTROPOLE;LUXEMBOURG;EUROPE;6368;2384045,86;6084;2306836;28,4;7720,986;270
201001;INTL;MET_INTL;MÉTROPOLE;MADAGASCAR;AFRIQUE;24237;210303350,04;17344;150157643;689,3;6014570,704;116
201001;INTL;MET_INTL;MÉTROPOLE;MALAISIE;ASIE;16283;170201286,09;10194;106557882;608,9;6364340,409;44
201001;INTL;MET_INTL;MÉTROPOLE;MALDIVES;ASIE;5442;47157600,65;5421;46975549;2,1;18205,165;17
201001;INTL;MET_INTL;MÉTROPOLE;MALI;AFRIQUE;25327;104997255,45;20268;83867552;505,9;2112970,345;171
201001;INTL;MET_INTL;MÉTROPOLE;MALTE;EUROPE;6354;10048178,41;4270;7453399;208,4;259477,941;95
201001;INTL;MET_INTL;MÉTROPOLE;MAROC;AFRIQUE;356764;665987755,59;347127;647840984;963,7;1814677,159;3292
201001;INTL;MET_INTL;MÉTROPOLE;MAURICE;AFRIQUE;66817;631211451,09;54018;510184905;1279,9;12102654,609;176
201001;INTL;MET_INTL;MÉTROPOLE;MAURITANIE;AFRIQUE;5521;20769796,34;3920;14654415;160,1;611538,134;77
201001;INTL;MET_INTL;MÉTROPOLE;MEXIQUE;AMÉRIQUE;70308;640491735,28;36965;332328195;3334,3;30816354,028;214
201001;INTL;MET_INTL;MÉTROPOLE;NIGERIA;AFRIQUE;13730;65729578,53;11642;55568037;208,8;1016154,153;134
201001;INTL;MET_INTL;MÉTROPOLE;NORVÈGE;EUROPE;36688;49760970,88;34291;46601008;239,7;315996,288;420
201001;INTL;MET_INTL;MÉTROPOLE;OCÉANIE_AUTRE;OCÉANIE;219;3715116;219;3715116;0;0;18
