ANMOIS;LSN_SEG;LSN_FSC;LSN_1;LSN_2;LSN_2_CONT;LSN_PEQ;LSN_PEQKT;LSN_PAX;LSN_PKT;LSN_FRP;LSN_TKT;LSN_DRT
200201;INTL;MET_INTL;MÉTROPOLE;AFRIQUE DU SUD;AFRIQUE;31975;279655186,66;20746;181444516;1122,9;9821067,066;98
200201;INTL;MET_INTL;MÉTROPOLE;AFRIQUE_AUTRE;AFRIQUE;23054;117795009,09;15863;79654962;719,1;3814004,709;196
200201;INTL;MET_INTL;MÉTROPOLE;ALGÉRIE;AFRIQUE;146419;175975721,27;133713;159374054;1270,6;1660166,727;1147
200201;INTL;MET_INTL;MÉTROPOLE;ALLEMAGNE;EUROPE;458058;274361417,48;368446;220688237;8961,2;5367318,048;9999
200201;INTL;MET_INTL;MÉTROPOLE;AMÉRIQUE_AUTRE;AMÉRIQUE;4080;40798546,14;6;43422;407,4;4075512,414;19
200201;INTL;MET_INTL;MÉTROPOLE;ANGOLA;AFRIQUE;5472;35714122,34;4782;31207332;69;450679,034;25
200201;INTL;MET_INTL;MÉTROPOLE;ARABIE SAOUDITE;ASIE;22154;100721459,74;9934;43948249;1222;5677321,074;154
200201;INTL;MET_INTL;MÉTROPOLE;ARGENTINE;AMÉRIQUE;14274;158625628,44;8857;98427841;541,7;6019778,744;73
200201;INTL;MET_INTL;MÉTROPOLE;ASIE_AUTRE;ASIE;34064;214742108,75;18803;126204819;1526,1;8853728,975;221
200201;INTL;MET_INTL;MÉTROPOLE;AUSTRALIE;OCÉANIE;6430;109072752,24;4799;81410236;163,1;2766251,624;26
200201;INTL;MET_INTL;MÉTROPOLE;AUTRICHE;EUROPE;44602;43424064,88;43643;42446113;95,9;97795,188;1023
200201;INTL;MET_INTL;MÉTROPOLE;BELGIQUE;EUROPE;70228;42932260,32;41752;29028797;2847,6;1390346,332;1910
200201;INTL;MET_INTL;MÉTROPOLE;BENIN;AFRIQUE;8726;41424115,92;6551;31104148;217,5;1031996,792;35
200201;INTL;MET_INTL;MÉTROPOLE;BRÉSIL;AMÉRIQUE;73663;690110860,72;52963;495357034;2070;19475382,672;420
200201;INTL;MET_INTL;MÉTROPOLE;BULGARIE;EUROPE;6176;10923676,68;5579;9796724;59,7;112695,268;80
200201;INTL;MET_INTL;MÉTROPOLE;BURKINA FASO;AFRIQUE;12847;52471807,33;7757;31761536;509;2071027,133;65
200201;INTL;MET_INTL;MÉTROPOLE;CAMEROUN;AFRIQUE;29343;148563342,45;18295;92636897;1104,8;5592644,545;152
200201;INTL;MET_INTL;MÉTROPOLE;CANADA;AMÉRIQUE;93584;534235687,7;62750;357532695;3083,3;17670299,27;261
200201;INTL;MET_INTL;MÉTROPOLE;CHILI;AMÉRIQUE;9285;108493291,44;6510;76075860;277,5;3241743,144;64
200201;INTL;MET_INTL;MÉTROPOLE;CHINE;ASIE;70294;616694446,56;31025;271380286;3926,9;34531416,056;247
200201;INTL;MET_INTL;MÉTROPOLE;CHYPRE;EUROPE;5264;15708850,24;4111;12267224;115,3;344162,624;36
200201;INTL;MET_INTL;MÉTROPOLE;COLOMBIE;AMÉRIQUE;12210;105681271,65;7673;66409815;453,7;3927145,665;41
200201;INTL;MET_INTL;MÉTROPOLE;CORÉE DU SUD;ASIE;41631;371460332,61;21690;194017050;1994,1;17744328,261;121
200201;INTL;MET_INTL;MÉTROPOLE;"CÔTE D'IVOIRE";AFRIQUE;25439;124800853,2;19003;93213456;643,6;3158739,72;90
200201;INTL;MET_INTL;MÉTROPOLE;CUBA;AMÉRIQUE;31767;244892060,97;30700;236636109;106,7;825595,197;136
200201;INTL;MET_INTL;MÉTROPOLE;DANEMARK;EUROPE;73859;77613599,1;66839;70746083;702;686751,61;1283
200201;INTL;MET_INTL;MÉTROPOLE;DOMINICAINE (RÉP.);AMÉRIQUE;43446;310965205,71;41859;299558852;158,7;1140635,371;141
200201;INTL;MET_INTL;MÉTROPOLE;EGYPTE;AFRIQUE;53937;178156706,84;34985;116716697;1895,2;6144000,984;305
200201;INTL;MET_INTL;MÉTROPOLE;EMIRATS ARABES UNIS;ASIE;61512;321458702,21;23378;121839423;3813,4;19961927,921;365
200201;INTL;MET_INTL;MÉTROPOLE;ESPAGNE;EUROPE;311078;336563994,62;294477;320751798;1660;1581219,662;6322
200201;INTL;MET_INTL;MÉTROPOLE;ETATS-UNIS;AMÉRIQUE;623297;4261722873,61;342098;2356498333;28119,9;190522454,061;2634
200201;INTL;MET_INTL;MÉTROPOLE;EUROPE_AUTRE;EUROPE;24859;59657139,34;18242;32556584;661,7;2710055,534;393
200201;INTL;MET_INTL;MÉTROPOLE;FINLANDE;EUROPE;25214;48688479,76;22695;43903287;251,9;478519,276;262
200201;INTL;MET_INTL;MÉTROPOLE;GABON;AFRIQUE;18724;101524696,42;11347;61464106;737,7;4006059,042;77
200201;INTL;MET_INTL;MÉTROPOLE;GRÈCE;EUROPE;31751;66406794,18;28727;60048965;302,4;635782,918;328
200201;INTL;MET_INTL;MÉTROPOLE;GUINÉE (CONAKRY);AFRIQUE;8841;41022472;6928;32145920;191,3;887655,2;59
200201;INTL;MET_INTL;MÉTROPOLE;HONG KONG (CHINE);ASIE;90488;868696992;34162;327955200;5632,6;54074179,2;191
200201;INTL;MET_INTL;MÉTROPOLE;HONGRIE;EUROPE;19985;24974894,87;19721;24645621;26,4;32927,387;311
200201;INTL;MET_INTL;MÉTROPOLE;INDE;ASIE;56900;390684859,98;30342;206010100;2655,7;18467475,998;203
200201;INTL;MET_INTL;MÉTROPOLE;IRLANDE;EUROPE;72569;62472332,46;69341;59788549;322,8;268378,346;955
200201;INTL;MET_INTL;MÉTROPOLE;ISRAËL;ASIE;48990;160200975,01;36094;117813915;1289,6;4238706,001;245
200201;INTL;MET_INTL;MÉTROPOLE;ITALIE;EUROPE;365444;289463292,53;329999;264864896;3544,5;2459839,653;6693
200201;INTL;MET_INTL;MÉTROPOLE;JAPON;ASIE;130455;1265234536,56;76415;741016070;5404;52421846,656;376
