ANMOIS;LSN_SEG;LSN_FSC;LSN_1;LSN_2;LSN_2_CONT;LSN_PEQ;LSN_PEQKT;LSN_PAX;LSN_PKT;LSN_FRP;LSN_TKT;LSN_DRT
199401;INTL;MET_INTL;MÉTROPOLE;AFRIQUE DU SUD;AFRIQUE;15748;138986533,66;7250;64303078;849,8;7468345,566;77
199401;INTL;MET_INTL;MÉTROPOLE;AFRIQUE_AUTRE;AFRIQUE;55760;309600134,34;30003;165441911;2575,7;14415822,334;722
199401;INTL;MET_INTL;MÉTROPOLE;ALGÉRIE;AFRIQUE;117405;143140337,99;104747;124859814;1265,8;1828052,399;1001
199401;INTL;MET_INTL;MÉTROPOLE;ALLEMAGNE;EUROPE;252774;141428433,31;220648;126253474;3212,5;1517495,931;5986
199401;INTL;MET_INTL;MÉTROPOLE;AMÉRIQUE_AUTRE;AMÉRIQUE;10423;109801935,38;6446;67812772;397,7;4198916,338;84
199401;INTL;MET_INTL;MÉTROPOLE;ARABIE SAOUDITE;ASIE;15215;68937112,55;8037;36356175;717,8;3258093,755;190
199401;INTL;MET_INTL;MÉTROPOLE;ARGENTINE;AMÉRIQUE;9399;104448058,42;7085;78728757;231,4;2571930,142;68
199401;INTL;MET_INTL;MÉTROPOLE;ASIE_AUTRE;ASIE;21358;137946412,16;11315;71168460;1004,3;6677795,216;252
199401;INTL;MET_INTL;MÉTROPOLE;AUTRICHE;EUROPE;30271;29908453,61;29122;28740869;114,9;116758,461;648
199401;INTL;MET_INTL;MÉTROPOLE;BELGIQUE;EUROPE;66325;28721236,14;59279;25373754;704,5;334748,214;1991
199401;INTL;MET_INTL;MÉTROPOLE;BRÉSIL;AMÉRIQUE;31743;289971084,92;18797;170697437;1294,6;11927364,792;246
199401;INTL;MET_INTL;MÉTROPOLE;BURKINA FASO;AFRIQUE;15074;59005668,11;4281;17543538;1079,3;4146213,011;80
199401;INTL;MET_INTL;MÉTROPOLE;CAMEROUN;AFRIQUE;12375;62383790,28;7858;39516553;451,7;2286723,728;81
