ANMOIS;APT;APT_NOM;APT_ZON;APT_PEQ;APT_PAX_dep;APT_PAX_arr;APT_PAX_tr;APT_FRP_dep;APT_FRP_arr;APT_NMVT_mxt;APT_NMVT_cgo
200401;FMCZ;MAYOTTE-MARCEL HENRY;OM;16416;7052;7088;1214;19,8;86,5;291;9
200401;FMEE;LA REUNION-ROLAND GARROS;OM;185607;77354;85827;1279;662,9;1451,8;1235;55
200401;FMEP;ST-PIERRE-PIERREFONDS;OM;11511;5229;6252;0;0,1;3;280;0
200401;LFBA;AGEN-LA GARENNE;MT;2174;1112;1062;0;0;0;145;0
200401;LFBD;BORDEAUX-MERIGNAC;MT;205324;98363;95517;666;487,1;590,8;3356;168
200401;LFBE;BERGERAC-DORDOGNE-PERIGORD;MT;9608;5054;4454;100;0;0;241;0
200401;LFBH;LA ROCHELLE-ILE DE RE;MT;5226;2727;2499;0;0;0;141;0
200401;LFBI;POITIERS-BIARD;MT;5985;3247;2718;20;0;0;166;0
200401;LFBL;LIMOGES-BELLEGARDE;MT;14654;7314;6589;0;39,4;35,7;410;39
200401;LFBO;TOULOUSE-BLAGNAC;MT;471975;217010;212043;3310;1439,8;2521,5;5955;430
200401;LFBP;PAU-PYRENEES;MT;55853;28195;26109;98;56,7;88,4;731;41
200401;LFBT;TARBES-LOURDES-PYRENEES;MT;1885;970;800;115;0;0;67;0
200401;LFBV;BRIVE-LA-ROCHE;MT;1767;887;876;4;0;0;90;0
200401;LFBX;PERIGUEUX-BASSILLAC;MT;2413;881;864;668;0;0;234;0
200401;LFBZ;BIARRITZ-PAYS-BASQUE;MT;51518;26863;24461;84;4,4;6,6;703;0
200401;LFCK;CASTRES-MAZAMET;MT;1331;702;629;0;0;0;162;0
200401;LFCR;RODEZ-AVEYRON;MT;8767;4644;3968;155;0;0;362;0
200401;LFJL;METZ-NANCY-LORRAINE;MT;26364;7649;7976;184;552,1;503,4;588;218
200401;LFKB;BASTIA-PORETTA;MT;60342;24851;22167;6281;234;470,3;830;154
200401;LFKC;CALVI-STE-CATHERINE;MT;4692;2648;2040;0;0;0,4;187;0
200401;LFKF;FIGARI-SUD-CORSE;MT;7936;4474;3457;5;0;0;264;0
200401;LFKJ;AJACCIO-NAPOLEON-BONAPARTE;MT;51174;24115;21881;0;128,1;389,7;780;94
200401;LFLB;CHAMBERY-AIX-LES-BAINS;MT;47442;23673;23682;87;0;0;640;1
200401;LFLC;CLERMONT-FERRAND-AUVERGNE;MT;60332;27584;26708;2708;173,5;159,8;2191;76
200401;LFLL;LYON-ST-EXUPERY;MT;486144;227402;224659;8850;1214,8;1308,6;9038;304
200401;LFLP;ANNECY-MEYTHET;MT;3478;1728;1750;0;0;0;141;0
200401;LFLS;GRENOBLE-ALPES-ISERE;MT;51994;25712;26282;0;0;0;585;0
200401;LFLW;AURILLAC;MT;1101;587;514;0;0;0;83;0
200401;LFLX;CHATEAUROUX-DEOLS;MT;1423;27;319;0;84,3;23,4;8;16
200401;LFLY;LYON-BRON;MT;1188;602;547;6;1,7;1,6;228;3
200401;LFMH;ST-ETIENNE-LOIRE;MT;7251;3943;3308;0;0;0;120;0
200401;LFMK;CARCASSONNE-SALVAZA;MT;13790;7137;6653;0;0;0;128;0
200401;LFML;MARSEILLE-PROVENCE;MT;430934;191890;189688;10258;1984,7;1925,1;5870;450
200401;LFMN;"NICE-COTE D'AZUR";MT;554979;274833;269569;753;463;519,4;10639;160
200401;LFMP;PERPIGNAN-RIVESALTES;MT;25609;13309;12300;0;0;0;302;0
200401;LFMT;MONTPELLIER-MEDITERRANEE;MT;107809;52552;51018;17;177,1;245,1;1647;43
200401;LFMU;BEZIERS-VIAS;MT;2796;1412;1382;0;0,2;0;157;0
