ANMOIS;APT;APT_NOM;APT_ZON;APT_PEQ;APT_PAX_dep;APT_PAX_arr;APT_PAX_tr;APT_FRP_dep;APT_FRP_arr;APT_NMVT_mxt;APT_NMVT_cgo
202401;FMCZ;MAYOTTE-MARCEL HENRY;OM;42951;16350;23805;122;39;228,4;416;1
202401;FMEE;LA REUNION-ROLAND GARROS;OM;286252;123138;136646;3403;725,2;1581,3;1292;5
202401;FMEP;ST-PIERRE-PIERREFONDS;OM;3241;1652;1589;0;0;0;36;0
202401;LFAQ;ALBERT-BRAY;MT;1600;102;96;13;83,4;55,5;71;10
202401;LFBD;BORDEAUX-MERIGNAC;MT;375920;179275;185647;1548;394,1;550,9;2877;89
202401;LFBE;BERGERAC-DORDOGNE-PERIGORD;MT;3255;1770;1485;0;0;0;35;0
202401;LFBH;LA ROCHELLE-ILE DE RE;MT;7528;3816;3712;0;0;0;83;0
202401;LFBI;POITIERS-BIARD;MT;3784;1957;1826;0;0;0,1;27;1
202401;LFBL;LIMOGES-BELLEGARDE;MT;11543;5964;5579;0;0;0;178;0
202401;LFBO;TOULOUSE-BLAGNAC;MT;563078;261252;262155;291;1122,8;2815,3;4440;313
202401;LFBP;PAU-PYRENEES;MT;25099;12114;11277;50;60,8;105;422;8
202401;LFBT;TARBES-LOURDES-PYRENEES;MT;20599;10526;10073;0;0;0;211;0
202401;LFBZ;BIARRITZ-PAYS-BASQUE;MT;36658;19686;16972;0;0;0;398;0
202401;LFCK;CASTRES-MAZAMET;MT;2409;1302;1107;0;0;0;99;0
202401;LFCR;RODEZ-AVEYRON;MT;2334;1299;1035;0;0;0;110;0
202401;LFGJ;DOLE-TAVAUX;MT;9416;4342;5000;74;0;0;66;0
202401;LFJL;METZ-NANCY-LORRAINE;MT;7970;3587;4383;0;0;0;132;0
202401;LFKB;BASTIA-PORETTA;MT;75854;34666;33418;0;182,7;594,3;746;95
202401;LFKC;CALVI-STE-CATHERINE;MT;9792;5101;4687;0;0;0,4;191;0
202401;LFKF;FIGARI-SUD-CORSE;MT;16560;8483;8077;0;0;0;317;0
202401;LFKJ;AJACCIO-NAPOLEON-BONAPARTE;MT;68526;32195;31067;0;87,6;438,8;674;76
202401;LFLB;CHAMBERY-AIX-LES-BAINS;MT;43852;21851;21735;10;24;1,6;1193;0
202401;LFLC;CLERMONT-FERRAND-AUVERGNE;MT;20483;8974;9071;0;207,1;36,6;354;6
202401;LFLJ;COURCHEVEL-MICHEL ZIEGLER;MT;1567;780;787;0;0;0;853;0
202401;LFLL;LYON-ST-EXUPERY;MT;729603;328850;357760;937;1880,3;2325,2;6056;245
