ANMOIS;APT;APT_NOM;APT_ZON;APT_PEQ;APT_PAX_dep;APT_PAX_arr;APT_PAX_tr;APT_FRP_dep;APT_FRP_arr;APT_NMVT_mxt;APT_NMVT_cgo
201501;FMCZ;MAYOTTE-MARCEL HENRY;OM;30067;10112;16174;2132;24,1;140,8;538;0
201501;FMEE;LA REUNION-ROLAND GARROS;OM;231159;96921;112446;572;666,5;1455,6;1031;15
201501;FMEP;ST-PIERRE-PIERREFONDS;OM;13264;5733;7522;0;0;0,9;283;0
201501;LFAQ;ALBERT-BRAY;MT;2821;70;68;0;168,3;100;32;15
201501;LFBA;AGEN-LA GARENNE;MT;3250;1616;1634;0;0;0;140;0
201501;LFBD;BORDEAUX-MERIGNAC;MT;324534;158503;155199;2794;275,1;528,8;3235;129
201501;LFBE;BERGERAC-DORDOGNE-PERIGORD;MT;5145;2836;2309;0;0;0;42;0
201501;LFBH;LA ROCHELLE-ILE DE RE;MT;5056;2660;2396;0;0;0;122;0
201501;LFBI;POITIERS-BIARD;MT;4818;1837;1698;1283;0;0;182;0
201501;LFBL;LIMOGES-BELLEGARDE;MT;14072;7410;6662;0;0;0;353;0
201501;LFBO;TOULOUSE-BLAGNAC;MT;582390;264370;260560;4569;1859,6;3429,5;5768;431
201501;LFBP;PAU-PYRENEES;MT;46053;23232;21656;145;46;56,1;686;9
201501;LFBT;TARBES-LOURDES-PYRENEES;MT;9793;5055;4738;0;0;0;209;0
201501;LFBZ;BIARRITZ-PAYS-BASQUE;MT;53992;28483;25509;0;0;0;544;0
201501;LFCK;CASTRES-MAZAMET;MT;3088;1605;1483;0;0;0;117;0
201501;LFCR;RODEZ-AVEYRON;MT;4314;2238;2076;0;0;0;153;0
201501;LFGJ;DOLE-TAVAUX;MT;9423;4312;5106;0;0,5;0;105;2
201501;LFJL;METZ-NANCY-LORRAINE;MT;11138;5498;5640;0;0;0;350;0
201501;LFKB;BASTIA-PORETTA;MT;57180;26057;24639;0;170,8;477,6;689;103
201501;LFKC;CALVI-STE-CATHERINE;MT;7115;3740;3138;235;0;0,2;189;0
201501;LFKF;FIGARI-SUD-CORSE;MT;10667;5821;4846;0;0;0;271;0
201501;LFKJ;AJACCIO-NAPOLEON-BONAPARTE;MT;54799;25380;23552;37;187,9;395,1;627;85
201501;LFLB;CHAMBERY-AIX-LES-BAINS;MT;63318;31809;31507;2;0;0;844;0
201501;LFLC;CLERMONT-FERRAND-AUVERGNE;MT;26873;13238;13103;0;41,8;11,4;669;2
201501;LFLJ;COURCHEVEL;MT;1300;665;635;0;0;0;343;0
201501;LFLL;LYON-ST-EXUPERY;MT;620338;285067;291551;4419;2015,4;1914,8;7409;315
201501;LFLS;GRENOBLE-ALPES-ISERE;MT;82249;41501;40748;0;0;0;687;0
201501;LFLW;AURILLAC;MT;2002;1038;964;0;0;0;93;0
201501;LFLX;CHATEAUROUX-DEOLS;MT;2495;35;27;0;154,4;88,9;3;26
201501;LFMH;ST-ETIENNE-LOIRE;MT;10624;4892;5732;0;0;0;102;0
201501;LFMK;CARCASSONNE-SALVAZA;MT;17528;8909;8619;0;0;0;123;0
201501;LFML;MARSEILLE-PROVENCE;MT;571576;259568;265607;3384;2202;2099,7;6009;680
201501;LFMN;"NICE-COTE D'AZUR";MT;608572;303307;295347;72;627;357,6;8225;81
201501;LFMP;PERPIGNAN-RIVESALTES;MT;20812;10985;9827;0;0;0;287;0
201501;LFMT;MONTPELLIER-MEDITERRANEE;MT;97728;46011;45687;13;301,7;300;917;84
201501;LFMU;BEZIERS-VIAS;MT;5764;2884;2880;0;0;0;50;0
201501;LFOB;BEAUVAIS-TILLE;MT;297410;146041;151283;86;0;0;2097;0
201501;LFOK;CHALONS-VATRY;MT;8141;2406;2696;0;299,6;4,3;49;13
201501;LFOT;TOURS-VAL DE LOIRE;MT;9795;4923;4872;0;0;0;76;0
201501;LFPB;PARIS-LE BOURGET;MT;8046;3898;4148;0;0;0;3118;0
201501;LFPG;PARIS-CHARLES DE GAULLE;MT;6303246;2339210;2322756;4502;86881,2;76796,6;33228;2476
201501;LFPO;PARIS-ORLY;MT;2153136;1006497;1047562;36;6424,4;3479,6;16959;0
201501;LFQQ;LILLE-LESQUIN;MT;77312;37663;38789;860;0;0;1064;0
201501;LFRB;BREST-BRETAGNE;MT;67195;33838;31789;1034;18,5;35;953;42
201501;LFRD;DINARD-PLEURTUIT-ST-MALO;MT;4777;2599;2176;0;0,2;0;80;0
201501;LFRG;DEAUVILLE-NORMANDIE;MT;3034;1409;1249;376;0;0;77;0
201501;LFRH;LORIENT-LANN-BIHOUE;MT;9570;5075;4495;0;0;0;306;0
201501;LFRK;CAEN-CARPIQUET;MT;7883;4009;3874;0;0;0;196;0
201501;LFRN;RENNES-ST-JACQUES;MT;42625;16555;16365;343;511,2;424,9;772;124
201501;LFRO;LANNION;MT;2313;1227;1086;0;0;0;96;0
201501;LFRQ;QUIMPER-PLUGUFFAN;MT;5866;3232;2634;0;0;0;145;0
201501;LFRS;NANTES-ATLANTIQUE;MT;244434;117835;111965;6261;391,1;446,3;3029;124
201501;LFRZ;ST-NAZAIRE-MONTOIR;MT;18549;673;127;205;1067,3;687,2;57;83
201501;LFSB;BALE-MULHOUSE;MT;419746;185050;199441;1068;1970,8;1448;4406;349
201501;LFSL;BRIVE-SOUILLAC;MT;3653;1977;1676;0;0;0;153;0
201501;LFST;STRASBOURG-ENTZHEIM;MT;71792;35714;35850;130;1,4;8,4;1422;0
201501;LFTH;TOULON-HYERES;MT;27370;13867;13456;47;0;0;429;0
201501;LFTW;NIMES-GARONS;MT;11631;5933;5698;0;0;0;87;0
201501;LFVP;ST-PIERRE-POINTE BLANCHE;OM;2299;1109;1024;0;1,9;14,6;176;0
201501;NLWF;FUTUNA;OM;1310;759;524;0;0,5;2,1;132;0
201501;NLWW;WALLIS-HIHIFO;OM;4456;2202;2109;0;3;11,5;158;0
201501;NTAA;"TAHITI FAA'A";OM;101337;40538;50045;891;379,3;607;1583;0
201501;NTAR;RURUTU;OM;2007;870;563;538;0;3,6;54;0
201501;NTAT;TUBUAI MATAURA;OM;1845;780;631;382;0;5,2;48;0
201501;NTGC;TIKEHAU;OM;2605;1028;624;936;0;1,7;96;0
201501;NTGF;FAKARAVA;OM;1671;769;544;320;0;3,8;58;0
201501;NTMD;NUKU HIVA;OM;3214;1379;1327;441;0;6,7;168;0
201501;NTMN;HIVA OA-ATUONA;OM;2261;962;840;415;0;4,4;114;0
201501;NTTB;BORA BORA;OM;16516;8261;6879;1267;0;10,9;443;0
201501;NTTG;RANGIROA;OM;4780;1868;1567;1279;0;6,6;184;0
201501;NTTH;HUAHINE;OM;8149;3113;2348;2624;0;6,4;266;0
201501;NTTM;MOOREA;OM;4422;1665;1134;1617;0;0,6;198;0
201501;NTTO;HAO;OM;1293;353;434;472;0;3,4;60;0
201501;NTTP;MAUPITI;OM;1324;807;484;2;0;3,1;62;0
201501;NTTR;RAIATEA;OM;14831;6315;5376;3009;0;13,1;423;0
201501;NWWE;ILE DES PINS;OM;10060;5047;4691;0;4,1;28,1;218;0
201501;NWWL;LIFOU;OM;16167;7921;7612;0;12,8;50,6;400;0
201501;NWWM;NOUMEA MAGENTA;OM;40779;18960;20197;0;131,7;30,5;1057;0
201501;NWWR;MARE;OM;6981;3472;3133;0;10;27,6;203;0
201501;NWWV;OUVEA;OM;8411;4170;3923;0;5,9;25,9;261;0
