ANMOIS;APT;APT_NOM;APT_ZON;APT_PEQ;APT_PAX_dep;APT_PAX_arr;APT_PAX_tr;APT_FRP_dep;APT_FRP_arr;APT_NMVT_mxt;APT_NMVT_cgo
200101;FMCZ;MAYOTTE-MARCEL HENRY;OM;12332;5023;5489;700;17,4;94,6;207;0
200101;FMEE;LA REUNION-ROLAND GARROS;OM;166381;68800;76306;2143;821,6;1091,6;1257;47
200101;FMEP;ST-PIERRE-PIERREFONDS;OM;10871;5050;5600;210;0,4;0,7;246;0
200101;LFBA;AGEN-LA GARENNE;MT;1818;971;847;0;0;0;154;0
200101;LFBD;BORDEAUX-MERIGNAC;MT;247403;115234;111811;4450;672,8;917,9;4291;219
200101;LFBE;BERGERAC-DORDOGNE-PERIGORD;MT;1415;704;557;154;0;0;155;0
200101;LFBH;LA ROCHELLE-ILE DE RE;MT;4907;2621;2286;0;0;0;310;0
200101;LFBI;POITIERS-BIARD;MT;8947;1554;1610;481;280,7;249,5;320;43
200101;LFBL;LIMOGES-BELLEGARDE;MT;12346;5367;5185;123;76,3;90,7;389;45
200101;LFBO;TOULOUSE-BLAGNAC;MT;508424;224625;219091;7243;1856;3890,5;7493;567
200101;LFBP;PAU-PYRENEES;MT;51134;25618;24113;0;80;60,3;738;43
200101;LFBT;TARBES-LOURDES-PYRENEES;MT;3703;1935;1764;0;0,2;0,2;68;0
200101;LFBU;ANGOULEME-BRIE-CHAMPNIERS;MT;1010;536;474;0;0;0;104;0
200101;LFBV;BRIVE-LA-ROCHE;MT;2533;1352;1181;0;0;0;124;0
200101;LFBX;PERIGUEUX-BASSILLAC;MT;2097;1077;964;56;0;0;149;0
200101;LFBZ;BIARRITZ-PAYS-BASQUE;MT;56570;30116;26164;13;11,7;16;847;0
200101;LFCK;CASTRES-MAZAMET;MT;1482;775;707;0;0;0;202;0
200101;LFCR;RODEZ-AVEYRON;MT;7101;3629;3272;200;0;0;345;0
200101;LFGJ;DOLE-TAVAUX;MT;2197;146;131;7;105,5;85,8;26;41
200101;LFJL;METZ-NANCY-LORRAINE;MT;34434;10933;10953;116;681,7;561,5;1045;383
200101;LFKB;BASTIA-PORETTA;MT;51783;24103;21311;439;154,4;438,6;841;102
200101;LFKC;CALVI-STE-CATHERINE;MT;5420;3040;2374;0;0,1;0,5;274;0
200101;LFKF;FIGARI-SUD-CORSE;MT;8949;5179;3769;1;0;0;256;0
200101;LFKJ;AJACCIO-NAPOLEON-BONAPARTE;MT;49569;23423;20765;0;120,8;417,4;761;102
200101;LFLB;CHAMBERY-AIX-LES-BAINS;MT;21423;10753;10614;49;0,4;0,3;444;1
200101;LFLC;CLERMONT-FERRAND-AUVERGNE;MT;65299;30139;29592;3411;101;114,8;2919;44
200101;LFLL;LYON-ST-EXUPERY;MT;529897;242294;246377;4753;1937,1;1710,2;10540;517
200101;LFLP;ANNECY-MEYTHET;MT;6444;3340;3100;0;0,4;0;185;0
200101;LFLS;GRENOBLE-ALPES-ISERE;MT;32021;15463;16384;95;6,4;1,6;347;0
200101;LFLW;AURILLAC;MT;1407;736;671;0;0;0;98;0
200101;LFLX;CHATEAUROUX-DEOLS;MT;1460;274;157;0;102,6;0,4;24;24
200101;LFMH;ST-ETIENNE-LOIRE;MT;11037;5598;5439;0;0;0;205;0
200101;LFMK;CARCASSONNE-SALVAZA;MT;7521;3946;3575;0;0;0;215;0
200101;LFML;MARSEILLE-PROVENCE;MT;515304;225288;234513;9157;2144,2;2490,4;7782;607
200101;LFMN;"NICE-COTE D'AZUR";MT;615885;303722;293964;2875;785,2;747,3;14289;179
200101;LFMP;PERPIGNAN-RIVESALTES;MT;34563;18527;16035;0;0,1;0;356;0
200101;LFMT;MONTPELLIER-MEDITERRANEE;MT;138433;68313;64333;21;233,4;343,3;2163;43
200101;LFMU;BEZIERS-VIAS;MT;5199;2668;2520;0;0,7;0,4;165;0
200101;LFMV;AVIGNON-CAUMONT;MT;9637;5360;4277;0;0;0;162;0
200101;LFOB;BEAUVAIS-TILLE;MT;23551;11973;11041;0;23,6;30,1;285;4
200101;LFOH;LE HAVRE-OCTEVILLE;MT;3584;1500;1597;413;0,1;7,3;451;0
200101;LFOK;CHALONS-VATRY;MT;1680;0;0;0;168;0;0;7
200101;LFOP;ROUEN-VALLEE DE SEINE;MT;2462;1184;1274;0;0;0,4;167;0
200101;LFPG;PARIS-CHARLES DE GAULLE;MT;4685119;1762660;1736444;5686;64872,4;53160,6;39131;3214
200101;LFPO;PARIS-ORLY;MT;2059416;941236;1005044;1972;6496;4620,5;19804;24
200101;LFQQ;LILLE-LESQUIN;MT;59248;28205;29575;219;106,2;18,7;2048;38
200101;LFRB;BREST-BRETAGNE;MT;56612;28824;26043;0;88,9;85,6;1086;43
200101;LFRD;DINARD-PLEURTUIT-ST-MALO;MT;4782;2658;2113;2;0,8;0,1;249;0
200101;LFRH;LORIENT-LANN-BIHOUE;MT;16770;8961;7772;0;0,4;3,2;364;0
200101;LFRK;CAEN-CARPIQUET;MT;6277;3073;3174;5;2,1;0,3;284;5
