ANMOIS;APT;APT_NOM;APT_ZON;APT_PEQ;APT_PAX_dep;APT_PAX_arr;APT_PAX_tr;APT_FRP_dep;APT_FRP_arr;APT_NMVT_mxt;APT_NMVT_cgo
199801;FMCZ;MAYOTTE-MARCEL HENRY;OM;8222;2836;3761;614;12,2;89;126;0
199801;FMEE;LA REUNION-ROLAND GARROS;OM;170717;69365;70965;11465;646,6;1245,6;1224;34
199801;LFBA;AGEN-LA GARENNE;MT;1954;986;961;7;0;0;168;0
199801;LFBD;BORDEAUX-MERIGNAC;MT;208775;96117;95143;2910;712,1;748,5;3750;194
199801;LFBE;BERGERAC-DORDOGNE-PERIGORD;MT;1306;610;581;115;0;0;155;0
199801;LFBH;LA ROCHELLE-ILE DE RE;MT;2648;1401;1247;0;0;0;185;0
199801;LFBI;POITIERS-BIARD;MT;9752;1566;1657;661;290,5;296,4;388;46
199801;LFBL;LIMOGES-BELLEGARDE;MT;10971;4825;4580;64;78,4;71,9;421;41
199801;LFBO;TOULOUSE-BLAGNAC;MT;407941;182188;177644;8401;1079,8;2891;5882;477
199801;LFBP;PAU-PYRENEES;MT;48312;23429;22158;1109;89;72,6;926;42
199801;LFBT;TARBES-LOURDES-PYRENEES;MT;8796;4364;4405;0;0,3;2,4;141;0
199801;LFBU;ANGOULEME-BRIE-CHAMPNIERS;MT;1359;686;673;0;0;0;117;0
199801;LFBV;BRIVE-LA-ROCHE;MT;2806;1392;1414;0;0;0;123;0
199801;LFBX;PERIGUEUX-BASSILLAC;MT;2850;1460;1390;0;0;0;168;0
199801;LFBZ;BIARRITZ-PAYS-BASQUE;MT;45868;23856;21506;72;23,1;20,3;757;0
199801;LFCK;CASTRES-MAZAMET;MT;1678;852;826;0;0;0;164;0
199801;LFCR;RODEZ-AVEYRON;MT;5868;2761;2542;557;0,8;0;278;0
199801;LFEC;OUESSANT;MT;1141;573;474;0;1;8,4;180;0
199801;LFJL;METZ-NANCY-LORRAINE;MT;16811;7595;6233;21;118,4;177,8;633;80
199801;LFKB;BASTIA-PORETTA;MT;48330;22109;19138;658;186,7;455,9;836;152
199801;LFKC;CALVI-STE-CATHERINE;MT;5493;3169;2294;0;0;3;166;0
199801;LFKF;FIGARI-SUD-CORSE;MT;8165;4613;3551;1;0;0;246;0
199801;LFKJ;AJACCIO-NAPOLEON-BONAPARTE;MT;43318;21918;18331;4;38,7;267,8;801;129
199801;LFLB;CHAMBERY-AIX-LES-BAINS;MT;16530;8017;8496;13;0,2;0,2;414;0
199801;LFLC;CLERMONT-FERRAND-AUVERGNE;MT;51874;23367;23247;3180;100;108,1;1977;42
199801;LFLL;LYON-ST-EXUPERY;MT;440392;199127;199919;10932;1430,2;1611,2;7440;735
199801;LFLP;ANNECY-MEYTHET;MT;6675;3278;3393;0;0,4;0;283;0
199801;LFLS;GRENOBLE-ALPES-ISERE;MT;42593;20860;21446;53;12,1;11,3;535;0
199801;LFMH;ST-ETIENNE-LOIRE;MT;10941;5372;5542;0;2;0,8;1038;0
199801;LFMK;CARCASSONNE-SALVAZA;MT;1982;1011;971;0;0;0;140;0
199801;LFML;MARSEILLE-PROVENCE;MT;442341;191963;192252;11985;2110,4;2503,6;6367;590
199801;LFMN;"NICE-COTE D'AZUR";MT;504326;242996;236587;5111;1200,5;762,6;12851;179
199801;LFMP;PERPIGNAN-RIVESALTES;MT;29167;15065;13866;0;18,5;5;475;0
199801;LFMT;MONTPELLIER-MEDITERRANEE;MT;117406;54051;52772;343;477;547,1;1875;126
199801;LFMU;BEZIERS-VIAS;MT;4618;2402;2198;0;0,6;1,2;144;0
199801;LFMV;AVIGNON-CAUMONT;MT;9683;5033;4643;0;0,3;0,3;307;0
199801;LFOB;BEAUVAIS-TILLE;MT;18967;8754;9175;150;62,7;26,1;243;6
199801;LFOH;LE HAVRE-OCTEVILLE;MT;5529;2130;1892;1507;0;0;603;0
199801;LFOP;ROUEN-VALLEE DE SEINE;MT;2171;1122;1027;4;1,9;0;279;2
199801;LFPG;PARIS-CHARLES DE GAULLE;MT;3557889;1329222;1303415;15045;46759,8;44261;31250;2483
199801;LFPO;PARIS-ORLY;MT;2094091;929870;964438;2260;11117,2;8635,1;20192;150
199801;LFQQ;LILLE-LESQUIN;MT;47368;23254;23399;18;52,6;17,2;1552;26
199801;LFRB;BREST-BRETAGNE;MT;52609;24901;22989;2536;106,1;112,3;1079;42
199801;LFRC;CHERBOURG-MAUPERTUS;MT;1286;669;617;0;0;0;133;0
199801;LFRD;DINARD-PLEURTUIT-ST-MALO;MT;2520;1297;1146;14;0,8;5,5;183;4
199801;LFRH;LORIENT-LANN-BIHOUE;MT;14869;7750;7022;0;0,9;8,7;309;0
199801;LFRK;CAEN-CARPIQUET;MT;3756;1790;1844;116;0,6;0;303;0
199801;LFRN;RENNES-ST-JACQUES;MT;29517;12230;11548;291;269,3;275,6;1361;88
199801;LFRO;LANNION;MT;3426;1719;1676;0;3,1;0;91;0
199801;LFRQ;QUIMPER-PLUGUFFAN;MT;8986;4469;4489;0;1,3;1,5;162;0
199801;LFRS;NANTES-ATLANTIQUE;MT;101857;45835;43212;6022;320,8;358,1;2916;57
199801;LFRZ;ST-NAZAIRE-MONTOIR;MT;7844;11;24;4;492,3;288,1;10;45
199801;LFSB;BALE-MULHOUSE;MT;199827;82811;93000;2451;1202,6;953,9;5616;368
199801;LFSD;DIJON-LONGVIC;MT;1860;836;973;49;0,2;0;210;0
199801;LFSG;EPINAL-MIRECOURT;MT;1021;511;490;0;0,6;1,4;123;4
199801;LFST;STRASBOURG-ENTZHEIM;MT;165734;78535;80232;283;332,6;335,8;3468;84
199801;LFTH;TOULON-HYERES;MT;43058;22236;20580;0;10,3;13,9;827;0
199801;LFTW;NIMES-GARONS;MT;21892;11076;10544;0;8,3;18,9;254;0
199801;LFVP;ST-PIERRE-POINTE BLANCHE;OM;2149;988;934;0;3,6;19,2;187;0
199801;NLWW;WALLIS-HIHIFO;OM;2852;1191;1183;317;2,8;13,3;82;0
199801;NTAA;"TAHITI FAA'A";OM;99074;41899;48737;1449;206,2;492,7;3211;0
199801;NTAR;RURUTU;OM;1521;661;391;385;3,7;4,8;49;0
199801;NTAT;TUBUAI MATAURA;OM;1600;687;457;304;8,5;6,7;48;0
199801;NTGI;MANIHI;OM;1649;757;652;154;1,1;7,4;78;0
199801;NTMD;NUKU HIVA;OM;2011;972;712;206;5,4;6,7;101;0
199801;NTMN;HIVA OA-ATUONA;OM;1006;479;369;115;1,1;3,2;62;0
199801;NTTB;BORA BORA;OM;14101;6789;6327;787;4;15,7;448;0
199801;NTTE;TETIAROA;OM;1037;561;476;0;0;0;122;0
199801;NTTG;RANGIROA;OM;6326;2414;2437;1187;12,3;16,5;301;0
199801;NTTH;HUAHINE;OM;11697;3537;2894;5180;2,4;6,2;435;0
199801;NTTM;MOOREA;OM;17393;8875;8090;424;0,3;0,2;1867;0
199801;NTTO;HAO;OM;2470;925;957;492;2,9;6,8;124;0
199801;NTTR;RAIATEA;OM;12302;5342;4448;2297;5,9;15,6;393;0
199801;NTTX;MURUROA;OM;1073;389;477;207;0;0;34;0
199801;NWWE;ILE DES PINS;OM;10312;5072;5003;0;6,7;17;388;0
