ANMOIS;APT;APT_NOM;APT_ZON;APT_PEQ;APT_PAX_dep;APT_PAX_arr;APT_PAX_tr;APT_FRP_dep;APT_FRP_arr;APT_NMVT_mxt;APT_NMVT_cgo
202101;FMCZ;MAYOTTE-MARCEL HENRY;OM;27274;10056;14709;0;19;231,9;190;0
202101;FMEE;LA REUNION-ROLAND GARROS;OM;142950;61349;58012;1251;658,6;1575,2;472;42
202101;LFBD;BORDEAUX-MERIGNAC;MT;108106;50531;48957;300;301,4;530,4;1157;80
202101;LFBO;TOULOUSE-BLAGNAC;MT;197530;80944;80611;344;1533,6;2029,5;1918;373
202101;LFBP;PAU-PYRENEES;MT;14740;7519;6405;4;39;42,3;352;4
202101;LFBT;TARBES-LOURDES-PYRENEES;MT;3292;1771;1521;0;0;0;171;0
202101;LFBZ;BIARRITZ-PAYS-BASQUE;MT;19711;10878;8833;0;0;0;276;0
202101;LFCK;CASTRES-MAZAMET;MT;1716;965;751;0;0;0;80;0
202101;LFGJ;DOLE-TAVAUX;MT;4413;1916;2497;0;0;0;52;0
202101;LFJL;METZ-NANCY-LORRAINE;MT;1468;729;687;52;0;0;32;0
202101;LFKB;BASTIA-PORETTA;MT;41658;19372;16565;83;187,2;376,5;515;102
202101;LFKC;CALVI-STE-CATHERINE;MT;7363;3376;2683;1303;0;0,1;216;0
202101;LFKF;FIGARI-SUD-CORSE;MT;9907;5557;4062;288;0;0;281;0
202101;LFKJ;AJACCIO-NAPOLEON-BONAPARTE;MT;39578;18919;15733;17;139,1;351,8;495;87
202101;LFLC;CLERMONT-FERRAND-AUVERGNE;MT;6316;2777;2672;2;86,5;0;252;5
202101;LFLL;LYON-ST-EXUPERY;MT;221425;87515;95920;52;2089,3;1704,5;2640;351
202101;LFLW;AURILLAC;MT;1442;784;658;0;0;0;89;0
202101;LFML;MARSEILLE-PROVENCE;MT;244457;95039;98860;1642;2463,6;2428;2338;579
202101;LFMN;"NICE-COTE D'AZUR";MT;215486;109358;104614;717;43,2;36,5;3669;35
202101;LFMP;PERPIGNAN-RIVESALTES;MT;11808;6499;5309;0;0;0;195;0
202101;LFMT;MONTPELLIER-MEDITERRANEE;MT;57748;25710;26721;0;279;252,7;581;80
202101;LFOB;BEAUVAIS-TILLE;MT;56168;22119;34049;0;0;0;516;0
202101;LFOK;CHALONS-VATRY;MT;16321;1543;2446;2;572;661;42;75
202101;LFPB;PARIS-LE BOURGET;MT;4772;2399;2373;0;0;0;2434;0
202101;LFPG;PARIS-CHARLES DE GAULLE;MT;2679257;575589;621033;239;72542,5;75697,1;10491;3280
202101;LFPO;PARIS-ORLY;MT;945594;407961;470777;0;4832,6;1853;6830;0
202101;LFQQ;LILLE-LESQUIN;MT;34934;16908;17566;460;0;0;479;0
202101;LFRB;BREST-BRETAGNE;MT;34817;16873;14515;12;340,7;1;601;8
202101;LFRH;LORIENT-LANN-BIHOUE;MT;1237;686;551;0;0;0;97;0
202101;LFRK;CAEN-CARPIQUET;MT;6018;3091;2927;0;0;0;160;0
202101;LFRN;RENNES-ST-JACQUES;MT;27365;8888;8190;4;565,6;462,8;344;123
202101;LFRS;NANTES-ATLANTIQUE;MT;112140;52008;51415;187;385,5;467,5;1163;49
202101;LFRZ;ST-NAZAIRE-MONTOIR;MT;11759;36;0;12;719,3;451,8;20;51
202101;LFSB;BALE-MULHOUSE;MT;160765;39934;68971;5;2962,8;2222,7;1289;415
202101;LFSL;BRIVE-SOUILLAC;MT;1595;873;722;0;0;0;89;0
202101;LFST;STRASBOURG-ENTZHEIM;MT;26821;12736;13990;89;0,5;0,1;455;0
202101;LFTH;TOULON-HYERES;MT;13339;7394;5941;4;0;0;341;0
202101;LFTW;NIMES-GARONS;MT;3091;1621;1470;0;0;0;38;0
202101;LFVP;ST-PIERRE-POINTE BLANCHE;OM;1302;551;601;0;2,8;12,2;152;8
202101;NLWF;FUTUNA;OM;1134;621;492;0;0,5;1,6;103;0
202101;NLWW;WALLIS-HIHIFO;OM;4254;2081;2040;0;2,7;10,6;129;0
202101;NTAA;"TAHITI FAA'A";OM;63447;24862;34208;0;150,7;287;1262;1
202101;NTAR;RURUTU;OM;1913;908;556;412;0;3,8;46;0
202101;NTAT;TUBUAI MATAURA;OM;1850;894;515;403;-0,1;3,8;50;0
202101;NTGC;TIKEHAU;OM;3117;1243;904;931;0;3,9;84;0
202101;NTGF;FAKARAVA;OM;2289;1150;789;310;0,2;3,8;58;0
202101;NTMD;NUKU HIVA;OM;3215;1445;1123;597;0,8;4,2;108;0
202101;NTMN;HIVA OA-ATUONA;OM;2959;1222;1071;624;0,5;3,7;122;0
202101;NTTB;BORA BORA;OM;13315;6080;4777;2347;2,5;8,6;347;2
202101;NTTG;RANGIROA;OM;6181;2462;1922;1639;6,5;9,3;156;0
202101;NTTH;HUAHINE;OM;8872;3797;2545;2449;3,5;4,5;268;0
202101;NTTM;MOOREA;OM;1298;446;211;637;0;0,4;68;0
202101;NTTO;HAO;OM;1390;346;399;623;0,5;1,6;44;0
202101;NTTP;MAUPITI;OM;1764;966;711;47;0;4;80;0
202101;NTTR;RAIATEA;OM;15895;7355;5910;2474;5,1;10,5;446;4
202101;NWWE;ILE DES PINS;OM;9090;4513;4355;0;4,1;18,1;158;0
202101;NWWL;LIFOU;OM;16686;8358;7912;0;10,6;30,9;417;0
202101;NWWM;NOUMEA MAGENTA;OM;40681;18943;20618;0;87,2;24,8;883;1
202101;NWWR;MARE;OM;8219;3931;4027;0;6,4;19,8;247;0
202101;NWWV;OUVEA;OM;7958;3931;3821;0;3,9;16,7;238;0
202101;NWWW;NOUMEA LA TONTOUTA;OM;8010;2174;3296;0;37,7;216,3;75;12
202101;SOCA;CAYENNE-FELIX EBOUE;OM;30059;13824;14115;0;52,1;159,8;359;21
202101;SOOA;MARIPASOULA;OM;2663;1222;983;295;0;16,3;244;14
202101;TFFF;MARTINIQUE-AIME CESAIRE;OM;141667;65290;64913;2608;183,8;701,8;1081;46
202101;TFFG;ST-MARTIN-GRAND-CASE;OM;10214;5064;4786;6;19,1;16,8;485;33
202101;TFFJ;ST-BARTHELEMY;OM;18163;10020;7842;0;7,6;22,4;3702;74
202101;TFFR;POINTE-A-PITRE-LE RAIZET;OM;175929;81205;83006;1972;160,3;814,3;1752;48
202101;ZZMT; AUTRES APT (MT);MT;10558;4573;4107;284;104,1;55,3;1737;10
202101;ZZOM; AUTRES APT (OM);OM;14435;6409;3966;3682;1,4;36,3;968;13
202102;FMCZ;MAYOTTE-MARCEL HENRY;OM;9439;3843;3166;0;29,5;213,5;83;8
202102;FMEE;LA REUNION-ROLAND GARROS;OM;56980;20050;15467;679;392,6;1685,8;288;81
202102;LFAQ;ALBERT-BRAY;MT;1153;120;168;8;51,6;34;43;7
202102;LFBD;BORDEAUX-MERIGNAC;MT;86391;37178;40872;526;301,1;480,5;1077;81
202102;LFBO;TOULOUSE-BLAGNAC;MT;162179;59554;62742;595;1527,2;2401,6;1543;356
202102;LFBP;PAU-PYRENEES;MT;12577;6006;6571;0;0;0;307;0
202102;LFBT;TARBES-LOURDES-PYRENEES;MT;2792;1311;1481;0;0;0;143;0
202102;LFBZ;BIARRITZ-PAYS-BASQUE;MT;17553;8515;9038;0;0;0;244;0
202102;LFCK;CASTRES-MAZAMET;MT;1527;723;804;0;0;0;61;0
202102;LFGJ;DOLE-TAVAUX;MT;1484;592;892;0;0;0;40;0
202102;LFKB;BASTIA-PORETTA;MT;35410;14318;15541;536;145,4;356;402;93
202102;LFKC;CALVI-STE-CATHERINE;MT;8573;2763;3172;2635;0;0,3;235;0
202102;LFKF;FIGARI-SUD-CORSE;MT;11129;5136;5382;611;0;0;278;0
202102;LFKJ;AJACCIO-NAPOLEON-BONAPARTE;MT;34046;14153;15323;279;114,6;314,5;404;79
202102;LFLC;CLERMONT-FERRAND-AUVERGNE;MT;7731;1712;1811;0;382,7;38,1;210;9
202102;LFLL;LYON-ST-EXUPERY;MT;164391;60559;67915;815;1905,6;1604,6;2206;354
202102;LFLW;AURILLAC;MT;1604;776;828;0;0;0;82;0
202102;LFML;MARSEILLE-PROVENCE;MT;172532;59156;64652;1089;2422,1;2341,5;1724;571
202102;LFMN;"NICE-COTE D'AZUR";MT;174326;85559;87659;374;39;34,4;2977;35
202102;LFMP;PERPIGNAN-RIVESALTES;MT;8663;4110;4553;0;0;0;116;0
202102;LFMT;MONTPELLIER-MEDITERRANEE;MT;36874;14171;17609;0;277,6;231,8;429;80
202102;LFOB;BEAUVAIS-TILLE;MT;19585;9798;9787;0;0;0;232;0
202102;LFOK;CHALONS-VATRY;MT;21560;741;913;1;783,9;1206,6;48;109
202102;LFPB;PARIS-LE BOURGET;MT;5087;2536;2551;0;0;0;2386;0
202102;LFPG;PARIS-CHARLES DE GAULLE;MT;2301902;394054;404851;118;74755,5;75532,4;8495;3216
202102;LFPO;PARIS-ORLY;MT;520202;221052;241432;546;4103,3;1614;4532;5
202102;LFQQ;LILLE-LESQUIN;MT;33004;16852;15979;173;0;0;448;0
202102;LFRB;BREST-BRETAGNE;MT;24902;12311;12564;0;1,8;0,9;501;1
202102;LFRH;LORIENT-LANN-BIHOUE;MT;1361;659;702;0;0;0;86;0
202102;LFRK;CAEN-CARPIQUET;MT;4754;2436;2312;6;0;0;117;0
202102;LFRN;RENNES-ST-JACQUES;MT;22422;6616;6178;2;489,3;473,2;250;123
202102;LFRS;NANTES-ATLANTIQUE;MT;80753;35968;35365;173;449,2;475,5;885;75
202102;LFRZ;ST-NAZAIRE-MONTOIR;MT;14775;49;0;17;940,8;530,2;28;64
202102;LFSB;BALE-MULHOUSE;MT;119958;35878;35419;5;2809,7;2055,9;1033;364
