ANMOIS;APT;APT_NOM;APT_ZON;APT_PEQ;APT_PAX_dep;APT_PAX_arr;APT_PAX_tr;APT_FRP_dep;APT_FRP_arr;APT_NMVT_mxt;APT_NMVT_cgo
201601;FMCZ;MAYOTTE-MARCEL HENRY;OM;29777;9727;16462;1731;28,5;157,2;738;0
201601;FMEE;LA REUNION-ROLAND GARROS;OM;232866;96063;111754;456;806,8;1652,5;1117;16
201601;FMEP;ST-PIERRE-PIERREFONDS;OM;13377;5617;7742;0;0;1,8;255;0
201601;LFAQ;ALBERT-BRAY;MT;1815;15;14;1;119,9;58,6;46;8
201601;LFBA;AGEN-LA GARENNE;MT;3279;1656;1608;15;0;0;134;0
201601;LFBD;BORDEAUX-MERIGNAC;MT;340401;167615;160309;2390;453,1;555,6;3313;120
201601;LFBE;BERGERAC-DORDOGNE-PERIGORD;MT;6102;3333;2769;0;0;0;71;0
201601;LFBH;LA ROCHELLE-ILE DE RE;MT;4780;2549;2231;0;0;0;128;0
201601;LFBI;POITIERS-BIARD;MT;5939;2338;2265;1336;0;0;209;0
201601;LFBL;LIMOGES-BELLEGARDE;MT;14909;7772;7118;19;0;0;288;1
201601;LFBO;TOULOUSE-BLAGNAC;MT;591592;270645;263983;3578;1906,2;3432,4;5654;421
201601;LFBP;PAU-PYRENEES;MT;45327;23552;21775;0;0;0;667;0
201601;LFBT;TARBES-LOURDES-PYRENEES;MT;10686;5481;5205;0;0;0;209;0
201601;LFBZ;BIARRITZ-PAYS-BASQUE;MT;54609;28806;25803;0;0;0;552;0
201601;LFCK;CASTRES-MAZAMET;MT;3298;1748;1550;0;0;0;135;0
201601;LFCR;RODEZ-AVEYRON;MT;3545;1855;1690;0;0;0;138;0
201601;LFGJ;DOLE-TAVAUX;MT;7446;3562;3814;70;0;0;90;0
201601;LFJL;METZ-NANCY-LORRAINE;MT;12386;6159;6227;0;0;0;374;0
201601;LFKB;BASTIA-PORETTA;MT;60484;27265;26407;178;188;475,4;660;153
201601;LFKC;CALVI-STE-CATHERINE;MT;5732;3301;2429;0;0;0,2;175;2
201601;LFKF;FIGARI-SUD-CORSE;MT;9177;5220;3946;11;0;0;230;0
201601;LFKJ;AJACCIO-NAPOLEON-BONAPARTE;MT;56220;27381;24177;0;97,8;368,5;636;81
201601;LFLB;CHAMBERY-AIX-LES-BAINS;MT;65802;32675;32533;11;45,7;12,6;794;0
201601;LFLC;CLERMONT-FERRAND-AUVERGNE;MT;26614;13035;12425;248;90,5;0,1;632;4
201601;LFLL;LYON-ST-EXUPERY;MT;645832;296713;304222;3192;2067,2;2103,3;7318;271
201601;LFLS;GRENOBLE-ALPES-ISERE;MT;85845;42702;43142;1;0;0;701;0
201601;LFLW;AURILLAC;MT;2144;1117;1027;0;0;0;91;0
201601;LFMH;ST-ETIENNE-LOIRE;MT;10810;4721;6089;0;0;0;119;0
201601;LFMK;CARCASSONNE-SALVAZA;MT;18891;9623;9268;0;0;0;132;0
201601;LFML;MARSEILLE-PROVENCE;MT;576558;260424;264252;5110;2549,8;2127,5;5898;674
201601;LFMN;"NICE-COTE D'AZUR";MT;625872;313121;302820;159;671,3;306;8142;112
201601;LFMP;PERPIGNAN-RIVESALTES;MT;16619;8656;7963;0;0;0;228;0
201601;LFMT;MONTPELLIER-MEDITERRANEE;MT;104053;49353;49501;200;236,2;263,7;1030;75
201601;LFMU;BEZIERS-VIAS;MT;6184;3114;3070;0;0;0;49;0
201601;LFOB;BEAUVAIS-TILLE;MT;287248;139457;147790;0;0;0,1;1982;0
201601;LFOK;CHALONS-VATRY;MT;8686;2883;3569;0;212,2;11,2;78;12
201601;LFOT;TOURS-VAL DE LOIRE;MT;9320;4800;4520;0;0;0;76;0
201601;LFPB;PARIS-LE BOURGET;MT;8689;4138;4551;0;0;0;2978;0
201601;LFPG;PARIS-CHARLES DE GAULLE;MT;6281134;2337791;2340625;6495;84289;75333,3;32917;2322
201601;LFPO;PARIS-ORLY;MT;2181755;1023368;1070810;64;5973,8;2777,4;16579;0
201601;LFQQ;LILLE-LESQUIN;MT;82006;40036;41311;659;0;0;1105;1
201601;LFRB;BREST-BRETAGNE;MT;67950;34631;32086;710;19;33,4;989;40
201601;LFRD;DINARD-PLEURTUIT-ST-MALO;MT;4141;2371;1768;0;0,2;0;78;0
201601;LFRG;DEAUVILLE-NORMANDIE;MT;3588;1378;1060;1150;0;0;61;0
201601;LFRH;LORIENT-LANN-BIHOUE;MT;7551;4118;3433;0;0;0;161;0
201601;LFRK;CAEN-CARPIQUET;MT;7279;3666;3610;3;0;0;206;0
201601;LFRN;RENNES-ST-JACQUES;MT;40635;16915;16312;0;288,5;452,3;790;135
201601;LFRO;LANNION;MT;2429;1268;1161;0;0;0;99;0
201601;LFRQ;QUIMPER-PLUGUFFAN;MT;6018;3274;2744;0;0;0;143;0
201601;LFRS;NANTES-ATLANTIQUE;MT;263015;127490;122939;5119;334,2;412,5;3100;50
201601;LFRZ;ST-NAZAIRE-MONTOIR;MT;21154;637;641;166;1258,6;712,3;78;88
201601;LFSB;BALE-MULHOUSE;MT;438826;192157;207472;1608;2299;1459,9;4379;386
201601;LFSL;BRIVE-SOUILLAC;MT;3122;1585;1537;0;0;0;130;0
201601;LFST;STRASBOURG-ENTZHEIM;MT;68521;34509;33977;0;0,7;2,9;1404;0
201601;LFTH;TOULON-HYERES;MT;28435;14501;13881;53;0;0;412;0
201601;LFTW;NIMES-GARONS;MT;11250;5714;5536;0;0;0;89;0
201601;LFVP;ST-PIERRE-POINTE BLANCHE;OM;2423;1171;1080;0;1,6;15,6;196;0
201601;NLWF;FUTUNA;OM;1321;683;598;0;0,9;3,1;130;0
201601;NLWW;WALLIS-HIHIFO;OM;4634;2284;2163;0;4,4;14,3;156;0
201601;NTAA;"TAHITI FAA'A";OM;99365;41083;49857;1110;322,6;408,9;1570;2
201601;NTAR;RURUTU;OM;2025;941;562;472;0,2;4,7;53;1
201601;NTAT;TUBUAI MATAURA;OM;1911;720;650;492;0,4;4,4;48;0
201601;NTAV;RAIVAVAE;OM;1036;493;229;302;0,1;1,1;30;0
201601;NTGC;TIKEHAU;OM;2589;884;612;1074;0,1;1,8;88;0
201601;NTGF;FAKARAVA;OM;1723;798;573;312;0,1;3,9;58;0
201601;NTMD;NUKU HIVA;OM;3647;1648;1430;492;0,5;7,2;172;0
201601;NTMN;HIVA OA-ATUONA;OM;2521;1248;770;450;0,4;4,8;118;0
201601;NTTB;BORA BORA;OM;18654;9050;8135;1347;1;11,1;466;0
201601;NTTG;RANGIROA;OM;4877;1948;1783;1075;1;6,1;166;0
201601;NTTH;HUAHINE;OM;8670;3347;2559;2705;0,4;5,5;258;0
201601;NTTM;MOOREA;OM;4450;1834;1158;1454;0;0,4;170;0
201601;NTTO;HAO;OM;1296;389;477;389;0,4;3,6;58;0
201601;NTTP;MAUPITI;OM;1598;912;655;0;0,1;2,9;64;0
201601;NTTR;RAIATEA;OM;16185;6718;5949;3392;1,3;11,3;424;0
201601;NWWE;ILE DES PINS;OM;9032;4512;4241;0;4,3;23,6;186;0
201601;NWWL;LIFOU;OM;14757;7337;6889;0;9,4;43,7;312;0
201601;NWWM;NOUMEA MAGENTA;OM;39079;18135;19477;0;119;27,7;980;0
201601;NWWR;MARE;OM;6781;3281;3157;0;6;28,3;180;0
201601;NWWV;OUVEA;OM;7864;4036;3559;0;5,9;21,1;204;0
201601;NWWW;NOUMEA LA TONTOUTA;OM;61680;29022;28269;0;130,2;308,7;364;0
201601;SOCA;CAYENNE-FELIX EBOUE;OM;40133;16624;19287;1341;69,5;218,6;572;28
201601;SOOA;MARIPASOULA;OM;3142;1290;1078;457;0;31,7;367;24
201601;TFFF;MARTINIQUE-AIME CESAIRE;OM;190231;83233;91507;5139;265,6;769,6;1815;124
201601;TFFG;ST-MARTIN-GRAND-CASE;OM;14507;7764;6416;4;18;14,3;680;6
201601;TFFJ;ST-BARTHELEMY;OM;20441;11314;8863;0;8,4;18;3521;48
201601;TFFR;POINTE-A-PITRE-LE RAIZET;OM;226430;99462;112240;5320;206,5;734,2;2450;56
201601;ZZMT; AUTRES APT (MT);MT;6245;2838;2706;7;41,3;28,1;1279;25
201601;ZZOM; AUTRES APT (OM);OM;14436;5688;4032;4301;4,5;36,7;1300;11
201602;FMCZ;MAYOTTE-MARCEL HENRY;OM;20934;9938;7605;1547;17,7;166,7;478;0
201602;FMEE;LA REUNION-ROLAND GARROS;OM;142073;57120;61195;656;589,1;1721,1;816;38
201602;FMEP;ST-PIERRE-PIERREFONDS;OM;3721;1802;1911;0;0;0,8;72;0
201602;LFAQ;ALBERT-BRAY;MT;2321;15;14;0;155,6;73,6;46;10
201602;LFBA;AGEN-LA GARENNE;MT;3122;1580;1542;0;0;0;135;0
201602;LFBD;BORDEAUX-MERIGNAC;MT;363463;174585;174887;3471;466,3;585,6;3531;125
201602;LFBE;BERGERAC-DORDOGNE-PERIGORD;MT;6314;3092;3222;0;0;0;65;0
201602;LFBH;LA ROCHELLE-ILE DE RE;MT;4923;2426;2497;0;0;0;127;0
201602;LFBI;POITIERS-BIARD;MT;5934;2272;2213;1449;0;0;207;0
201602;LFBL;LIMOGES-BELLEGARDE;MT;14963;7488;7473;2;0;0;276;0
201602;LFBO;TOULOUSE-BLAGNAC;MT;629067;290853;277222;2468;2088,9;3763,5;6034;456
201602;LFBP;PAU-PYRENEES;MT;48944;23824;24620;0;31,7;18,3;705;6
201602;LFBT;TARBES-LOURDES-PYRENEES;MT;17827;8838;8989;0;0;0;242;0
201602;LFBZ;BIARRITZ-PAYS-BASQUE;MT;58137;28706;29425;6;0;0;579;0
201602;LFCK;CASTRES-MAZAMET;MT;3545;1741;1804;0;0;0;138;0
201602;LFCR;RODEZ-AVEYRON;MT;3517;1749;1768;0;0;0;151;0
201602;LFGJ;DOLE-TAVAUX;MT;6896;3585;3311;0;0;0;59;0
201602;LFJL;METZ-NANCY-LORRAINE;MT;12358;6126;6232;0;0;0;373;0
201602;LFKB;BASTIA-PORETTA;MT;55295;24485;24475;0;191,1;442,5;559;152
201602;LFKC;CALVI-STE-CATHERINE;MT;6068;3170;2893;0;0;0,5;165;0
201602;LFKF;FIGARI-SUD-CORSE;MT;9946;5200;4744;0;0;0,2;257;0
201602;LFKJ;AJACCIO-NAPOLEON-BONAPARTE;MT;53612;25069;23995;0;86,9;367,9;564;81
201602;LFLB;CHAMBERY-AIX-LES-BAINS;MT;50376;25392;24452;4;46,3;6,5;715;0
201602;LFLC;CLERMONT-FERRAND-AUVERGNE;MT;27205;13278;13564;26;33,6;0,1;698;3
201602;LFLJ;COURCHEVEL;MT;1125;540;585;0;0;0;311;0
201602;LFLL;LYON-ST-EXUPERY;MT;685001;321455;314506;3827;2364,7;2156,6;7718;337
201602;LFLS;GRENOBLE-ALPES-ISERE;MT;71978;36477;35287;214;0;0;616;0
201602;LFLW;AURILLAC;MT;2230;1143;1087;0;0;0;92;0
201602;LFLX;CHATEAUROUX-DEOLS;MT;1497;19;64;0;140,7;0,7;1;22
