ANMOIS;APT;APT_NOM;APT_ZON;APT_PEQ;APT_PAX_dep;APT_PAX_arr;APT_PAX_tr;APT_FRP_dep;APT_FRP_arr;APT_NMVT_mxt;APT_NMVT_cgo
199101;FMCZ;MAYOTTE-MARCEL HENRY;OM;2708;1156;1282;0;7,3;19,6;88;0
199101;FMEE;LA REUNION-ROLAND GARROS;OM;95880;41116;41089;1507;354,2;862,6;848;30
199101;LFAT;LE TOUQUET-COTE D’OPALE;MT;1178;641;514;23;0;0;156;0
199101;LFBA;AGEN-LA GARENNE;MT;3039;897;882;16;64,5;59,9;181;43
199101;LFBD;BORDEAUX-MERIGNAC;MT;160865;74884;72477;7438;269,3;337,3;2591;94
199101;LFBE;BERGERAC-DORDOGNE-PERIGORD;MT;3598;1074;935;1589;0;0;302;0
199101;LFBH;LA ROCHELLE-ILE DE RE;MT;3125;1589;1536;0;0;0;124;0
199101;LFBI;POITIERS-BIARD;MT;2505;783;744;67;34,6;56,4;234;84
199101;LFBL;LIMOGES-BELLEGARDE;MT;9706;4358;4222;1007;7,9;3,9;435;0
199101;LFBO;TOULOUSE-BLAGNAC;MT;262613;116493;113417;6853;867,2;1717,8;3172;203
199101;LFBP;PAU-PYRENEES;MT;44737;21795;20026;1141;81,5;96;777;43
199101;LFBT;TARBES-LOURDES-PYRENEES;MT;6777;3758;2903;0;0,5;11,1;78;0
199101;LFBU;ANGOULEME-BRIE-CHAMPNIERS;MT;2454;1092;1111;236;0,6;0,9;346;0
199101;LFBV;BRIVE-LA-ROCHE;MT;2034;1056;978;0;0;0;89;0
199101;LFBX;PERIGUEUX-BASSILLAC;MT;2935;1524;1402;6;0;0,3;212;0
199101;LFBZ;BIARRITZ-PAYS-BASQUE;MT;31511;17312;13950;67;8,5;9,7;477;0
199101;LFCI;ALBI-LE SEQUESTRE;MT;2045;1029;1009;7;0;0;116;0
199101;LFCK;CASTRES-MAZAMET;MT;4305;1519;1369;1417;0;0;235;1
199101;LFCR;RODEZ-AVEYRON;MT;5290;2703;2307;280;0;0;151;0
199101;LFKB;BASTIA-PORETTA;MT;20878;10396;7993;129;14,5;221,5;653;0
199101;LFKC;CALVI-STE-CATHERINE;MT;8502;4598;3856;0;0,8;4;104;0
