ANMOIS;APT;APT_NOM;APT_ZON;APT_PEQ;APT_PAX_dep;APT_PAX_arr;APT_PAX_tr;APT_FRP_dep;APT_FRP_arr;APT_NMVT_mxt;APT_NMVT_cgo
199301;FMCZ;MAYOTTE-MARCEL HENRY;OM;4786;2059;2362;0;6,7;29,8;92;0
199301;FMEE;LA REUNION-ROLAND GARROS;OM;123045;50819;52743;5739;384,2;990,2;956;19
199301;LFBA;AGEN-LA GARENNE;MT;2717;797;744;0;56,3;61,3;121;37
199301;LFBD;BORDEAUX-MERIGNAC;MT;176742;78116;76088;10231;703,6;527,2;2310;97
199301;LFBE;BERGERAC-DORDOGNE-PERIGORD;MT;1716;919;777;20;0;0;150;0
199301;LFBH;LA ROCHELLE-ILE DE RE;MT;2271;1145;1126;0;0;0;90;0
199301;LFBI;POITIERS-BIARD;MT;3981;828;726;187;108;115,9;212;121
199301;LFBL;LIMOGES-BELLEGARDE;MT;9470;4495;4484;425;4,6;1,9;432;0
199301;LFBO;TOULOUSE-BLAGNAC;MT;276932;123952;121226;3853;898,4;1891,7;2855;185
199301;LFBP;PAU-PYRENEES;MT;44102;20884;19353;1313;100,9;154,3;653;77
199301;LFBT;TARBES-LOURDES-PYRENEES;MT;8942;4736;4052;0;0,1;15,3;102;0
199301;LFBV;BRIVE-LA-ROCHE;MT;2448;1284;1164;0;0;0;91;0
199301;LFBX;PERIGUEUX-BASSILLAC;MT;2455;1231;1223;0;0,1;0;155;0
199301;LFBZ;BIARRITZ-PAYS-BASQUE;MT;34134;18141;15398;309;13,8;14,8;475;0
199301;LFCI;ALBI-LE SEQUESTRE;MT;1756;906;841;9;0;0;108;0
199301;LFCK;CASTRES-MAZAMET;MT;2828;1114;1181;533;0;0;149;0
199301;LFCR;RODEZ-AVEYRON;MT;4817;2435;2051;309;1,8;0,4;134;0
199301;LFGA;COLMAR-HOUSSEN;MT;1144;10;3;0;65;48,1;38;58
199301;LFJL;METZ-NANCY-LORRAINE;MT;17182;6280;6074;803;209,4;193,1;676;76
199301;LFKB;BASTIA-PORETTA;MT;46856;22991;19078;180;97,4;363,4;791;148
199301;LFKC;CALVI-STE-CATHERINE;MT;5506;3278;2196;0;0,5;2,8;144;0
199301;LFKF;FIGARI-SUD-CORSE;MT;6614;4016;2596;2;0;0;265;0
199301;LFKJ;AJACCIO-NAPOLEON-BONAPARTE;MT;44609;21611;17805;0;114,7;404,6;797;108
199301;LFLB;CHAMBERY-AIX-LES-BAINS;MT;12858;6910;5937;4;0,3;0,5;280;0
199301;LFLC;CLERMONT-FERRAND-AUVERGNE;MT;25187;10634;10301;997;160,5;165;935;238
199301;LFLL;LYON-ST-EXUPERY;MT;363130;162588;164340;8431;1420,3;1356,8;5071;564
199301;LFLO;ROANNE;MT;1167;603;564;0;0;0;118;0
199301;LFLP;ANNECY-MEYTHET;MT;4251;2121;2111;0;1,7;0,2;168;0
199301;LFLS;GRENOBLE-ALPES-ISERE;MT;38447;19163;18959;50;9,5;18;477;0
199301;LFMH;ST-ETIENNE-LOIRE;MT;7190;3615;3549;0;1,4;1,1;276;0
199301;LFMK;CARCASSONNE-SALVAZA;MT;1797;909;883;5;0;0;114;0
199301;LFML;MARSEILLE-PROVENCE;MT;381829;155559;162232;18968;1814,4;2692,6;4127;415
199301;LFMN;"NICE-COTE D'AZUR";MT;394601;188296;176145;6069;1293,2;1115,8;8200;162
199301;LFMP;PERPIGNAN-RIVESALTES;MT;31458;16273;14240;139;28,9;51,7;341;0
199301;LFMT;MONTPELLIER-MEDITERRANEE;MT;91584;42870;40760;177;310,2;467,6;1112;124
199301;LFMU;BEZIERS-VIAS;MT;5678;3155;2516;0;0,5;0,2;130;0
199301;LFMV;AVIGNON-CAUMONT;MT;15316;5661;4783;0;171,9;315,3;153;84
199301;LFOB;BEAUVAIS-TILLE;MT;2852;1310;1309;0;5,6;17,7;26;0
199301;LFOH;LE HAVRE-OCTEVILLE;MT;3605;1300;1180;1122;0,1;0,2;420;0
199301;LFOP;ROUEN-VALLEE DE SEINE;MT;3876;1733;1688;455;0;0;511;0
199301;LFOT;TOURS-VAL DE LOIRE;MT;1471;552;569;350;0;0;102;0
199301;LFPG;PARIS-CHARLES DE GAULLE;MT;2335952;883934;883538;38390;26396,3;26612,7;22934;1543
199301;LFPO;PARIS-ORLY;MT;2098520;889230;959084;14428;12816,6;10761,3;15983;324
199301;LFQQ;LILLE-LESQUIN;MT;50129;23150;24435;470;109,4;97,9;1252;42
199301;LFRB;BREST-BRETAGNE;MT;38847;18606;17361;156;82,8;189,7;578;42
199301;LFRC;CHERBOURG-MAUPERTUS;MT;1814;902;891;0;1,6;0,5;211;0
199301;LFRD;DINARD-PLEURTUIT-ST-MALO;MT;2816;1518;1243;36;1,4;0,5;192;0
199301;LFRG;DEAUVILLE-NORMANDIE;MT;13765;6916;6849;0;0;0;133;2
199301;LFRH;LORIENT-LANN-BIHOUE;MT;15438;7858;7198;0;0,4;37,8;196;0
199301;LFRK;CAEN-CARPIQUET;MT;3016;1289;1397;308;2,3;0;327;9
199301;LFRN;RENNES-ST-JACQUES;MT;16931;7148;6536;516;98;175,1;959;80
199301;LFRO;LANNION;MT;3378;1739;1634;0;0,5;0;89;0
199301;LFRQ;QUIMPER-PLUGUFFAN;MT;9485;4851;4585;5;3,4;1;171;3
199301;LFRS;NANTES-ATLANTIQUE;MT;66602;29299;27991;3986;259,5;273,1;1394;120
199301;LFSB;BALE-MULHOUSE;MT;132916;55517;63297;968;584,4;729;3223;370
199301;LFSD;DIJON-LONGVIC;MT;1204;610;590;0;0,4;0;166;1
199301;LFST;STRASBOURG-ENTZHEIM;MT;125384;57178;59544;499;433,1;383,2;1878;80
199301;LFTH;TOULON-HYERES;MT;45656;24222;19628;0;91,5;89,1;526;0
199301;LFTW;NIMES-GARONS;MT;27229;14143;12905;3;6,9;10,9;269;0
199301;LFVP;ST-PIERRE-POINTE BLANCHE;OM;2103;1003;930;0;3;14,1;221;0
199301;NLWW;WALLIS-HIHIFO;OM;2319;892;884;342;3,7;16,5;75;0
199301;NTAA;"TAHITI FAA'A";OM;79735;32275;38769;2321;122,8;514,2;2656;0
199301;NTAR;RURUTU;OM;1061;452;325;223;2,3;3,8;34;0
199301;NTAT;TUBUAI MATAURA;OM;1404;725;558;0;6;6,1;40;0
199301;NTGI;MANIHI;OM;1311;536;485;224;2,3;4,3;54;0
199301;NTMD;NUKU HIVA;OM;1749;839;783;46;3;5,1;71;0
199301;NTTB;BORA BORA;OM;10178;5224;4559;261;2,6;10,9;319;0
199301;NTTG;RANGIROA;OM;5430;2253;2039;951;8;10,7;223;0
199301;NTTH;HUAHINE;OM;8532;2919;2639;2893;2,6;5,5;312;0
199301;NTTM;MOOREA;OM;12141;6308;5216;614;0,2;0,1;1672;0
199301;NTTR;RAIATEA;OM;8013;3503;3156;1175;4,6;13,3;281;0
199301;NWWE;ILE DES PINS;OM;7564;3722;3589;0;2,7;22,6;277;0
199301;NWWL;LIFOU;OM;7970;3940;3684;31;3,3;28,3;276;0
199301;NWWM;NOUMEA MAGENTA;OM;23332;10850;11591;0;79,2;9,9;1046;0
199301;NWWR;MARE;OM;4012;2025;1763;29;3,4;16,1;177;0
199301;NWWV;OUVEA;OM;2899;1402;1374;0;1,4;10,9;126;0
199301;NWWW;NOUMEA LA TONTOUTA;OM;35215;16615;13247;1057;74,8;354,8;281;1
199301;SOCA;CAYENNE-FELIX EBOUE;OM;26626;9791;12290;473;65,1;342,1;587;64
199301;SOOG;"ST-GEORGES-DE-L'OYAPOCK";OM;1905;774;1062;0;3,8;3,1;152;2
199301;TFFF;MARTINIQUE-AIME CESAIRE;OM;156054;68617;71043;5793;354;706,1;2627;269
199301;TFFG;ST-MARTIN-GRAND-CASE;OM;4224;2118;1725;2;10,9;27;592;0
199301;TFFJ;ST-BARTHELEMY;OM;18253;9485;8122;306;3,2;30,9;2383;39
199301;TFFM;MARIE-GALANTE;OM;5236;496;4728;0;1,2;0;174;0
199301;TFFR;GUADELOUPE-MARYSE CONDE;OM;158522;64426;68889;10688;440,8;1011,1;2974;274
199301;TFFS;LES SAINTES-TERRE-DE-HAUT;OM;1676;720;956;0;0;0;169;0
199301;ZZMT; AUTRES APT (MT);MT;10048;4937;4718;218;7;10,6;2011;33
199301;ZZOM; AUTRES APT (OM);OM;14165;6342;5511;1480;43,7;39,2;1439;36
199302;FMCZ;MAYOTTE-MARCEL HENRY;OM;3698;1827;1495;0;6,1;31,4;70;0
199302;FMEE;LA REUNION-ROLAND GARROS;OM;80824;26706;35841;4154;370,2;1042;679;19
199302;LFBA;AGEN-LA GARENNE;MT;3294;997;862;0;57,4;86,1;150;35
199302;LFBD;BORDEAUX-MERIGNAC;MT;179787;79375;79387;9585;612,7;531,3;2143;122
199302;LFBE;BERGERAC-DORDOGNE-PERIGORD;MT;1708;827;863;18;0;0;140;0
199302;LFBH;LA ROCHELLE-ILE DE RE;MT;2897;1364;1533;0;0;0;98;0
199302;LFBI;POITIERS-BIARD;MT;3696;470;605;139;115,2;133,1;198;84
199302;LFBL;LIMOGES-BELLEGARDE;MT;10889;4477;4604;519;61,3;67,6;445;41
199302;LFBO;TOULOUSE-BLAGNAC;MT;267655;120063;118301;3424;820,4;1766,3;2725;119
199302;LFBP;PAU-PYRENEES;MT;45396;20857;21144;1160;90,1;133,4;622;40
199302;LFBT;TARBES-LOURDES-PYRENEES;MT;19976;9751;10089;0;0,2;13,4;188;1
199302;LFBV;BRIVE-LA-ROCHE;MT;2642;1310;1332;0;0;0;87;0
199302;LFBX;PERIGUEUX-BASSILLAC;MT;2552;1287;1249;16;0;0;134;0
199302;LFBZ;BIARRITZ-PAYS-BASQUE;MT;34869;16634;17661;61;33,4;17,9;407;0
199302;LFCI;ALBI-LE SEQUESTRE;MT;1744;869;823;52;0;0;107;0
199302;LFCK;CASTRES-MAZAMET;MT;3215;1317;1287;611;0;0;157;0
199302;LFCR;RODEZ-AVEYRON;MT;4934;2359;2290;264;2;0;129;0
199302;LFGA;COLMAR-HOUSSEN;MT;1093;11;10;0;67,7;39,5;44;39
199302;LFGJ;DOLE-TAVAUX;MT;1600;81;74;0;62,2;82,2;25;42
199302;LFJL;METZ-NANCY-LORRAINE;MT;17978;6859;6609;893;187,8;173,9;650;75
199302;LFKB;BASTIA-PORETTA;MT;47247;20423;21943;313;101,8;355,1;662;136
199302;LFKC;CALVI-STE-CATHERINE;MT;5444;2565;2857;0;0,2;1,9;108;0
199302;LFKF;FIGARI-SUD-CORSE;MT;6629;3203;3421;2;0;0,3;269;0
199302;LFKJ;AJACCIO-NAPOLEON-BONAPARTE;MT;44817;19316;20712;0;87,6;391,4;707;93
199302;LFLB;CHAMBERY-AIX-LES-BAINS;MT;14512;7845;6609;54;0,1;0,3;343;2
199302;LFLC;CLERMONT-FERRAND-AUVERGNE;MT;23897;10737;10492;1126;70,2;84;884;40
199302;LFLL;LYON-ST-EXUPERY;MT;327713;150315;143581;6687;1310,7;1402,4;4438;455
199302;LFLP;ANNECY-MEYTHET;MT;4368;2133;2215;0;1,9;0,1;161;0
199302;LFLS;GRENOBLE-ALPES-ISERE;MT;41534;20027;20873;200;10,9;32,6;654;0
199302;LFLW;AURILLAC;MT;1002;507;495;0;0;0;149;0
199302;LFMH;ST-ETIENNE-LOIRE;MT;7598;3787;3794;0;1;0,7;296;0
199302;LFMK;CARCASSONNE-SALVAZA;MT;1876;943;933;0;0;0;100;0
199302;LFML;MARSEILLE-PROVENCE;MT;359143;148081;146949;19201;1950,3;2540,9;3788;502
199302;LFMN;"NICE-COTE D'AZUR";MT;400071;184661;183741;5710;1275,3;1320,6;7801;156
199302;LFMP;PERPIGNAN-RIVESALTES;MT;30237;14100;15165;171;31,3;48,8;288;0
199302;LFMT;MONTPELLIER-MEDITERRANEE;MT;88683;41193;40809;198;272,4;375,9;1065;39
199302;LFMU;BEZIERS-VIAS;MT;5093;2499;2584;0;0,5;0,5;114;0
199302;LFMV;AVIGNON-CAUMONT;MT;14684;7755;2507;0;300;142,2;142;76
199302;LFOB;BEAUVAIS-TILLE;MT;3808;1910;1753;0;14,5;0;44;0
199302;LFOH;LE HAVRE-OCTEVILLE;MT;3230;1165;1158;907;0;0,1;371;0
199302;LFOP;ROUEN-VALLEE DE SEINE;MT;2957;1521;1386;48;0,2;0;441;0
199302;LFOT;TOURS-VAL DE LOIRE;MT;1422;447;710;265;0;0;81;0
199302;LFPG;PARIS-CHARLES DE GAULLE;MT;2289816;872476;824680;25602;29473,8;27232;20858;1532
199302;LFPO;PARIS-ORLY;MT;2019667;895714;867133;7212;13331,7;11629,1;14666;321
199302;LFQQ;LILLE-LESQUIN;MT;45875;23401;21643;111;39,6;32,4;1071;0
199302;LFRB;BREST-BRETAGNE;MT;38580;17735;17777;451;78,1;183,6;598;40
199302;LFRC;CHERBOURG-MAUPERTUS;MT;1669;873;778;4;1,1;0,3;195;0
199302;LFRD;DINARD-PLEURTUIT-ST-MALO;MT;2126;1154;963;0;0,5;0,4;144;0
199302;LFRG;DEAUVILLE-NORMANDIE;MT;6805;3008;3604;0;10,4;8,9;89;0
199302;LFRH;LORIENT-LANN-BIHOUE;MT;15679;7651;7722;0;0,8;29,8;188;0
199302;LFRK;CAEN-CARPIQUET;MT;2669;1258;1149;261;0;0,1;296;2
199302;LFRN;RENNES-ST-JACQUES;MT;17344;7438;7039;588;89,9;138;941;36
199302;LFRO;LANNION;MT;3266;1692;1569;0;0,5;0;75;0
199302;LFRQ;QUIMPER-PLUGUFFAN;MT;9228;4613;4541;13;4,2;1,8;165;0
199302;LFRS;NANTES-ATLANTIQUE;MT;70251;29750;29051;5846;285,8;274,6;1388;82
199302;LFSB;BALE-MULHOUSE;MT;129972;57916;57382;1294;661,1;677;3069;376
199302;LFST;STRASBOURG-ENTZHEIM;MT;121395;57649;55911;748;400,4;308,4;1771;35
199302;LFTH;TOULON-HYERES;MT;46827;22550;22777;0;79,4;70,6;476;0
199302;LFTW;NIMES-GARONS;MT;25640;12815;12604;3;8,1;13,7;220;0
199302;LFVP;ST-PIERRE-POINTE BLANCHE;OM;1948;911;850;0;2,7;16,1;218;0
199302;NLWW;WALLIS-HIHIFO;OM;2769;1082;1104;299;3;25,3;90;0
199302;NTAA;"TAHITI FAA'A";OM;63861;27038;27516;2575;116,9;556,3;2237;0
199302;NTTB;BORA BORA;OM;8946;4314;4250;230;3,4;11,8;294;0
199302;NTTG;RANGIROA;OM;3225;1360;1398;318;6,6;8,3;141;0
199302;NTTH;HUAHINE;OM;7148;2342;2109;2628;2;4,9;278;0
199302;NTTM;MOOREA;OM;10357;5131;4759;464;0,2;0,1;1466;0
199302;NTTR;RAIATEA;OM;5839;2313;2366;1005;4,9;10,7;229;0
199302;NWWE;ILE DES PINS;OM;6034;3143;2698;0;2,8;16,5;234;0
199302;NWWL;LIFOU;OM;9525;5084;4101;39;2,8;27,2;314;0
199302;NWWM;NOUMEA MAGENTA;OM;24044;10212;12960;0;76,4;10,8;1029;0
199302;NWWR;MARE;OM;5020;2672;2074;50;4,6;17,8;195;0
199302;NWWV;OUVEA;OM;3309;1904;1266;0;0,9;13,1;144;0
199302;NWWW;NOUMEA LA TONTOUTA;OM;32244;9947;16469;711;87,8;423,9;253;9
199302;SOCA;CAYENNE-FELIX EBOUE;OM;23755;9753;9094;922;72,5;326,1;568;44
199302;SOOG;"ST-GEORGES-DE-L'OYAPOCK";OM;1342;743;565;0;2,6;0,7;126;0
199302;TFFF;MARTINIQUE-AIME CESAIRE;OM;131075;55854;59260;5395;450,2;606,4;2223;295
199302;TFFG;ST-MARTIN-GRAND-CASE;OM;3818;1817;1632;0;16,1;20,8;506;0
199302;TFFJ;ST-BARTHELEMY;OM;15270;7282;7425;314;1,6;23,4;1846;16
199302;TFFM;MARIE-GALANTE;OM;5436;599;4824;0;1,2;0;154;0
199302;TFFR;GUADELOUPE-MARYSE CONDE;OM;133545;52251;55632;10430;527,6;995,6;2647;248
199302;TFFS;LES SAINTES-TERRE-DE-HAUT;OM;1360;728;632;0;0;0;144;0
199302;ZZMT; AUTRES APT (MT);MT;9989;4682;5026;15;22,4;4,3;1988;88
199302;ZZOM; AUTRES APT (OM);OM;14048;5884;5776;1380;47,7;53,4;1360;21
199303;FMCZ;MAYOTTE-MARCEL HENRY;OM;3226;1435;1433;0;7,1;28,7;68;0
199303;FMEE;LA REUNION-ROLAND GARROS;OM;77633;29522;28943;3461;319,9;1250,8;586;32
199303;LFBA;AGEN-LA GARENNE;MT;4125;1312;1158;0;64,9;100,6;177;45
199303;LFBD;BORDEAUX-MERIGNAC;MT;199092;88481;87590;7973;742,9;761,9;2383;145
199303;LFBE;BERGERAC-DORDOGNE-PERIGORD;MT;2056;1046;1010;0;0;0;157;0
199303;LFBH;LA ROCHELLE-ILE DE RE;MT;3115;1579;1536;0;0;0;104;0
199303;LFBI;POITIERS-BIARD;MT;4563;729;846;321;123,5;143,1;249;90
199303;LFBL;LIMOGES-BELLEGARDE;MT;11777;4826;4655;568;73;99,8;491;45
199303;LFBO;TOULOUSE-BLAGNAC;MT;297107;130849;132725;2406;937,8;2174,9;3090;135
199303;LFBP;PAU-PYRENEES;MT;47186;21801;21200;1393;108,9;170,3;692;46
199303;LFBT;TARBES-LOURDES-PYRENEES;MT;10585;5521;4855;0;0,6;20,4;108;1
199303;LFBV;BRIVE-LA-ROCHE;MT;3012;1527;1485;0;0;0;110;0
199303;LFBX;PERIGUEUX-BASSILLAC;MT;2859;1452;1407;0;0;0;174;0
199303;LFBZ;BIARRITZ-PAYS-BASQUE;MT;37490;18568;18202;156;30,5;25,8;424;0
199303;LFCI;ALBI-LE SEQUESTRE;MT;1815;917;898;0;0;0;108;0
199303;LFCK;CASTRES-MAZAMET;MT;3106;1354;1164;588;0;0;173;0
199303;LFCR;RODEZ-AVEYRON;MT;5920;2876;2767;243;3,4;0;174;0
199303;LFGA;COLMAR-HOUSSEN;MT;1336;42;34;0;77,5;48,5;56;49
199303;LFGJ;DOLE-TAVAUX;MT;1868;64;96;0;76,7;94,1;15;45
199303;LFJL;METZ-NANCY-LORRAINE;MT;22280;7735;7809;1095;277,1;287;757;91
199303;LFKB;BASTIA-PORETTA;MT;48013;21655;20793;548;117,1;384,6;759;150
199303;LFKC;CALVI-STE-CATHERINE;MT;5535;2493;3011;0;0,3;2,8;158;0
199303;LFKF;FIGARI-SUD-CORSE;MT;5915;3053;2862;0;0;0;311;0
199303;LFKJ;AJACCIO-NAPOLEON-BONAPARTE;MT;45189;20080;19124;0;112,9;485,6;852;116
199303;LFLB;CHAMBERY-AIX-LES-BAINS;MT;12455;6490;5964;0;0,1;0;299;0
199303;LFLC;CLERMONT-FERRAND-AUVERGNE;MT;26908;11645;11859;1642;77,7;98,5;1032;45
199303;LFLL;LYON-ST-EXUPERY;MT;363558;159209;164742;7025;1477,1;1781,2;5241;553
199303;LFLO;ROANNE;MT;1333;669;664;0;0;0;135;0
199303;LFLP;ANNECY-MEYTHET;MT;5169;2677;2471;2;1,9;0;195;0
199303;LFLS;GRENOBLE-ALPES-ISERE;MT;36121;17957;17901;0;10,2;16;430;0
199303;LFLW;AURILLAC;MT;1018;515;503;0;0;0;157;0
199303;LFMH;ST-ETIENNE-LOIRE;MT;8761;4365;4366;0;1,6;1,4;369;0
199303;LFMK;CARCASSONNE-SALVAZA;MT;1767;941;826;0;0;0;106;0
199303;LFML;MARSEILLE-PROVENCE;MT;420002;167112;181354;18953;2185,3;3073,1;4589;440
199303;LFMN;"NICE-COTE D'AZUR";MT;433423;198978;201059;5053;1394,1;1439,1;8788;176
199303;LFMP;PERPIGNAN-RIVESALTES;MT;31082;15313;14615;300;34,9;50,4;325;0
199303;LFMT;MONTPELLIER-MEDITERRANEE;MT;99232;45181;46678;168;290,5;430,1;1182;42
199303;LFMU;BEZIERS-VIAS;MT;4997;2498;2487;0;0,6;0,6;123;0
199303;LFMV;AVIGNON-CAUMONT;MT;16805;6115;5574;0;185,9;325,6;189;90
199303;LFOB;BEAUVAIS-TILLE;MT;4798;2276;2307;0;21,5;0;39;0
199303;LFOH;LE HAVRE-OCTEVILLE;MT;4909;1925;1744;1239;0;0,1;534;0
199303;LFOP;ROUEN-VALLEE DE SEINE;MT;4709;2351;2268;90;0;0;643;0
199303;LFOT;TOURS-VAL DE LOIRE;MT;1219;411;442;366;0;0;123;0
199303;LFPG;PARIS-CHARLES DE GAULLE;MT;2745437;982789;1014845;35812;36321,7;34877,4;23677;1948
199303;LFPO;PARIS-ORLY;MT;2217960;945712;966362;7857;14957,8;14845,1;16479;353
199303;LFQQ;LILLE-LESQUIN;MT;56037;26523;28542;308;47,1;19,3;1395;0
199303;LFRB;BREST-BRETAGNE;MT;42577;19566;19744;147;94,4;217,7;693;43
199303;LFRC;CHERBOURG-MAUPERTUS;MT;2356;1151;1169;0;3,5;0,1;297;0
199303;LFRD;DINARD-PLEURTUIT-ST-MALO;MT;2954;1401;1518;0;1,5;2;216;0
199303;LFRH;LORIENT-LANN-BIHOUE;MT;17379;8592;8402;0;0,9;37,6;216;0
199303;LFRK;CAEN-CARPIQUET;MT;3112;1429;1444;238;0;0,1;384;3
199303;LFRN;RENNES-ST-JACQUES;MT;21075;8694;8814;731;114,6;169;1110;44
199303;LFRO;LANNION;MT;3898;2016;1875;0;0,6;0;98;0
199303;LFRQ;QUIMPER-PLUGUFFAN;MT;10779;5103;5548;22;6,2;4,5;187;0
199303;LFRS;NANTES-ATLANTIQUE;MT;86881;37342;37838;5204;330,3;319,4;1624;97
199303;LFSB;BALE-MULHOUSE;MT;152684;66607;69055;939;764,5;843,9;3503;442
199303;LFSG;EPINAL-MIRECOURT;MT;1264;618;646;0;0;0;146;0
199303;LFSR;REIMS-CHAMPAGNE;MT;1068;536;531;1;0;0;115;0
199303;LFST;STRASBOURG-ENTZHEIM;MT;141491;64697;67027;631;498,2;415,4;2066;43
199303;LFTH;TOULON-HYERES;MT;44676;21331;21259;0;96,5;112,1;441;0
199303;LFTW;NIMES-GARONS;MT;27854;13590;13868;168;7,7;15,1;273;0
199303;LFVP;ST-PIERRE-POINTE BLANCHE;OM;2118;957;973;0;3;15,8;220;2
199303;NLWW;WALLIS-HIHIFO;OM;1773;573;632;264;1,9;28,5;64;0
199303;NTAA;"TAHITI FAA'A";OM;77605;34192;35032;2118;154,8;471,5;2708;0
199303;NTAT;TUBUAI MATAURA;OM;1059;509;451;0;4,2;5,6;32;0
199303;NTMD;NUKU HIVA;OM;1094;517;500;0;3;4,7;49;0
199303;NTTB;BORA BORA;OM;11654;5636;5533;334;2,3;12,7;328;0
199303;NTTE;TETIAROA;OM;1167;592;575;0;0;0;140;0
199303;NTTG;RANGIROA;OM;4619;2105;2037;301;7;10,6;180;0
199303;NTTH;HUAHINE;OM;9413;3016;2798;3523;2;5,6;322;0
199303;NTTM;MOOREA;OM;12761;6265;5757;736;0,1;0,2;1783;0
199303;NTTP;MAUPITI;OM;1134;553;546;0;0,5;3;40;0
199303;NTTR;RAIATEA;OM;9112;3846;3908;1184;4,8;12,7;284;0
199303;NWWE;ILE DES PINS;OM;4924;2334;2444;0;2,2;12,4;260;0
199303;NWWL;LIFOU;OM;5434;2418;2627;15;4,9;32,5;236;0
199303;NWWM;NOUMEA MAGENTA;OM;16614;8129;7546;0;80,7;13,1;932;0
199303;NWWR;MARE;OM;3271;1425;1540;29;6,3;21,4;165;0
199303;NWWV;OUVEA;OM;2113;935;1049;0;0,9;12;126;0
199303;NWWW;NOUMEA LA TONTOUTA;OM;25574;9256;9640;514;120;496,4;223;5
199303;SOCA;CAYENNE-FELIX EBOUE;OM;26202;10175;9293;1003;192,6;380,5;684;57
199303;SOOG;"ST-GEORGES-DE-L'OYAPOCK";OM;1872;965;844;0;3,7;2,6;171;0
199303;TFFF;MARTINIQUE-AIME CESAIRE;OM;140110;61101;57456;5397;807,8;807,8;2211;315
199303;TFFG;ST-MARTIN-GRAND-CASE;OM;4138;2076;1910;1;4,3;10,7;533;2
199303;TFFJ;ST-BARTHELEMY;OM;16963;8531;7762;330;2,2;31,8;2217;24
199303;TFFM;MARIE-GALANTE;OM;5700;368;5316;0;1,6;0;180;0
199303;TFFR;GUADELOUPE-MARYSE CONDE;OM;150761;58878;56909;12313;1212,2;1053,9;2853;274
199303;TFFS;LES SAINTES-TERRE-DE-HAUT;OM;1379;671;708;0;0;0;146;0
199303;ZZMT; AUTRES APT (MT);MT;11171;5149;5546;16;39,8;6,4;2195;21
199303;ZZOM; AUTRES APT (OM);OM;12029;4872;4577;1668;47,4;43,8;1306;32
199304;FMCZ;MAYOTTE-MARCEL HENRY;OM;4249;2044;1851;0;5,9;29,5;91;0
199304;FMEE;LA REUNION-ROLAND GARROS;OM;94298;37500;37218;4203;319,2;1218,4;785;29
199304;LFBA;AGEN-LA GARENNE;MT;4069;1269;1197;14;72,7;86,3;160;44
199304;LFBD;BORDEAUX-MERIGNAC;MT;228142;101582;103771;10764;618;584,6;2411;127
199304;LFBE;BERGERAC-DORDOGNE-PERIGORD;MT;2411;1196;1215;0;0;0;157;0
199304;LFBH;LA ROCHELLE-ILE DE RE;MT;4094;2022;2072;0;0;0;124;0
199304;LFBI;POITIERS-BIARD;MT;4880;832;896;695;108,8;136,9;301;84
199304;LFBL;LIMOGES-BELLEGARDE;MT;16323;6961;7264;637;64,9;81,3;493;41
