ANMOIS;CIE;CIE_NOM;CIE_NAT;CIE_PAYS;CIE_PAX;CIE_FRP;CIE_PEQ;CIE_PKT;CIE_TKT;CIE_PEQKT;CIE_VOL
201201;AAF;AIGLE AZUR;F;FRANCE;113157;109,7;114254;0,157;0,0002;0,159;1233
201201;AAL;AMERICAN AIRLINES;E;ETATS-UNIS;41049;778,8;48837;0,284;0,0055;0,339;245
201201;AAR;ASIANA AIRLINES;E;COREE DU SUD;6324;533,9;11663;0,057;0,0048;0,105;26
201201;ABW;AIRBRIDGE CARGO AIRLINES;E;RUSSIE (FED. DE);0;2000;20000;0;0,0049;0,049;10
201201;ABX;ABX AIR INC;E;ETATS-UNIS;0;1369,2;13692;0;0,0091;0,091;28
201201;ACA;AIR CANADA;E;CANADA;27946;832,6;36272;0,154;0,0047;0,201;148
201201;ACI;AIRCALIN;F;FRANCE (OM);40457;382;44277;0,167;0,0019;0,186;339
201201;AEA;AIR EUROPA;E;ESPAGNE;74509;97,2;75481;0,089;0,0001;0,09;656
201201;AEE;AEGEAN AIRLINES;E;GRECE;15146;85,8;16004;0,032;0,0002;0,034;127
201201;AFL;AEROFLOT;E;RUSSIE (FED. DE);36399;415;40549;0,09;0,001;0,1;369
201201;AFR;AIR FRANCE;F;FRANCE;3421792;48993,2;3911724;10,716;0,3583;14,299;28449
201201;AIC;AIR INDIA;E;INDE;12590;671;19300;0,084;0,0044;0,128;63
201201;ALK;SRILANKAN AIRLINES;E;SRI LANKA;7730;247,9;10209;0,066;0,0021;0,087;34
201201;AMX;AEROMEXICO;E;MEXIQUE;8593;176,5;10358;0,079;0,0016;0,095;61
201201;ANA;ANA ALL NIPPON AIRWAYS;E;JAPON;12346;902,6;21372;0,12;0,0088;0,208;62
201201;ANE;AIR NOSTRUM;E;ESPAGNE;45910;0,3;45913;0,036;0;0,036;1451
201201;AUA;AUSTRIAN AIRLINES;E;AUTRICHE;35200;70;35900;0,034;0,0001;0,035;427
201201;AWE_EX;US AIRWAYS;E;ETATS-UNIS;17517;851,7;26034;0,11;0,0053;0,163;108
201201;AZA;ALITALIA;E;ITALIE;78742;98,3;79725;0,133;0,0001;0,134;785
201201;BAW;BRITISH AIRWAYS;E;ROYAUME-UNI;138699;657,4;145273;0,095;0,0002;0,097;1813
201201;BCS;EAT/EUROPEAN AIR TRANSP;E;ALLEMAGNE;0;8214,2;82142;0;0,0076;0,076;514
201201;BCY;CITYJET IRL;E;IRLANDE;68433;55,7;68990;0,046;0;0,046;1342
201201;BEE;FLYBE;E;ROYAUME-UNI;45775;0;45775;0,027;0;0,027;872
201201;BEL;BRUSSELS AIRLINES;E;BELGIQUE;38784;32,8;39112;0,026;0;0,026;769
201201;BER;AIR BERLIN;E;ALLEMAGNE;23777;5,8;23835;0,028;0;0,028;245
201201;BGA;AIRBUS TRANSPORT INTL;F;FRANCE;0;4414,3;44143;0;0,0041;0,041;222
201201;BIE;AIR MEDITERRANEE;F;FRANCE;42425;0;42425;0,123;0;0,123;336
201201;BMA;BRITISH MIDLAND AIRWAYS;E;ROYAUME-UNI;19860;0,9;19869;0,018;0;0,018;356
201201;BZH;BRIT AIR;F;FRANCE;148806;9,2;148898;0,083;0;0,083;3433
201201;CCA;AIR CHINA INTL;E;CHINE;11638;1008,1;21719;0,096;0,0083;0,179;62
201201;CCM;AIR CORSICA;F;FRANCE;99499;183,7;101336;0,054;0,0001;0,055;1501
201201;CES;CHINA EASTERN AIRLINES;E;CHINE;13709;823;21939;0,127;0,0076;0,203;62
201201;CKK;CHINA CARGO AIRLINES;E;CHINE;0;3081,4;30814;0;0,0243;0,243;24
201201;CPA;CATHAY PACIFIC;E;HONG KONG (CHINE);19926;2270,7;42633;0,191;0,018;0,371;100
201201;CRL;CORSAIR;F;FRANCE;115699;1735,3;133052;0,895;0,0135;1,03;315
201201;CSA;CSA CZECH AIRLINES;E;TCHEQUIE;19847;85,8;20705;0,016;0,0001;0,017;244
201201;CSN;CHINA SOUTHERN AIRLINES;E;CHINE;11016;605,2;17068;0,104;0,0057;0,161;62
201201;DAH;AIR ALGERIE;E;ALGERIE;108943;1066,7;119610;0,13;0,0014;0,144;1198
201201;DAL;DELTA AIR LINES;E;ETATS-UNIS;71769;4339,7;115166;0,493;0,0294;0,787;401
201201;DLH;LUFTHANSA;E;ALLEMAGNE;233909;692,4;240833;0,143;0,0004;0,147;3618
201201;EIN;AER LINGUS;E;IRLANDE;39997;86;40857;0,037;0,0001;0,038;350
201201;ELY;EL AL;E;ISRAEL;30027;532,3;35350;0,098;0,0017;0,115;188
201201;ETD;ETIHAD AIRWAYS;E;EMIRATS ARABES UNIS;26677;1848,3;45160;0,14;0,0097;0,237;124
201201;EVA;EVA AIR;E;TAIWAN;7127;399,2;11119;0,07;0,0039;0,109;26
201201;EXS;JET2.COM;E;ROYAUME-UNI;18334;0;18334;0,019;0;0,019;152
201201;EZS;EASYJET SWITZERLAND;E;SUISSE;180473;0;180473;0,167;0;0,167;1367
201201;EZY;EASYJET UK;E;ROYAUME-UNI;754650;0;754650;0,648;0;0,648;5927
201201;FDX;FEDEX EXPRESS;E;ETATS-UNIS;0;41057;410570;0;0,1613;1,613;1330
