ANMOIS;CIE;CIE_NOM;CIE_NAT;CIE_PAYS;CIE_PAX;CIE_FRP;CIE_PEQ;CIE_PKT;CIE_TKT;CIE_PEQKT;CIE_VOL
202401;AAL;AMERICAN AIRLINES;E;ETATS-UNIS;48156;1394,7;62103;0,312;0,0095;0,407;254
202401;AAR;ASIANA AIRLINES;E;COREE DU SUD;13174;317,1;16345;0,118;0,0028;0,146;50
202401;ACA;AIR CANADA;E;CANADA;58883;1333,7;72220;0,337;0,0077;0,414;196
202401;ACI;AIRCALIN;F;FRANCE (OM);43634;224,5;45879;0,184;0,0012;0,196;277
202401;AEA;AIR EUROPA;E;ESPAGNE;33569;22,1;33790;0,035;0;0,035;198
202401;AEE;AEGEAN AIRLINES;E;GRECE;22589;66,7;23256;0,046;0,0001;0,047;142
202401;AFR;AIR FRANCE;F;FRANCE;3067168;38874,3;3455911;11,299;0,2818;14,117;19744
202401;AIC;AIR INDIA;E;INDE;12124;370,8;15832;0,08;0,0024;0,104;53
202401;AMC;AIR MALTA;E;MALTE;17308;14,9;17457;0,029;0;0,029;115
202401;AMX;AEROMEXICO;E;MEXIQUE;16021;457,8;20599;0,148;0,0042;0,19;70
202401;ANE;AIR NOSTRUM;E;ESPAGNE;64762;0,1;64763;0,048;0;0,048;799
202401;ASL;AIR SERBIA;E;SERBIE;14031;15,5;14186;0,02;0;0,02;130
202401;AUA;AUSTRIAN AIRLINES;E;AUTRICHE;39405;35,2;39757;0,037;0;0,037;353
202401;AZU;AZUL;E;BRESIL;13490;284,9;16339;0,126;0,0027;0,153;52
202401;BAW;BRITISH AIRWAYS;E;ROYAUME-UNI;161485;93,7;162422;0,121;0;0,121;1323
202401;BCS;EAT/EUROPEAN AIR TRANSP;E;ALLEMAGNE;10;11269,6;112706;0;0,0086;0,086;767
202401;BEL;BRUSSELS AIRLINES;E;BELGIQUE;51559;2,2;51581;0,033;0;0,033;483
202401;BGA;AIRBUS TRANSPORT INTL;F;FRANCE;0;2983,1;29831;0;0,0025;0,025;161
202401;BTI;AIR BALTIC;E;LETTONIE;14521;85,2;15373;0,025;0,0001;0,026;135
202401;CCA;AIR CHINA INTL;E;CHINE;27158;5147,8;78636;0,223;0,0349;0,572;146
202401;CCM;AIR CORSICA;F;FRANCE;136275;135,3;137628;0,074;0,0001;0,075;1716
202401;CES;CHINA EASTERN AIRLINES;E;CHINE;24735;2055;45285;0,229;0,0191;0,42;104
202401;CMA;CMA CGM AIR CARGO;F;FRANCE;0;4933,5;49335;0;0,043;0,43;91
202401;CPA;CATHAY PACIFIC;E;HONG KONG (CHINE);14929;1556,8;30497;0,143;0,0132;0,275;68
202401;CRL;CORSAIR;F;FRANCE;135895;2004,9;155944;0,929;0,0127;1,056;530
202401;CSN;CHINA SOUTHERN AIRLINES;E;CHINE;11715;562,4;17339;0,11;0,0053;0,163;45
202401;DAH;AIR ALGERIE;E;ALGERIE;240912;744,8;248360;0,292;0,001;0,302;2016
202401;DAL;DELTA AIR LINES;E;ETATS-UNIS;132141;2401,9;156160;0,903;0,0161;1,064;576
202401;DLA;AIR DOLOMITI;E;ITALIE;12018;0;12018;0,007;0;0,007;174
202401;DLH;LUFTHANSA;E;ALLEMAGNE;187894;521,2;193106;0,121;0,0003;0,124;1977
202401;EFW;BA EUROFLYER;E;ROYAUME-UNI;12129;0;12129;0,009;0;0,009;86
202401;EIN;AER LINGUS;E;IRLANDE;45339;50,6;45845;0,041;0;0,041;307
202401;EJU;EASYJET EUROPE;E;AUTRICHE;734264;0;734264;0,665;0;0,665;4960
202401;ELY;EL AL;E;ISRAEL;33183;866,6;41849;0,109;0,0028;0,137;148
202401;ETD;ETIHAD AIRWAYS;E;EMIRATS ARABES UNIS;21027;924,9;30276;0,111;0,0049;0,16;64
202401;ETH;ETHIOPIAN AIRLINES;E;ETHIOPIE;18242;513,3;23375;0,086;0,0028;0,114;78
202401;EVA;EVA AIR;E;TAIWAN;16760;403,5;20795;0,164;0,004;0,204;54
202401;EWG;EUROWINGS;E;ALLEMAGNE;11157;0;11157;0,009;0;0,009;114
202401;EXS;JET2.COM;E;ROYAUME-UNI;25625;6,5;25690;0,023;0;0,023;176
202401;EZS;EASYJET SWITZERLAND;E;SUISSE;181952;0;181952;0,209;0;0,209;1274
202401;EZY;EASYJET UK;E;ROYAUME-UNI;224034;0;224034;0,153;0;0,153;1543
202401;FBU;FRENCH BEE;F;FRANCE;71831;740,5;79236;0,629;0,0066;0,695;208
202401;FDX;FEDEX EXPRESS;E;ETATS-UNIS;0;43912,3;439123;0;0,1349;1,349;2113
202401;FIN;FINNAIR;E;FINLANDE;24754;110,4;25858;0,047;0,0002;0,049;216
202401;FPO;ASL AIRLINES FRANCE;F;FRANCE;23597;995,9;33556;0,035;0,0006;0,041;334
202401;FWI;AIR CARAIBES;F;FRANCE (OM);180372;1025,1;190623;1,034;0,0067;1,101;1172
202401;GPX;GP AVIATION LTD.;E;BULGARIE;18556;0;18556;0,022;0;0,022;144
202401;GSW;CHAIR AIRLINES;E;SUISSE;10594;0;10594;0,013;0;0,013;77
202401;HLF;CHINA CENTRAL AIRLINES;E;CHINE;0;1955,5;19555;0;0,0165;0,165;42
202401;HVN;VIETNAM AIRLINES;E;VIETNAM;22187;877;30957;0,211;0,0083;0,294;84
202401;IBE;IBERIA;E;ESPAGNE;97312;108,3;98395;0,098;0,0001;0,099;564
202401;IBS;IBERIA EXPRESS;E;ESPAGNE;23898;9,5;23993;0,022;0;0,022;155
202401;ICE;ICELANDAIR;E;ISLANDE;10172;31,7;10489;0,023;0,0001;0,024;72
202401;ITY;ITALIA TRASPORTO AEREO;E;ITALIE;77262;23,6;77498;0,073;0;0,073;637
202401;JAF;TUIFLY BELGIUM;E;BELGIQUE;23017;0;23017;0,046;0;0,046;181
202401;JAL;JAPAN AIRLINES;E;JAPON;9498;740,9;16907;0,092;0,0072;0,164;54
202401;KAC;KUWAIT AIRWAYS;E;KOWEIT;14562;619,5;20757;0,064;0,0027;0,091;55
202401;KAL;KOREAN AIR;E;COREE DU SUD;16716;969,7;26413;0,149;0,007;0,219;68
202401;KLC;KLM/CITYHOPPER;E;PAYS-BAS;34245;0;34245;0,03;0;0,03;398
202401;KLM;KLM;E;PAYS-BAS;132547;78,4;133331;0,09;0;0,09;1157
202401;KQA;KENYA AIRWAYS;E;KENYA;14076;428,9;18365;0,076;0,0027;0,103;102
202401;LBT;NOUVELAIR;E;TUNISIE;59010;33,3;59343;0,081;0;0,081;426
202401;LGL;LUXAIR;E;LUXEMBOURG;10880;0;10880;0,005;0;0,005;202
202401;LOT;LOT POLISH AIRLINES;E;POLOGNE;20012;31,7;20329;0,027;0;0,027;189
202401;MAC;AIR ARABIA MAROC;E;MAROC;41495;6,8;41563;0,063;0;0,063;352
202401;MAU;AIR MAURITIUS;E;MAURICE;58182;773,8;65920;0,208;0,0057;0,265;368
202401;MEA;MIDDLE EAST AIRLINES;E;LIBAN;14641;201,3;16654;0,047;0,0006;0,053;75
202401;MNB;MNG AIRLINES;E;TURQUIE;0;1389,2;13892;0;0,0023;0,023;41
202401;MSR;EGYPT AIR;E;EGYPTE;16687;602,3;22710;0,054;0,0019;0,073;76
202401;NBT;NORSE ATLANTIC AIRWAYS;E;NORVEGE;10054;146,6;11520;0,066;0,001;0,076;52
202401;NSZ;NORWEGIAN AIR SWEDEN AOC;E;SUEDE;13809;0;13809;0,019;0;0,019;82
202401;OMA;OMAN AIR;E;OMAN;13174;656,9;19743;0,074;0,0037;0,111;54
202401;PGT;PEGASUS;E;TURQUIE;80673;36,8;81041;0,169;0,0001;0,17;432
202401;QTR;QATAR AIRWAYS;E;QATAR;79939;5420;134139;0,392;0,0265;0,657;330
202401;RAM;ROYAL AIR MAROC;E;MAROC;116616;183,9;118455;0,213;0,0003;0,216;1063
202401;REU;AIR AUSTRAL;F;FRANCE (OM);129534;1106,3;140597;0,54;0,0086;0,626;739
202401;RJA;ROYAL JORDANIAN;E;JORDANIE;12733;100,1;13734;0,043;0,0003;0,046;96
202401;ROT;TAROM;E;ROUMANIE;10376;10,3;10479;0,019;0;0,019;120
202401;ROU;AIR CANADA ROUGE;E;CANADA;13170;5,5;13225;0,047;0;0,047;96
202401;RYR;RYANAIR;E;IRLANDE;892845;19,5;893040;1,081;0;1,081;5761
202401;SAS;SAS;E;SUEDE;30307;34,1;30648;0,04;0;0,04;238
202401;SIA;SINGAPORE AIRLINES;E;SINGAPOUR;23413;1339,1;36804;0,251;0,0144;0,395;112
202401;SRR;STAR AIR DANEMARK;E;DANEMARK;0;4278,4;42784;0;0,0024;0,024;206
202401;SVA;SAUDIA;E;ARABIE SAOUDITE;28590;1010,8;38698;0,129;0,0046;0,175;116
202401;SWR;SWISS;E;SUISSE;42635;151,9;44154;0,02;0,0001;0,021;500
202401;SWT;SWIFTAIR ESPAGNE;E;ESPAGNE;6;1926,8;19274;0;0,0011;0,011;209
202401;SXS;SUNEXPRESS;E;TURQUIE;13094;0;13094;0,029;0;0,029;94
202401;SZN;AIR SENEGAL;E;SENEGAL;14329;407,9;18408;0,06;0,0017;0,077;64
202401;TAM;TAM/BRASIL;E;BRESIL;14918;430,9;19227;0,14;0,0041;0,181;54
202401;TAP;TAP AIR PORTUGAL;E;PORTUGAL;102539;72;103259;0,14;0,0001;0,141;911
