ANMOIS;CIE;CIE_NOM;CIE_NAT;CIE_PAYS;CIE_PAX;CIE_FRP;CIE_PEQ;CIE_PKT;CIE_TKT;CIE_PEQKT;CIE_VOL
201001;AAF;AIGLE AZUR;F;FRANCE;107817;261,5;110432;0,152;0,0004;0,156;1098
201001;AAL;AMERICAN AIRLINES;E;ETATS-UNIS;42146;3050;72646;0,287;0,0208;0,495;276
201001;AAR;ASIANA AIRLINES;E;COREE DU SUD;6119;871,9;14838;0,055;0,0078;0,133;26
201001;AAW;AFRIQIYAH AIRWAYS;E;LIBYE;8387;544,4;13831;0,017;0,0011;0,028;64
201001;ACA;AIR CANADA;E;CANADA;29851;1632,6;46177;0,165;0,0093;0,258;152
201001;ACI;AIRCALIN;F;FRANCE (OM);37618;482,2;42440;0,147;0,0022;0,169;336
201001;AEA;AIR EUROPA;E;ESPAGNE;65697;79,1;66488;0,078;0,0001;0,079;622
201001;AEE;AEGEAN AIRLINES;E;GRECE;12005;173,8;13743;0,025;0,0004;0,029;126
201001;AFL;AEROFLOT;E;RUSSIE (FED. DE);30606;397,1;34577;0,075;0,001;0,085;310
201001;AFR;AIR FRANCE;F;FRANCE;3038392;57289,5;3611287;9,832;0,4037;13,869;26122
201001;AMX;AEROMEXICO;E;MEXIQUE;8328;181,5;10143;0,077;0,0017;0,094;60
201001;ANA;ANA ALL NIPPON AIRWAYS;E;JAPON;15275;1610,6;31381;0,148;0,0157;0,305;62
201001;ANE;AIR NOSTRUM;E;ESPAGNE;36428;0,4;36432;0,027;0;0,027;1113
201001;AUA;AUSTRIAN AIRLINES;E;AUTRICHE;28616;143,4;30050;0,028;0,0001;0,029;540
201001;AWE_EX;US AIRWAYS;E;ETATS-UNIS;12355;1056,1;22916;0,074;0,0063;0,137;62
201001;AZA;ALITALIA;E;ITALIE;59906;280,7;62713;0,057;0,0003;0,06;662
201001;BAW;BRITISH AIRWAYS;E;ROYAUME-UNI;118564;1000,9;128573;0,083;0,0004;0,087;1358
201001;BCS1;EUROPEAN AIR TRANSPORT (1);E;BELGIQUE;0;2829,1;28291;0;0,002;0,02;440
201001;BCY;CITYJET IRL;E;IRLANDE;103518;78;104298;0,069;0;0,069;1903
201001;BEE;FLYBE;E;ROYAUME-UNI;34712;0;34712;0,022;0;0,022;691
201001;BEL;BRUSSELS AIRLINES;E;BELGIQUE;36903;23,5;37138;0,025;0;0,025;785
201001;BER;AIR BERLIN;E;ALLEMAGNE;21489;2,8;21517;0,022;0;0,022;246
201001;BGA;AIRBUS TRANSPORT INTL;F;FRANCE;0;3684;36840;0;0,0034;0,034;192
201001;BIE;AIR MEDITERRANEE;F;FRANCE;68920;1,4;68934;0,246;0;0,246;434
201001;BZH;BRIT AIR;F;FRANCE;145047;3;145077;0,087;0;0,087;3955
201001;CCA;AIR CHINA INTL;E;CHINE;13152;1608;29232;0,109;0,0133;0,242;62
201001;CCM;AIR CORSICA;F;FRANCE;99016;153,7;100553;0,051;0,0001;0,052;1727
201001;CES;CHINA EASTERN AIRLINES;E;CHINE;12451;1247,5;24926;0,116;0,0116;0,232;62
201001;COA;CONTINENTAL AIRLINES;E;ETATS-UNIS;26112;2615,7;52269;0,173;0,0181;0,354;176
201001;CPA;CATHAY PACIFIC;E;HONG KONG (CHINE);22373;1689,6;39269;0,215;0,0162;0,377;104
201001;CRL;CORSAIR;F;FRANCE;113798;1038,2;124180;0,87;0,0078;0,948;359
201001;CSA;CSA CZECH AIRLINES;E;TCHEQUIE;22289;148,8;23777;0,019;0,0001;0,02;294
201001;CSN;CHINA SOUTHERN AIRLINES;E;CHINE;5484;761,1;13095;0,052;0,0072;0,124;28
201001;CYP;CYPRUS AIRWAYS;E;CHYPRE;5334;474,8;10082;0,015;0,0014;0,029;61
201001;DAH;AIR ALGERIE;E;ALGERIE;90338;1237,5;102713;0,109;0,0017;0,126;954
201001;DAL;DELTA AIR LINES;E;ETATS-UNIS;54111;4759,2;101703;0,375;0,0334;0,709;343
201001;DLH;LUFTHANSA;E;ALLEMAGNE;197349;56,1;197910;0,12;0;0,12;3684
201001;EIN;AER LINGUS;E;IRLANDE;34027;170,5;35732;0,032;0,0001;0,033;307
201001;ELY;EL AL;E;ISRAEL;24734;636,7;31101;0,081;0,0021;0,102;162
201001;ETD;ETIHAD AIRWAYS;E;EMIRATS ARABES UNIS;16169;1032,7;26496;0,085;0,0054;0,139;88
201001;EVA;EVA AIR;E;TAIWAN;6134;451,1;10645;0,06;0,0044;0,104;26
201001;EXS;JET2.COM;E;ROYAUME-UNI;22429;0;22429;0,022;0;0,022;188
201001;EZS;EASYJET SWITZERLAND;E;SUISSE;107769;0;107769;0,084;0;0,084;970
201001;EZY;EASYJET UK;E;ROYAUME-UNI;583226;0;583226;0,515;0;0,515;4792
201001;FDX;FEDEX EXPRESS;E;ETATS-UNIS;14;20718,5;207199;0;0,0786;0,786;825
201001;FIN;FINNAIR;E;FINLANDE;29365;297,5;32340;0,056;0,0006;0,062;304
201001;FPO;ASL AIRLINES FRANCE;F;FRANCE;10134;9608,3;106217;0,023;0,0053;0,076;909
201001;FWI;AIR CARAIBES;F;FRANCE (OM);95293;1252,6;107819;0,432;0,0084;0,516;1116
201001;GFA;GULF AIR;E;BAHREIN;11556;354,5;15101;0,056;0,0017;0,073;62
201001;GUY;CAIRE - AIR GUYANE EXPRESS;F;FRANCE (OM);16804;57;17374;0,004;0;0,004;966
201001;HVN;VIETNAM AIRLINES;E;VIETNAM;18598;1123,2;29830;0,179;0,0109;0,288;71
201001;IBE;IBERIA;E;ESPAGNE;49762;306,9;52831;0,051;0,0003;0,054;470
201001;JAL;JAPAN AIRLINES;E;JAPON;14823;397,4;18797;0,144;0,0039;0,183;62
201001;JFU;JET 4YOU;E;MAROC;41259;102,4;42283;0,074;0,0002;0,076;300
201001;KAL;KOREAN AIR;E;COREE DU SUD;16914;4551,6;62430;0,151;0,0407;0,558;78
201001;KBR;KORAL BLUE AIRLINES;E;EGYPTE;16798;0;16798;0,057;0;0,057;116
201001;KLC;KLM/CITYHOPPER;E;PAYS-BAS;34682;6,6;34748;0,034;0;0,034;594
201001;KLM;KLM;E;PAYS-BAS;35135;519,7;40332;0,014;0,0002;0,016;352
201001;LBT;NOUVELAIR;E;TUNISIE;31802;19,1;31993;0,047;0;0,047;236
201001;LOT;LOT POLISH AIRLINES;E;POLOGNE;16850;0;16850;0,022;0;0,022;336
201001;MAC;AIR ARABIA MAROC;E;MAROC;14851;0,7;14858;0,028;0;0,028;140
201001;MAH;MALEV HUNGARIAN AIRLINES;E;HONGRIE;10991;148,1;12472;0,014;0,0002;0,016;146
201001;MAS;MALAYSIA AIRLINES;E;MALAISIE;10194;953,8;19732;0,107;0,0079;0,186;52
201001;MAU;AIR MAURITIUS;E;MAURICE;61691;1313,5;74826;0,205;0,009;0,295;487
201001;MDG;AIR MADAGASCAR;E;MADAGASCAR;15372;411;19482;0,064;0,0034;0,098;208
201001;MEA;MIDDLE EAST AIRLINES;E;LIBAN;22821;261,8;25439;0,073;0,0008;0,081;126
201001;MNB;MNG AIRLINES;E;TURQUIE;0;2150,2;21502;0;0,0049;0,049;58
201001;MON;MONARCH AIRLINES;E;ROYAUME-UNI;26035;0,4;26039;0,027;0;0,027;124
201001;MSR;EGYPT AIR;E;EGYPTE;14775;513,1;19906;0,048;0,0016;0,064;72
201001;NAX;NORWEGIAN;E;NORVEGE;22943;4,2;22985;0,031;0;0,031;214
201001;NLY;NIKI;E;AUTRICHE;10216;169,5;11911;0,011;0,0002;0,013;104
201001;NOA;PANTHEON AIRWAYS;E;GRECE;9932;25,7;10189;0,021;0,0001;0,022;125
201001;OHY;ONUR AIR;E;TURQUIE;14147;1,7;14164;0,034;0;0,034;109
201001;QTR;QATAR AIRWAYS;E;QATAR;24209;2613,5;50344;0,12;0,013;0,25;128
201001;RAE;REGIONAL CAE;F;FRANCE;177327;25,2;177579;0,115;0;0,115;4974
201001;RAM;ROYAL AIR MAROC;E;MAROC;165838;537,9;171217;0,309;0,001;0,319;1618
201001;REU;AIR AUSTRAL;F;FRANCE (OM);109333;1454,1;123874;0,452;0,0115;0,567;942
201001;RLA;AIRLINAIR;F;FRANCE;14343;0,4;14347;0,007;0;0,007;813
201001;RYR;RYANAIR;E;IRLANDE;366754;1;366764;0,354;0;0,354;3073
201001;SAS;SAS;E;SUEDE;39758;336,9;43127;0,05;0,0004;0,054;441
201001;SEY;AIR SEYCHELLES;E;SEYCHELLES;7544;687,3;14417;0,059;0,0054;0,113;44
201001;SIA;SINGAPORE AIRLINES;E;SINGAPOUR;23332;1352,8;36860;0,25;0,0145;0,395;62
201001;SRR;STAR AIR DANEMARK;E;DANEMARK;0;3369,4;33694;0;0,002;0,02;253
201001;SWR;SWISS;E;SUISSE;87683;465,8;92341;0,043;0,0002;0,045;1317
201001;TAM;TAM/BRASIL;E;BRESIL;33829;2854,6;62375;0,315;0,0267;0,582;186
201001;TAP;TAP AIR PORTUGAL;E;PORTUGAL;61514;336,9;64883;0,083;0,0005;0,088;1044
201001;TAR;TUNISAIR;E;TUNISIE;87756;583,1;93587;0,115;0,0008;0,123;822
201001;TAY;ASL AIRLINES BELGIUM;E;BELGIQUE;2;1438,8;14390;0;0,0009;0,009;444
201001;TCX;THOMAS COOK AIRL. R-U;E;ROYAUME-UNI;16123;0;16123;0,015;0;0,015;73
201001;THA;THAI AIRWAYS INTL;E;THAILANDE;21887;1001,5;31902;0,207;0,0095;0,302;62
201001;THT;AIR TAHITI NUI;F;FRANCE (OM);26765;397,4;30739;0,232;0,0025;0,257;154
201001;THY;TURKISH AIRLINES;E;TURQUIE;37394;416,7;41561;0,079;0,0009;0,088;434
201001;TOM;TUI AIRWAYS;E;ROYAUME-UNI;43052;0;43052;0,04;0;0,04;238
201001;TPC;AIR CALEDONIE;F;FRANCE (OM);34508;4,9;34557;0,006;0;0,006;902
201001;TSC;AIR TRANSAT;E;CANADA;15472;105,6;16528;0,085;0,0006;0,091;56
201001;TVF;TRANSAVIA FRANCE;F;FRANCE;73185;0;73185;0,138;0;0,138;552
201001;TVS;TRAVEL SERVICE / SMARTWINGS;E;TCHEQUIE;12957;0;12957;0,014;0;0,014;134
201001;UAE;EMIRATES;E;EMIRATS ARABES UNIS;48602;3784,8;86450;0,25;0,0196;0,446;186
201001;UAL;UNITED AIRLINES;E;ETATS-UNIS;21579;4533,9;66918;0,138;0,0291;0,429;124
