ANMOIS;CIE;CIE_NOM;CIE_NAT;CIE_PAYS;CIE_PAX;CIE_FRP;CIE_PEQ;CIE_PKT;CIE_TKT;CIE_PEQKT;CIE_VOL
202101;ACA;AIR CANADA;E;CANADA;8409;4697,1;55380;0,047;0,026;0,307;60
202101;AEA;AIR EUROPA;E;ESPAGNE;10243;38,2;10625;0,011;0;0,011;74
202101;AFR;AIR FRANCE;F;FRANCE;1277621;38281,4;1660435;4,091;0,2823;6,914;12845
202101;AMX;AEROMEXICO;E;MEXIQUE;8099;538,4;13483;0,075;0,005;0,125;44
202101;ANA;ANA ALL NIPPON AIRWAYS;E;JAPON;606;1340,3;14009;0,006;0,013;0,136;54
202101;ANE;AIR NOSTRUM;E;ESPAGNE;18233;0;18233;0,014;0;0,014;312
202101;BAW;BRITISH AIRWAYS;E;ROYAUME-UNI;10304;164,8;11952;0,008;0,0001;0,009;132
202101;BCS;EAT/EUROPEAN AIR TRANSP;E;ALLEMAGNE;7;14559,3;145600;0;0,0119;0,119;686
202101;BEL;BRUSSELS AIRLINES;E;BELGIQUE;10411;26,9;10680;0,005;0;0,005;146
202101;BGA;AIRBUS TRANSPORT INTL;F;FRANCE;0;2987,8;29878;0;0,0029;0,029;181
202101;CCA;AIR CHINA INTL;E;CHINE;1479;2630,5;27784;0,012;0,0216;0,228;56
202101;CCM;AIR CORSICA;F;FRANCE;74326;118,4;75510;0,043;0;0,043;1246
202101;CES;CHINA EASTERN AIRLINES;E;CHINE;1819;4434,6;46165;0,017;0,0411;0,428;66
202101;CPA;CATHAY PACIFIC;E;HONG KONG (CHINE);2;2698,3;26985;0;0,0155;0,155;18
202101;CRL;CORSAIR;F;FRANCE;58429;2074;79169;0,401;0,0143;0,544;268
202101;DAH;AIR ALGERIE;E;ALGERIE;20610;1087,3;31483;0,027;0,0015;0,042;163
202101;DAL;DELTA AIR LINES;E;ETATS-UNIS;15523;1361,2;29135;0,103;0,0088;0,191;112
202101;DHK;DHL AIR;E;ROYAUME-UNI;0;1600;16000;0;0,0008;0,008;8
202101;DLH;LUFTHANSA;E;ALLEMAGNE;18298;513,1;23429;0,01;0,0003;0,013;275
202101;EJU;EASYJET EUROPE;E;AUTRICHE;93185;0;93185;0,073;0;0,073;883
202101;ETD;ETIHAD AIRWAYS;E;EMIRATS ARABES UNIS;5173;2011,5;25288;0,027;0,0106;0,133;92
202101;ETH;ETHIOPIAN AIRLINES;E;ETHIOPIE;15124;1244,6;27570;0,084;0,0067;0,151;81
202101;EVA;EVA AIR;E;TAIWAN;430;1198,7;12417;0,004;0,0117;0,121;34
202101;EZS;EASYJET SWITZERLAND;E;SUISSE;44806;0;44806;0,049;0;0,049;481
202101;FBU;FRENCH BEE;F;FRANCE;28697;645,9;35156;0,28;0,0061;0,341;90
202101;FDX;FEDEX EXPRESS;E;ETATS-UNIS;0;37478,6;374786;0;0,1367;1,367;1099
202101;FPO;ASL AIRLINES FRANCE;F;FRANCE;1792;2678,7;28579;0,002;0,0016;0,018;210
202101;FWI;AIR CARAIBES;F;FRANCE (OM);115031;1811,5;133146;0,696;0,0124;0,82;658
202101;GUY;CAIRE - AIR GUYANE EXPRESS;F;FRANCE (OM);18413;70,9;19122;0,004;0;0,004;1162
202101;IBE;IBERIA;E;ESPAGNE;17991;33,1;18322;0,019;0;0,019;157
202101;KAL;KOREAN AIR;E;COREE DU SUD;1541;1300,8;14549;0,014;0,0116;0,13;43
202101;KLM;KLM;E;PAYS-BAS;27302;280,2;30104;0,016;0,0001;0,017;473
202101;LBT;NOUVELAIR;E;TUNISIE;22557;32,9;22886;0,032;0;0,032;196
202101;MAC;AIR ARABIA MAROC;E;MAROC;34866;31,1;35177;0,054;0;0,054;385
202101;MAR;AIR MEDITERRANEAN;E;GRECE;14305;0;14305;0,017;0;0,017;100
202101;MNB;MNG AIRLINES;E;TURQUIE;0;1332,6;13326;0;0,002;0,02;20
202101;MSR;EGYPT AIR;E;EGYPTE;8221;892,7;17148;0,026;0,0029;0,055;63
202101;PGT;PEGASUS;E;TURQUIE;38017;18,9;38206;0,079;0;0,079;290
202101;QTR;QATAR AIRWAYS;E;QATAR;15581;7450;90081;0,078;0,0366;0,444;276
202101;RAM;ROYAL AIR MAROC;E;MAROC;84063;310,9;87172;0,153;0,0006;0,159;792
202101;REU;AIR AUSTRAL;F;FRANCE (OM);42805;1315,7;55962;0,298;0,0114;0,412;198
202101;RYR;RYANAIR;E;IRLANDE;100988;0,7;100995;0,128;0;0,128;875
202101;SIA;SINGAPORE AIRLINES;E;SINGAPOUR;1144;1044,6;11590;0,012;0,0112;0,124;46
202101;SRR;STAR AIR DANEMARK;E;DANEMARK;0;6440,9;64409;0;0,0035;0,035;239
202101;SWN;WEST AIR SWEDEN;E;SUEDE;10;1700,7;17017;0;0,0009;0,009;174
202101;SWT;SWIFTAIR ESPAGNE;E;ESPAGNE;0;1026,1;10261;0;0,0008;0,008;199
202101;SZN;AIR SENEGAL;E;SENEGAL;8739;306,9;11808;0,036;0,0013;0,049;64
202101;TAP;TAP AIR PORTUGAL;E;PORTUGAL;33993;44,8;34441;0,046;0,0001;0,047;401
202101;TAR;TUNISAIR;E;TUNISIE;48043;212,1;50164;0,06;0,0003;0,063;436
202101;TAY;ASL AIRLINES BELGIUM;E;BELGIQUE;0;1547,6;15476;0;0,0018;0,018;305
202101;THT;AIR TAHITI NUI;F;FRANCE (OM);6987;342;10407;0,083;0,0035;0,118;65
202101;THY;TURKISH AIRLINES;E;TURQUIE;44097;2899,9;73096;0,094;0,0064;0,158;392
202101;TPC;AIR CALEDONIE;F;FRANCE (OM);38393;109;39483;0,006;0;0,006;750
202101;TVF;TRANSAVIA FRANCE;F;FRANCE;151197;0;151197;0,224;0;0,224;1253
202101;UAE;EMIRATES;E;EMIRATS ARABES UNIS;32883;2552,1;58404;0,172;0,0134;0,306;138
