ANMOIS;CIE;CIE_NOM;CIE_NAT;CIE_PAYS;CIE_PAX;CIE_FRP;CIE_PEQ;CIE_PKT;CIE_TKT;CIE_PEQKT;CIE_VOL
201601;AAF;AIGLE AZUR;F;FRANCE;128285;30,8;128593;0,174;0;0,174;1163
201601;AAL;AMERICAN AIRLINES;E;ETATS-UNIS;49995;2570,4;75699;0,331;0,0175;0,506;297
201601;AAR;ASIANA AIRLINES;E;COREE DU SUD;10525;1071,1;21236;0,094;0,0096;0,19;46
201601;ABR;ASL AIRLINES IRELAND;E;IRLANDE;1424;1583,5;17259;0,002;0,0012;0,014;413
201601;ABW;AIRBRIDGE CARGO AIRLINES;E;RUSSIE (FED. DE);0;3645,4;36454;0;0,0083;0,083;37
201601;ACA;AIR CANADA;E;CANADA;36471;1923,1;55702;0,2;0,011;0,31;164
201601;ACI;AIRCALIN;F;FRANCE (OM);47718;408,7;51805;0,184;0,002;0,204;408
201601;AEA;AIR EUROPA;E;ESPAGNE;87896;88,2;88778;0,102;0,0001;0,103;704
201601;AEE;AEGEAN AIRLINES;E;GRECE;19932;125,8;21190;0,043;0,0003;0,046;152
201601;AFL;AEROFLOT;E;RUSSIE (FED. DE);40985;294,2;43927;0,106;0,0007;0,113;390
201601;AFR;AIR FRANCE;F;FRANCE;3403249;43425,3;3837502;11,116;0,3076;14,192;25098
201601;AIC;AIR INDIA;E;INDE;13331;441,7;17748;0,088;0,0029;0,117;62
201601;ALK;SRILANKAN AIRLINES;E;SRI LANKA;9597;347,2;13069;0,082;0,0029;0,111;38
201601;AMX;AEROMEXICO;E;MEXIQUE;13279;631,2;19591;0,122;0,0058;0,18;62
201601;ANA;ANA ALL NIPPON AIRWAYS;E;JAPON;8975;1460,2;23577;0,087;0,0142;0,229;62
201601;ANE;AIR NOSTRUM;E;ESPAGNE;38327;0,1;38328;0,028;0;0,028;822
201601;ASL;AIR SERBIA;E;SERBIE;11574;22;11794;0,016;0;0,016;122
201601;AUA;AUSTRIAN AIRLINES;E;AUTRICHE;26794;126,2;28056;0,026;0,0001;0,027;326
201601;AUI;UKRAINE INTL AIRLINES;E;UKRAINE;12180;40,9;12589;0,025;0,0001;0,026;88
201601;AWC;TITAN AIRWAYS;E;ROYAUME-UNI;15610;14,9;15759;0,013;0;0,013;95
201601;AZA;ALITALIA;E;ITALIE;82023;89,3;82916;0,1;0,0001;0,101;894
201601;BAW;BRITISH AIRWAYS;E;ROYAUME-UNI;184116;385;187966;0,128;0,0001;0,129;1788
201601;BCS;EAT/EUROPEAN AIR TRANSP;E;ALLEMAGNE;0;9912,3;99123;0;0,0083;0,083;561
201601;BEE;FLYBE;E;ROYAUME-UNI;44554;3,3;44587;0,025;0;0,025;782
201601;BEL;BRUSSELS AIRLINES;E;BELGIQUE;58416;23,5;58651;0,036;0;0,036;775
201601;BER;AIR BERLIN;E;ALLEMAGNE;10487;3,7;10524;0,016;0;0,016;109
201601;BGA;AIRBUS TRANSPORT INTL;F;FRANCE;1;4621,1;46212;0;0,0043;0,043;236
201601;BIE;AIR MEDITERRANEE;F;FRANCE;40329;19,6;40525;0,082;0;0,082;313
201601;BTI;AIR BALTIC;E;LETTONIE;10129;28,7;10416;0,017;0;0,017;126
201601;CCA;AIR CHINA INTL;E;CHINE;29530;2983,1;59361;0,248;0,025;0,498;144
201601;CCM;AIR CORSICA;F;FRANCE;97517;197,8;99495;0,054;0,0001;0,055;1422
201601;CES;CHINA EASTERN AIRLINES;E;CHINE;24104;2495,3;49057;0,222;0,023;0,452;138
201601;CPA;CATHAY PACIFIC;E;HONG KONG (CHINE);23130;5124,5;74375;0,222;0,049;0,712;104
201601;CRL;CORSAIR;F;FRANCE;111295;2224,8;133543;0,833;0,0159;0,992;321
201601;CSA;CSA CZECH AIRLINES;E;TCHEQUIE;19064;54,6;19610;0,016;0;0,016;238
201601;CSN;CHINA SOUTHERN AIRLINES;E;CHINE;11186;1583,6;27022;0,106;0,015;0,256;72
201601;DAH;AIR ALGERIE;E;ALGERIE;168870;1543,8;184308;0,203;0,0021;0,224;1622
201601;DAL;DELTA AIR LINES;E;ETATS-UNIS;114589;4476,6;159355;0,772;0,0301;1,073;603
201601;DLH;LUFTHANSA;E;ALLEMAGNE;197143;1146,1;208604;0,123;0,0006;0,129;2615
201601;EIN;AER LINGUS;E;IRLANDE;53082;116,4;54246;0,048;0,0001;0,049;447
201601;ELY;EL AL;E;ISRAEL;27197;634,1;33538;0,088;0,0021;0,109;174
201601;ETD;ETIHAD AIRWAYS;E;EMIRATS ARABES UNIS;32657;2898,9;61646;0,172;0,0152;0,324;124
201601;ETH;ETHIOPIAN AIRLINES;E;ETHIOPIE;7999;281,5;10814;0,045;0,0011;0,056;108
201601;EVA;EVA AIR;E;TAIWAN;7905;1002;17925;0,077;0,0098;0,175;38
201601;EWG;EUROWINGS;E;ALLEMAGNE;44535;0;44535;0,029;0;0,029;706
201601;EXS;JET2.COM;E;ROYAUME-UNI;16516;14,5;16661;0,016;0;0,016;131
201601;EZS;EASYJET SWITZERLAND;E;SUISSE;214869;0;214869;0,195;0;0,195;1480
201601;EZY;EASYJET UK;E;ROYAUME-UNI;895027;0,1;895028;0,755;0;0,755;6603
201601;FDX;FEDEX EXPRESS;E;ETATS-UNIS;2;35343,6;353438;0;0,1287;1,287;896
201601;FIN;FINNAIR;E;FINLANDE;31707;293,4;34641;0,06;0,0006;0,066;306
201601;FPO;ASL AIRLINES FRANCE;F;FRANCE;7346;4112,1;48467;0,015;0,0025;0,04;423
201601;FWI;AIR CARAIBES;F;FRANCE (OM);127690;1871,7;146407;0,705;0,0128;0,833;1001
201601;GMI;GERMANIA;E;ALLEMAGNE;20616;11,7;20733;0,021;0;0,021;167
201601;GUY;CAIRE - AIR GUYANE EXPRESS;F;FRANCE (OM);25139;82,5;25964;0,007;0;0,007;1678
201601;HOP;AIR FRANCE HOP!;F;FRANCE;308638;1,6;308654;0,173;0;0,173;6559
201601;HVN;VIETNAM AIRLINES;E;VIETNAM;23915;1075,9;34674;0,228;0,0101;0,329;90
201601;IBE;IBERIA;E;ESPAGNE;41045;46,5;41510;0,045;0;0,045;312
201601;IBS;IBERIA EXPRESS;E;ESPAGNE;16543;9,5;16638;0,016;0;0,016;148
201601;JAF;TUIFLY BELGIUM;E;BELGIQUE;53703;16,5;53868;0,111;0;0,111;393
201601;JAI;JET AIRWAYS INDIA;E;INDE;13571;718,2;20753;0,095;0,005;0,145;62
201601;JAL;JAPAN AIRLINES;E;JAPON;15353;1549,8;30851;0,149;0,0151;0,3;92
201601;KAL;KOREAN AIR;E;COREE DU SUD;19959;2117;41129;0,178;0,0189;0,367;87
201601;KLC;KLM/CITYHOPPER;E;PAYS-BAS;54553;4,7;54600;0,047;0;0,047;683
201601;KLM;KLM;E;PAYS-BAS;38606;368,9;42295;0,021;0,0001;0,022;301
201601;KQA;KENYA AIRWAYS;E;KENYA;11389;470,7;16096;0,069;0,0031;0,1;82
201601;LBT;NOUVELAIR;E;TUNISIE;17602;6,4;17666;0,028;0;0,028;122
201601;LOT;LOT POLISH AIRLINES;E;POLOGNE;10693;68,9;11382;0,014;0,0001;0,015;186
201601;MAC;AIR ARABIA MAROC;E;MAROC;17483;1,8;17501;0,027;0;0,027;159
201601;MAS;MALAYSIA AIRLINES;E;MALAISIE;9488;1351,9;23007;0,099;0,0141;0,24;52
201601;MAU;AIR MAURITIUS;E;MAURICE;59542;768,5;67227;0,171;0,0052;0,223;390
201601;MDG;AIR MADAGASCAR;E;MADAGASCAR;8849;137,8;10227;0,042;0,0012;0,054;120
201601;MEA;MIDDLE EAST AIRLINES;E;LIBAN;25385;479,7;30182;0,081;0,0015;0,096;126
201601;MNB;MNG AIRLINES;E;TURQUIE;0;1660,1;16601;0;0,0024;0,024;50
201601;MON;MONARCH AIRLINES;E;ROYAUME-UNI;18968;0;18968;0,017;0;0,017;130
201601;MSR;EGYPT AIR;E;EGYPTE;12912;914,7;22059;0,041;0,0029;0,07;62
201601;NAX;NORWEGIAN;E;NORVEGE;55171;4,2;55213;0,104;0;0,104;403
201601;OMA;OMAN AIR;E;OMAN;7514;780,3;15317;0,042;0,0043;0,085;46
201601;PGT;PEGASUS;E;TURQUIE;38285;34,5;38630;0,08;0,0001;0,081;303
201601;QTR;QATAR AIRWAYS;E;QATAR;60411;3271,3;93124;0,301;0,0162;0,463;214
201601;RAM;ROYAL AIR MAROC;E;MAROC;139240;568,3;144923;0,251;0,0011;0,262;1217
201601;REU;AIR AUSTRAL;F;FRANCE (OM);107326;1394,1;121267;0,403;0,011;0,513;816
201601;RYR;RYANAIR;E;IRLANDE;498651;0,1;498652;0,559;0;0,559;3331
201601;SAS;SAS;E;SUEDE;34841;170,4;36545;0,045;0,0002;0,047;357
201601;SIA;SINGAPORE AIRLINES;E;SINGAPOUR;18081;1039,9;28480;0,194;0,0112;0,306;62
201601;SRR;STAR AIR DANEMARK;E;DANEMARK;0;4461,5;44615;0;0,0026;0,026;237
201601;SVA;SAUDIA;E;ARABIE SAOUDITE;20755;964,3;30398;0,093;0,0044;0,137;113
201601;SWR;SWISS;E;SUISSE;51967;444,6;56413;0,022;0,0002;0,024;701
201601;TAM;TAM/BRASIL;E;BRESIL;20236;1027,4;30510;0,191;0,0097;0,288;62
201601;TAP;TAP AIR PORTUGAL;E;PORTUGAL;74709;118,7;75896;0,099;0,0002;0,101;1194
201601;TAR;TUNISAIR;E;TUNISIE;93053;322,9;96282;0,118;0,0005;0,123;781
201601;TAY;ASL AIRLINES BELGIUM;E;BELGIQUE;0;3133,2;31332;0;0,0019;0,019;426
201601;THA;THAI AIRWAYS INTL;E;THAILANDE;27589;609,9;33688;0,261;0,0058;0,319;62
201601;THT;AIR TAHITI NUI;F;FRANCE (OM);30167;700,7;37174;0,245;0,0063;0,308;155
201601;THY;TURKISH AIRLINES;E;TURQUIE;96009;1011,5;106124;0,203;0,0022;0,225;780
201601;TOM;TUI AIRWAYS;E;ROYAUME-UNI;28296;11,4;28410;0,026;0;0,026;172
201601;TPC;AIR CALEDONIE;F;FRANCE (OM);37729;147,8;39207;0,006;0;0,006;1005
201601;TRA;TRANSAVIA PAYS BAS;E;PAYS-BAS;14893;1,3;14906;0,012;0;0,012;130
201601;TSC;AIR TRANSAT;E;CANADA;24375;258,7;26962;0,129;0,0014;0,143;89
201601;TVF;TRANSAVIA FRANCE;F;FRANCE;192851;0;192851;0,297;0;0,297;1333
201601;UAE;EMIRATES;E;EMIRATS ARABES UNIS;105261;3750;142761;0,54;0,0192;0,732;309
201601;UAL;UNITED AIRLINES;E;ETATS-UNIS;31126;2608,1;57207;0,209;0,0173;0,382;210
201601;UPS;UPS AIRLINES;E;ETATS-UNIS;0;1973,6;19736;0;0,0048;0,048;81
201601;VLG;VUELING AIRLINES;E;ESPAGNE;224031;4,2;224073;0,223;0;0,223;1767
201601;VOE;VOLOTEA;E;ESPAGNE;29261;2,3;29284;0,03;0;0,03;374
201601;VTA;AIR TAHITI;F;FRANCE (OM);55182;102,1;56203;0,021;0,0001;0,022;1956
201601;WIA;WINAIR (ANTILLES);E;PAYS-BAS (ANTILLES);10614;0;10614;0;0;0;1134
201601;WZZ;WIZZ AIR;E;HONGRIE;60979;0;60979;0,086;0;0,086;446
201601;XLF;XL AIRWAYS FRANCE;F;FRANCE;66924;190,3;68827;0,445;0,0014;0,459;272
201601;ZZE; AUTRES CIE (E);E;_ZZ_E;296792;3395,2;330744;0,717;0,0109;0,826;11164
201601;ZZF; AUTRES CIE (F);F;_ZZ_F;38840;173;40570;0,077;0,0001;0,078;4583
201602;AAF;AIGLE AZUR;F;FRANCE;125858;53;126388;0,17;0;0,17;1165
201602;AAL;AMERICAN AIRLINES;E;ETATS-UNIS;41236;3162,1;72857;0,276;0,0214;0,49;290
201602;AAR;ASIANA AIRLINES;E;COREE DU SUD;9530;1005;19580;0,085;0,009;0,175;42
201602;ABR;ASL AIRLINES IRELAND;E;IRLANDE;1268;1620,5;17473;0,001;0,0013;0,014;431
201602;ABW;AIRBRIDGE CARGO AIRLINES;E;RUSSIE (FED. DE);0;2189,8;21898;0;0,0054;0,054;25
201602;ACA;AIR CANADA;E;CANADA;31377;1950;50877;0,171;0,0112;0,283;154
201602;ACI;AIRCALIN;F;FRANCE (OM);34157;395,3;38110;0,139;0,0019;0,158;376
201602;AEA;AIR EUROPA;E;ESPAGNE;92154;101,8;93172;0,108;0,0001;0,109;656
201602;AEE;AEGEAN AIRLINES;E;GRECE;16398;157,5;17973;0,036;0,0003;0,039;128
201602;AFL;AEROFLOT;E;RUSSIE (FED. DE);37230;277,6;40006;0,098;0,0007;0,105;370
201602;AFR;AIR FRANCE;F;FRANCE;3287968;42983,8;3717806;10,168;0,307;13,238;24907
201602;AIC;AIR INDIA;E;INDE;13185;481,6;18001;0,087;0,0032;0,119;58
201602;ALK;SRILANKAN AIRLINES;E;SRI LANKA;8442;340,4;11846;0,072;0,0029;0,101;32
201602;AMX;AEROMEXICO;E;MEXIQUE;10385;630,4;16689;0,096;0,0058;0,154;58
201602;ANA;ANA ALL NIPPON AIRWAYS;E;JAPON;9336;1305,7;22393;0,091;0,0127;0,218;58
201602;ANE;AIR NOSTRUM;E;ESPAGNE;45308;0,1;45309;0,033;0;0,033;825
201602;AUA;AUSTRIAN AIRLINES;E;AUTRICHE;27798;87;28668;0,027;0,0001;0,028;337
201602;AUI;UKRAINE INTL AIRLINES;E;UKRAINE;10248;37;10618;0,021;0,0001;0,022;84
201602;AWC;TITAN AIRWAYS;E;ROYAUME-UNI;15144;11,9;15263;0,013;0;0,013;100
201602;AZA;ALITALIA;E;ITALIE;80135;77,5;80910;0,094;0,0001;0,095;855
201602;BAW;BRITISH AIRWAYS;E;ROYAUME-UNI;204459;422,8;208687;0,143;0,0002;0,145;1847
201602;BCS;EAT/EUROPEAN AIR TRANSP;E;ALLEMAGNE;0;10464,5;104645;0;0,0087;0,087;588
201602;BCY;CITYJET IRL;E;IRLANDE;10064;0;10064;0,004;0;0,004;231
201602;BEE;FLYBE;E;ROYAUME-UNI;49402;2,6;49428;0,028;0;0,028;782
201602;BEL;BRUSSELS AIRLINES;E;BELGIQUE;63103;24,6;63349;0,039;0;0,039;810
201602;BER;AIR BERLIN;E;ALLEMAGNE;14051;4,6;14097;0,02;0;0,02;135
201602;BGA;AIRBUS TRANSPORT INTL;F;FRANCE;1;5021,5;50216;0;0,0047;0,047;264
201602;BIE;AIR MEDITERRANEE;F;FRANCE;17719;8,6;17805;0,035;0;0,035;141
201602;CCA;AIR CHINA INTL;E;CHINE;26138;2406,7;50205;0,22;0,0202;0,422;126
201602;CCM;AIR CORSICA;F;FRANCE;97206;178,3;98989;0,052;0,0001;0,053;1324
201602;CES;CHINA EASTERN AIRLINES;E;CHINE;21297;1928,4;40581;0,195;0,0178;0,373;112
201602;CPA;CATHAY PACIFIC;E;HONG KONG (CHINE);19504;4010,6;59610;0,187;0,0383;0,57;92
201602;CRL;CORSAIR;F;FRANCE;101199;2501,8;126217;0,716;0,0178;0,894;289
201602;CSA;CSA CZECH AIRLINES;E;TCHEQUIE;20245;60;20845;0,017;0,0001;0,018;234
201602;CSN;CHINA SOUTHERN AIRLINES;E;CHINE;10341;1352,8;23869;0,098;0,0128;0,226;62
201602;DAH;AIR ALGERIE;E;ALGERIE;149837;1711,7;166954;0,179;0,0023;0,202;1514
201602;DAL;DELTA AIR LINES;E;ETATS-UNIS;80521;3333,1;113852;0,546;0,0229;0,775;500
201602;DLH;LUFTHANSA;E;ALLEMAGNE;214157;1116,6;225323;0,134;0,0006;0,14;2695
