ANMOIS;CIE;CIE_NOM;CIE_NAT;CIE_PAYS;CIE_PAX;CIE_FRP;CIE_PEQ;CIE_PKT;CIE_TKT;CIE_PEQKT;CIE_VOL
202201;AAL;AMERICAN AIRLINES;E;ETATS-UNIS;27242;1969,4;46936;0,189;0,0141;0,33;254
202201;ABR;ASL AIRLINES IRELAND;E;IRLANDE;0;2275;22750;0;0,0019;0,019;355
202201;ACA;AIR CANADA;E;CANADA;26897;1085;37747;0,152;0,0061;0,213;136
202201;ACI;AIRCALIN;F;FRANCE (OM);12679;423,7;16916;0,08;0,002;0,1;178
202201;AEA;AIR EUROPA;E;ESPAGNE;21466;39,6;21862;0,022;0;0,022;146
202201;AEE;AEGEAN AIRLINES;E;GRECE;14443;67,1;15114;0,029;0,0001;0,03;134
202201;AFL;AEROFLOT;E;RUSSIE (FED. DE);10183;106,6;11249;0,025;0,0003;0,028;104
202201;AFR;AIR FRANCE;F;FRANCE;2197118;39269,4;2589812;7,584;0,2839;10,423;18894
202201;AIC;AIR INDIA;E;INDE;6367;673,9;13106;0,042;0,0044;0,086;44
202201;AMX;AEROMEXICO;E;MEXIQUE;10689;830,9;18998;0,098;0,0077;0,175;54
202201;ANE;AIR NOSTRUM;E;ESPAGNE;33935;0,1;33936;0,026;0;0,026;576
202201;ATG;ATLANT SV AIRCOMPANY;E;UKRAINE;0;1193,7;11937;0;0,0056;0,056;15
202201;AUA;AUSTRIAN AIRLINES;E;AUTRICHE;17123;72,8;17851;0,016;0,0001;0,017;242
202201;BAW;BRITISH AIRWAYS;E;ROYAUME-UNI;34723;156;36283;0,027;0,0001;0,028;459
202201;BCS;EAT/EUROPEAN AIR TRANSP;E;ALLEMAGNE;0;4985;49850;0;0,0034;0,034;734
202201;BEL;BRUSSELS AIRLINES;E;BELGIQUE;32100;2,7;32127;0,019;0;0,019;422
202201;BGA;AIRBUS TRANSPORT INTL;F;FRANCE;0;3714,8;37148;0;0,0034;0,034;192
202201;CCA;AIR CHINA INTL;E;CHINE;2067;2793,1;29998;0,017;0,023;0,247;184
202201;CCM;AIR CORSICA;F;FRANCE;99909;129,3;101202;0,056;0,0001;0,057;1450
202201;CRL;CORSAIR;F;FRANCE;92096;1670,2;108798;0,652;0,0113;0,765;480
202201;CSN;CHINA SOUTHERN AIRLINES;E;CHINE;1134;1463,3;15767;0,011;0,0139;0,15;40
202201;DAH;AIR ALGERIE;E;ALGERIE;52228;576,3;57991;0,072;0,0008;0,08;266
202201;DAL;DELTA AIR LINES;E;ETATS-UNIS;63769;2029,1;84060;0,422;0,0133;0,555;352
202201;DLH;LUFTHANSA;E;ALLEMAGNE;102171;980,1;111972;0,066;0,0005;0,071;1656
202201;EIN;AER LINGUS;E;IRLANDE;18038;60,1;18639;0,017;0;0,017;208
202201;EJU;EASYJET EUROPE;E;AUTRICHE;482458;0,2;482460;0,418;0;0,418;3976
202201;ELY;EL AL;E;ISRAEL;8656;532,3;13979;0,028;0,0018;0,046;63
202201;ETD;ETIHAD AIRWAYS;E;EMIRATS ARABES UNIS;11973;1337,1;25344;0,063;0,007;0,133;96
202201;ETH;ETHIOPIAN AIRLINES;E;ETHIOPIE;16261;845,1;24712;0,09;0,0047;0,137;96
202201;EZS;EASYJET SWITZERLAND;E;SUISSE;139394;0;139394;0,139;0;0,139;1254
202201;EZY;EASYJET R-U;E;ROYAUME-UNI;25831;0;25831;0,017;0;0,017;392
202201;FBU;FRENCH BEE;F;FRANCE;39970;713,8;47108;0,37;0,0064;0,434;148
202201;FDX;FEDEX EXPRESS;E;ETATS-UNIS;0;17518,6;175186;0;0,065;0,65;1352
202201;FIN;FINNAIR;E;FINLANDE;15569;80,3;16372;0,03;0,0002;0,032;177
202201;FPO;ASL AIRLINES FRANCE;F;FRANCE;12128;1038,9;22517;0,018;0,0006;0,024;269
202201;FWI;AIR CARAIBES;F;FRANCE (OM);123432;1246,6;135898;0,73;0,0085;0,815;797
202201;GUY;CAIRE - AIR GUYANE EXPRESS;F;FRANCE (OM);17090;64,6;17736;0,005;0;0,005;1291
202201;IBE;IBERIA;E;ESPAGNE;60654;33,7;60991;0,058;0;0,058;532
202201;IBS;IBERIA EXPRESS;E;ESPAGNE;16834;14,2;16976;0,017;0;0,017;159
202201;ITY;ITALIA TRASPORTO AEREO;E;ITALIE;19019;4,1;19060;0,015;0;0,015;397
202201;JAL;JAPAN AIRLINES;E;JAPON;1840;1198,1;13821;0,018;0,0116;0,134;62
202201;KAL;KOREAN AIR;E;COREE DU SUD;2105;1032,2;12427;0,019;0,0092;0,111;46
202201;KLC;KLM/CITYHOPPER;E;PAYS-BAS;23914;0;23914;0,021;0;0,021;404
202201;KLM;KLM;E;PAYS-BAS;54074;175,6;55830;0,032;0,0001;0,033;677
202201;LAN;LAN AIRLINES;E;CHILI;13106;535,2;18458;0,134;0,0055;0,189;54
202201;LBT;NOUVELAIR;E;TUNISIE;35185;18,7;35372;0,048;0;0,048;296
202201;MAU;AIR MAURITIUS;E;MAURICE;17153;739,4;24547;0,137;0,0053;0,19;186
202201;MEA;MIDDLE EAST AIRLINES;E;LIBAN;11890;87,6;12766;0,038;0,0003;0,041;77
202201;MSR;EGYPT AIR;E;EGYPTE;12496;458,8;17084;0,04;0,0015;0,055;72
202201;PGT;PEGASUS;E;TURQUIE;50327;22,2;50549;0,105;0;0,105;362
202201;QTR;QATAR AIRWAYS;E;QATAR;31999;3913,8;71137;0,159;0,0191;0,35;234
202201;REU;AIR AUSTRAL;F;FRANCE (OM);53456;1159,6;65052;0,341;0,0094;0,435;308
202201;RYR;RYANAIR;E;IRLANDE;381209;4,7;381256;0,424;0;0,424;3361
202201;SAS;SAS;E;SUEDE;13185;33,2;13517;0,019;0;0,019;180
202201;SIA;SINGAPORE AIRLINES;E;SINGAPOUR;9914;1155,6;21470;0,106;0,0124;0,23;62
202201;SRR;STAR AIR DANEMARK;E;DANEMARK;0;2522,1;25221;0;0,0015;0,015;212
202201;SVA;SAUDIA;E;ARABIE SAOUDITE;14559;875,6;23315;0,067;0,004;0,107;127
202201;SWN;WEST AIR SWEDEN;E;SUEDE;5;1383,3;13838;0;0,0008;0,008;179
202201;SWR;SWISS;E;SUISSE;21632;329,8;24930;0,01;0,0002;0,012;339
202201;SZN;AIR SENEGAL;E;SENEGAL;20545;422,5;24770;0,086;0,0018;0,104;113
202201;TAP;TAP AIR PORTUGAL;E;PORTUGAL;64839;64,5;65484;0,089;0,0001;0,09;761
202201;TAR;TUNISAIR;E;TUNISIE;50549;91,2;51461;0,062;0,0001;0,063;433
202201;TAY;ASL AIRLINES BELGIUM;E;BELGIQUE;0;1034,4;10344;0;0,0012;0,012;299
202201;THT;AIR TAHITI NUI;F;FRANCE (OM);15706;593,4;21640;0,154;0,0049;0,203;112
202201;THY;TURKISH AIRLINES;E;TURQUIE;94400;1151,3;105913;0,2;0,0025;0,225;765
202201;TPC;AIR CALEDONIE;F;FRANCE (OM);26061;80,5;26866;0,004;0;0,004;567
202201;TVF;TRANSAVIA FRANCE;F;FRANCE;259403;0;259403;0,364;0;0,364;2176
202201;UAE;EMIRATES;E;EMIRATS ARABES UNIS;54975;2868,9;83664;0,283;0,0148;0,431;262
202201;UAL;UNITED AIRLINES;E;ETATS-UNIS;27787;2421,2;51999;0,178;0,0151;0,329;217
202201;VLG;VUELING AIRLINES;E;ESPAGNE;194308;62,1;194929;0,205;0,0001;0,206;1873
202201;VOE;VOLOTEA;E;ESPAGNE;66936;0,3;66939;0,073;0;0,073;554
202201;VTA;AIR TAHITI;F;FRANCE (OM);52586;105,3;53639;0,021;0,0001;0,022;1711
202201;WZZ;WIZZ AIR;E;HONGRIE;114371;0;114371;0,161;0;0,161;765
202201;ZZE; AUTRES CIE (E);E;_ZZ_E;296509;13152,8;428037;0,681;0,0629;1,31;14023
202201;ZZF; AUTRES CIE (F);F;_ZZ_F;21868;36;22228;0,016;0;0,016;5208
202202;AAL;AMERICAN AIRLINES;E;ETATS-UNIS;27502;2444,8;51950;0,19;0,0174;0,364;216
202202;ABR;ASL AIRLINES IRELAND;E;IRLANDE;0;2051;20510;0;0,0018;0,018;331
202202;ACA;AIR CANADA;E;CANADA;20448;1197,9;32427;0,114;0,0067;0,181;80
202202;ACI;AIRCALIN;F;FRANCE (OM);10631;408,8;14719;0,063;0,0024;0,087;192
202202;AEA;AIR EUROPA;E;ESPAGNE;19788;30,4;20092;0,02;0;0,02;128
202202;AEE;AEGEAN AIRLINES;E;GRECE;13654;78,3;14437;0,028;0,0002;0,03;98
202202;AFL;AEROFLOT;E;RUSSIE (FED. DE);9520;86,7;10387;0,024;0,0002;0,026;92
202202;AFR;AIR FRANCE;F;FRANCE;2196693;42787,2;2624565;7,118;0,3078;10,196;17023
202202;AIC;AIR INDIA;E;INDE;6038;783,7;13875;0,04;0,0052;0,092;40
202202;AMX;AEROMEXICO;E;MEXIQUE;9048;637;15418;0,083;0,0059;0,142;40
202202;ANE;AIR NOSTRUM;E;ESPAGNE;37564;0;37564;0,029;0;0,029;524
202202;ATG;ATLANT SV AIRCOMPANY;E;UKRAINE;0;1217,9;12179;0;0,0057;0,057;14
202202;AUA;AUSTRIAN AIRLINES;E;AUTRICHE;17191;60,8;17799;0,017;0,0001;0,018;194
202202;BAW;BRITISH AIRWAYS;E;ROYAUME-UNI;57910;184,1;59751;0,045;0,0001;0,046;510
202202;BCS;EAT/EUROPEAN AIR TRANSP;E;ALLEMAGNE;2;8950,6;89508;0;0,0066;0,066;738
202202;BEL;BRUSSELS AIRLINES;E;BELGIQUE;27862;3,8;27900;0,016;0;0,016;324
202202;BGA;AIRBUS TRANSPORT INTL;F;FRANCE;0;3486,2;34862;0;0,0033;0,033;178
202202;CCA;AIR CHINA INTL;E;CHINE;879;2973,4;30613;0,007;0,0245;0,252;112
202202;CCM;AIR CORSICA;F;FRANCE;107341;129,7;108638;0,059;0,0001;0,06;1284
202202;CRL;CORSAIR;F;FRANCE;81058;1579,9;96857;0,558;0,0106;0,664;411
202202;CSN;CHINA SOUTHERN AIRLINES;E;CHINE;672;1445,2;15124;0,006;0,0137;0,143;30
202202;DAH;AIR ALGERIE;E;ALGERIE;51766;687;58636;0,072;0,0009;0,081;244
202202;DAL;DELTA AIR LINES;E;ETATS-UNIS;58450;2813,3;86583;0,383;0,0186;0,569;328
202202;DLH;LUFTHANSA;E;ALLEMAGNE;125242;897,1;134213;0,083;0,0005;0,088;1587
202202;EIN;AER LINGUS;E;IRLANDE;26407;50;26907;0,023;0;0,023;212
202202;EJU;EASYJET EUROPE;E;AUTRICHE;860822;0,4;860826;0,768;0;0,768;6116
202202;ELY;EL AL;E;ISRAEL;14877;721,9;22096;0,049;0,0024;0,073;68
202202;ENT;ENTER AIR;E;POLOGNE;10921;0;10921;0,013;0;0,013;68
202202;ETD;ETIHAD AIRWAYS;E;EMIRATS ARABES UNIS;11644;988;21524;0,061;0,0052;0,113;56
202202;ETH;ETHIOPIAN AIRLINES;E;ETHIOPIE;13985;959;23575;0,077;0,0053;0,13;88
202202;EXS;JET2.COM;E;ROYAUME-UNI;21305;3,6;21341;0,019;0;0,019;160
202202;EZS;EASYJET SWITZERLAND;E;SUISSE;217837;0;217837;0,219;0;0,219;1582
202202;EZY;EASYJET R-U;E;ROYAUME-UNI;132809;0;132809;0,094;0;0,094;1019
202202;FBU;FRENCH BEE;F;FRANCE;29104;801,7;37121;0,262;0,007;0,332;106
202202;FDX;FEDEX EXPRESS;E;ETATS-UNIS;12;23965,3;239665;0;0,0879;0,879;1362
202202;FIN;FINNAIR;E;FINLANDE;13842;100,8;14850;0,026;0,0002;0,028;116
202202;FPO;ASL AIRLINES FRANCE;F;FRANCE;12123;809,7;20220;0,017;0,0005;0,022;244
202202;FWI;AIR CARAIBES;F;FRANCE (OM);117093;1216,8;129261;0,678;0,0083;0,761;736
202202;GUY;CAIRE - AIR GUYANE EXPRESS;F;FRANCE (OM);18712;56,9;19281;0,005;0;0,005;1205
202202;IBE;IBERIA;E;ESPAGNE;70129;25,9;70388;0,067;0;0,067;452
202202;IBS;IBERIA EXPRESS;E;ESPAGNE;28854;11,5;28969;0,028;0;0,028;222
202202;ITY;ITALIA TRASPORTO AEREO;E;ITALIE;23072;6,3;23135;0,019;0;0,019;307
202202;JAF;TUIFLY BELGIUM;E;BELGIQUE;14388;0;14388;0,025;0;0,025;135
202202;JAL;JAPAN AIRLINES;E;JAPON;1266;1074,3;12009;0,012;0,0104;0,116;56
202202;KAL;KOREAN AIR;E;COREE DU SUD;2230;919,1;11421;0,02;0,0082;0,102;40
202202;KLC;KLM/CITYHOPPER;E;PAYS-BAS;24876;0;24876;0,022;0;0,022;329
202202;KLM;KLM;E;PAYS-BAS;67716;198,5;69701;0,041;0,0001;0,042;648
202202;LAN;LAN AIRLINES;E;CHILI;10301;578;16081;0,105;0,0058;0,163;48
202202;LBT;NOUVELAIR;E;TUNISIE;28008;16,4;28172;0,038;0;0,038;238
202202;MAC;AIR ARABIA MAROC;E;MAROC;30570;13,2;30702;0,046;0;0,046;284
202202;MAU;AIR MAURITIUS;E;MAURICE;16662;860,9;25271;0,138;0,0064;0,202;106
202202;MNB;MNG AIRLINES;E;TURQUIE;0;1451,8;14518;0;0,002;0,02;24
202202;MSR;EGYPT AIR;E;EGYPTE;13504;517,2;18676;0,043;0,0017;0,06;70
202202;PGT;PEGASUS;E;TURQUIE;54401;35,7;54758;0,114;0,0001;0,115;330
202202;QTR;QATAR AIRWAYS;E;QATAR;41839;4458,1;86420;0,208;0,0214;0,422;258
202202;RAM;ROYAL AIR MAROC;E;MAROC;92676;172,1;94397;0,169;0,0003;0,172;794
202202;REU;AIR AUSTRAL;F;FRANCE (OM);35465;958,1;45046;0,212;0,0075;0,287;221
202202;RYR;RYANAIR;E;IRLANDE;629012;7,6;629088;0,7;0;0,7;4485
202202;SAS;SAS;E;SUEDE;18759;19,2;18951;0,026;0;0,026;192
202202;SIA;SINGAPORE AIRLINES;E;SINGAPOUR;8220;1024,2;18462;0,088;0,011;0,198;56
202202;SRR;STAR AIR DANEMARK;E;DANEMARK;0;2288,8;22888;0;0,0014;0,014;202
202202;SVA;SAUDIA;E;ARABIE SAOUDITE;12504;904,2;21546;0,056;0,0041;0,097;97
202202;SWN;WEST AIR SWEDEN;E;SUEDE;2;1375,8;13760;0;0,0008;0,008;175
202202;SWR;SWISS;E;SUISSE;28907;295,3;31860;0,013;0,0001;0,014;291
202202;SWT;SWIFTAIR ESPAGNE;E;ESPAGNE;0;1058,3;10583;0;0,0007;0,007;242
202202;SZN;AIR SENEGAL;E;SENEGAL;17658;377,2;21430;0,074;0,0016;0,09;92
202202;TAP;TAP AIR PORTUGAL;E;PORTUGAL;70891;66,2;71553;0,096;0,0001;0,097;692
202202;TAR;TUNISAIR;E;TUNISIE;61540;161;63150;0,075;0,0002;0,077;528
202202;TAY;ASL AIRLINES BELGIUM;E;BELGIQUE;0;1159;11590;0;0,0014;0,014;284
202202;THT;AIR TAHITI NUI;F;FRANCE (OM);12165;664,6;18811;0,116;0,0054;0,17;88
202202;THY;TURKISH AIRLINES;E;TURQUIE;105645;1484,5;120490;0,223;0,0033;0,256;696
202202;TOM;TUI AIRWAYS;E;ROYAUME-UNI;28840;9,8;28938;0,027;0;0,027;171
202202;TPC;AIR CALEDONIE;F;FRANCE (OM);18868;47,2;19340;0,003;0;0,003;452
202202;TVF;TRANSAVIA FRANCE;F;FRANCE;473478;1,3;473491;0,688;0;0,688;3573
202202;TVS;TRAVEL SERVICE / SMARTWINGS;E;TCHEQUIE;14200;0;14200;0,035;0;0,035;115
202202;UAE;EMIRATES;E;EMIRATS ARABES UNIS;74909;3253,8;107447;0,386;0,0167;0,553;242
202202;UAL;UNITED AIRLINES;E;ETATS-UNIS;26928;2640;53328;0,17;0,0166;0,336;196
202202;VLG;VUELING AIRLINES;E;ESPAGNE;215735;54,8;216283;0,223;0,0001;0,224;1603
