ANMOIS;CIE;CIE_NOM;CIE_NAT;CIE_PAYS;CIE_PAX;CIE_FRP;CIE_PEQ;CIE_PKT;CIE_TKT;CIE_PEQKT;CIE_VOL
201301;AAF;AIGLE AZUR;F;FRANCE;137679;106,8;138747;0,185;0,0002;0,187;1341
201301;AAL;AMERICAN AIRLINES;E;ETATS-UNIS;46682;896;55642;0,317;0,0061;0,378;275
201301;AAR;ASIANA AIRLINES;E;COREE DU SUD;8931;739,8;16329;0,08;0,0066;0,146;34
201301;ABR;ASL AIRLINES IRELAND;E;IRLANDE;0;1558,4;15584;0;0,0012;0,012;450
201301;ABW;AIRBRIDGE CARGO AIRLINES;E;RUSSIE (FED. DE);0;3114,6;31146;0;0,0077;0,077;16
201301;ACA;AIR CANADA;E;CANADA;27998;803,7;36035;0,154;0,0046;0,2;156
201301;ACI;AIRCALIN;F;FRANCE (OM);42221;368,7;45908;0,166;0,0017;0,183;337
201301;AEA;AIR EUROPA;E;ESPAGNE;74013;125,7;75270;0,086;0,0001;0,087;690
201301;AEE;AEGEAN AIRLINES;E;GRECE;14239;102;15259;0,03;0,0002;0,032;110
201301;AFL;AEROFLOT;E;RUSSIE (FED. DE);36646;516,6;41812;0,092;0,0013;0,105;389
201301;AFR;AIR FRANCE;F;FRANCE;3330135;47843,7;3808572;10,604;0,3454;14,058;28332
201301;AIC;AIR INDIA;E;INDE;12390;590,7;18297;0,083;0,0039;0,122;62
201301;ALK;SRILANKAN AIRLINES;E;SRI LANKA;8368;321,1;11579;0,071;0,0027;0,098;34
201301;AMX;AEROMEXICO;E;MEXIQUE;8977;117;10147;0,083;0,0011;0,094;61
201301;ANA;ANA ALL NIPPON AIRWAYS;E;JAPON;12397;1931,5;31712;0,121;0,0188;0,309;62
201301;ANE;AIR NOSTRUM;E;ESPAGNE;51475;0,2;51477;0,042;0;0,042;1097
201301;AUA;AUSTRIAN AIRLINES;E;AUTRICHE;31306;111,9;32425;0,03;0,0001;0,031;395
201301;AWE_EX;US AIRWAYS;E;ETATS-UNIS;12794;892,5;21719;0,077;0,0053;0,13;62
201301;AZA;ALITALIA;E;ITALIE;67060;131,5;68375;0,088;0,0001;0,089;722
201301;BAW;BRITISH AIRWAYS;E;ROYAUME-UNI;157525;494,3;162468;0,111;0,0002;0,113;1741
201301;BCS1;EUROPEAN AIR TRANSPORT (1);E;BELGIQUE;0;7852;78520;0;0,007;0,07;532
201301;BCY;CITYJET IRL;E;IRLANDE;31204;0;31204;0,023;0;0,023;701
201301;BEE;FLYBE;E;ROYAUME-UNI;44831;0;44831;0,025;0;0,025;895
201301;BEL;BRUSSELS AIRLINES;E;BELGIQUE;42609;18,2;42791;0,028;0;0,028;823
201301;BER;AIR BERLIN;E;ALLEMAGNE;12607;2,8;12635;0,016;0;0,016;120
201301;BGA;AIRBUS TRANSPORT INTL;F;FRANCE;0;4285,1;42851;0;0,0039;0,039;213
201301;BIE;AIR MEDITERRANEE;F;FRANCE;45562;0,6;45568;0,113;0;0,113;372
201301;BZH;BRIT AIR;F;FRANCE;123683;2,9;123712;0,067;0;0,067;2967
201301;CCA;AIR CHINA INTL;E;CHINE;17370;1855,5;35925;0,147;0,0156;0,303;76
201301;CCM;AIR CORSICA;F;FRANCE;95538;173;97268;0,052;0,0001;0,053;1405
201301;CES;CHINA EASTERN AIRLINES;E;CHINE;15639;1137,1;27010;0,145;0,0104;0,249;74
201301;CPA;CATHAY PACIFIC;E;HONG KONG (CHINE);30337;3819,1;68528;0,291;0,0308;0,599;138
201301;CRL;CORSAIR;F;FRANCE;110288;1632,5;126613;0,824;0,0121;0,945;295
201301;CSA;CSA CZECH AIRLINES;E;TCHEQUIE;20047;87,3;20920;0,017;0,0001;0,018;242
201301;CSN;CHINA SOUTHERN AIRLINES;E;CHINE;10564;982,9;20393;0,1;0,0093;0,193;62
201301;DAH;AIR ALGERIE;E;ALGERIE;123031;1518,9;138220;0,147;0,0021;0,168;1337
201301;DAL;DELTA AIR LINES;E;ETATS-UNIS;73115;3596,2;109077;0,501;0,0244;0,745;417
201301;DLH;LUFTHANSA;E;ALLEMAGNE;222492;893,7;231429;0,137;0,0005;0,142;3401
201301;EIN;AER LINGUS;E;IRLANDE;41712;101,8;42730;0,038;0,0001;0,039;362
201301;ELY;EL AL;E;ISRAEL;28030;562,3;33653;0,091;0,0018;0,109;179
201301;ETD;ETIHAD AIRWAYS;E;EMIRATS ARABES UNIS;28951;1792,9;46880;0,152;0,0094;0,246;124
201301;EVA;EVA AIR;E;TAIWAN;6541;487,4;11415;0,064;0,0048;0,112;26
201301;EXS;JET2.COM;E;ROYAUME-UNI;25421;0;25421;0,027;0;0,027;202
201301;EZS;EASYJET SWITZERLAND;E;SUISSE;196963;0;196963;0,184;0;0,184;1517
201301;EZY;EASYJET UK;E;ROYAUME-UNI;833479;0,1;833480;0,7;0;0,7;6286
201301;FDX;FEDEX EXPRESS;E;ETATS-UNIS;0;40186,4;401864;0;0,1526;1,526;944
201301;FIN;FINNAIR;E;FINLANDE;32339;419,9;36538;0,061;0,0008;0,069;289
201301;FPO;ASL AIRLINES FRANCE;F;FRANCE;2966;8080,5;83771;0,007;0,0046;0,053;894
201301;FWI;AIR CARAIBES;F;FRANCE (OM);109921;1132,1;121242;0,559;0,0077;0,636;999
201301;GUY;CAIRE - AIR GUYANE EXPRESS;F;FRANCE (OM);20948;81,4;21762;0,005;0;0,005;1293
201301;HVN;VIETNAM AIRLINES;E;VIETNAM;23466;1755,1;41017;0,222;0,0166;0,388;88
201301;IBE;IBERIA;E;ESPAGNE;34356;124,3;35599;0,037;0,0001;0,038;318
201301;JAF;TUIFLY BELGIUM;E;BELGIQUE;54176;21,1;54387;0,1;0;0,1;411
201301;JAL;JAPAN AIRLINES;E;JAPON;26605;488,8;31493;0,259;0,0048;0,307;124
201301;KAL;KOREAN AIR;E;COREE DU SUD;16467;3256,3;49030;0,147;0,029;0,437;84
201301;KLC;KLM/CITYHOPPER;E;PAYS-BAS;50171;6,1;50232;0,043;0;0,043;713
201301;KLM;KLM;E;PAYS-BAS;37757;251,2;40269;0,015;0,0001;0,016;304
201301;LBT;NOUVELAIR;E;TUNISIE;11599;7,4;11673;0,018;0;0,018;68
201301;LOT;LOT POLISH AIRLINES;E;POLOGNE;10775;77,8;11553;0,014;0,0001;0,015;206
201301;MAC;AIR ARABIA MAROC;E;MAROC;15542;4,7;15589;0,024;0;0,024;143
201301;MAS;MALAYSIA AIRLINES;E;MALAISIE;14495;724,2;21737;0,152;0,0076;0,228;62
201301;MAU;AIR MAURITIUS;E;MAURICE;57481;1049,6;67977;0,188;0,0076;0,264;357
201301;MDG;AIR MADAGASCAR;E;MADAGASCAR;17377;281,8;20195;0,075;0,0024;0,099;186
201301;MEA;MIDDLE EAST AIRLINES;E;LIBAN;23085;488,6;27971;0,074;0,0016;0,09;126
201301;MNB;MNG AIRLINES;E;TURQUIE;5;1653,2;16537;0;0,004;0,04;52
201301;MON;MONARCH AIRLINES;E;ROYAUME-UNI;23278;0;23278;0,02;0;0,02;137
201301;MSR;EGYPT AIR;E;EGYPTE;15331;760,4;22935;0,049;0,0024;0,073;96
201301;NAX;NORWEGIAN;E;NORVEGE;28748;3,6;28784;0,043;0;0,043;228
201301;NLY;NIKI;E;AUTRICHE;12159;0;12159;0,012;0;0,012;122
201301;OMA;OMAN AIR;E;OMAN;5779;568,3;11462;0,032;0,0031;0,063;37
201301;PGT;PEGASUS;E;TURQUIE;31120;122,5;32345;0,066;0,0003;0,069;252
201301;QTR;QATAR AIRWAYS;E;QATAR;39390;3058,9;69979;0,195;0,0152;0,347;190
201301;RAE;REGIONAL CAE;F;FRANCE;164009;7,4;164083;0,104;0;0,104;4409
201301;RAM;ROYAL AIR MAROC;E;MAROC;135721;801,1;143732;0,248;0,0015;0,263;1125
201301;REU;AIR AUSTRAL;F;FRANCE (OM);105673;1006,1;115734;0,404;0,0081;0,485;846
201301;RLA;AIRLINAIR;F;FRANCE;22852;0;22852;0,01;0;0,01;1131
201301;ROT;TAROM;E;ROUMANIE;10009;54;10549;0,018;0,0001;0,019;139
201301;RYR;RYANAIR;E;IRLANDE;374502;0,1;374503;0,387;0;0,387;3007
201301;SAS;SAS;E;SUEDE;30805;164,8;32453;0,039;0,0002;0,041;343
201301;SIA;SINGAPORE AIRLINES;E;SINGAPOUR;22007;900,2;31009;0,236;0,0097;0,333;62
201301;SRR;STAR AIR DANEMARK;E;DANEMARK;0;3827,6;38276;0;0,0022;0,022;267
201301;SVA;SAUDIA;E;ARABIE SAOUDITE;8943;119,7;10140;0,04;0,0005;0,045;110
201301;SWR;SWISS;E;SUISSE;83688;364,2;87330;0,039;0,0002;0,041;1260
201301;SYA;SYPHAX AIRLINES;E;TUNISIE;10925;2,5;10950;0,018;0;0,018;110
201301;TAM;TAM/BRASIL;E;BRESIL;18589;1112,4;29713;0,173;0,0104;0,277;106
201301;TAP;TAP AIR PORTUGAL;E;PORTUGAL;74937;165,4;76591;0,1;0,0002;0,102;1071
201301;TAR;TUNISAIR;E;TUNISIE;88955;355,7;92512;0,113;0,0005;0,118;897
201301;TAY;ASL AIRLINES BELGIUM;E;BELGIQUE;2;2910,8;29110;0;0,0017;0,017;421
201301;THA;THAI AIRWAYS INTL;E;THAILANDE;22518;1678,2;39300;0,213;0,0159;0,372;88
201301;THT;AIR TAHITI NUI;F;FRANCE (OM);29755;540,4;35159;0,232;0,0045;0,277;148
201301;THY;TURKISH AIRLINES;E;TURQUIE;65269;764,8;72917;0,138;0,0017;0,155;500
201301;TOMS;THOMSONFLY (1ST);E;ROYAUME-UNI;24041;0;24041;0,022;0;0,022;130
201301;TPC;AIR CALEDONIE;F;FRANCE (OM);33641;128,1;34922;0,006;0;0,006;946
201301;TRA;TRANSAVIA PAYS BAS;E;PAYS-BAS;10776;0;10776;0,01;0;0,01;118
201301;TSC;AIR TRANSAT;E;CANADA;17707;135,3;19060;0,098;0,0007;0,105;58
201301;TSO;TRANSAERO AIRLINES;E;RUSSIE (FED. DE);10994;0;10994;0,027;0;0,027;92
201301;TVF;TRANSAVIA FRANCE;F;FRANCE;78384;2,2;78406;0,154;0;0,154;571
201301;TVS;TRAVEL SERVICE / SMARTWINGS;E;TCHEQUIE;11659;0,5;11664;0,021;0;0,021;114
201301;UAE;EMIRATES;E;EMIRATS ARABES UNIS;84351;3090,2;115253;0,433;0,016;0,593;270
201301;UAL;UNITED AIRLINES;E;ETATS-UNIS;29747;1469,7;44444;0,184;0,0095;0,279;197
201301;UPS;UPS AIRLINES;E;ETATS-UNIS;0;1771,2;17712;0;0,0036;0,036;88
201301;VLG;VUELING AIRLINES;E;ESPAGNE;128465;62,5;129090;0,124;0,0001;0,125;1110
201301;VOE;VOLOTEA;E;ESPAGNE;17533;0;17533;0,015;0;0,015;275
201301;VTA;AIR TAHITI;F;FRANCE (OM);54005;123,9;55244;0,021;0,0001;0,022;2134
201301;WZZ;WIZZ AIR;E;HONGRIE;36185;0;36185;0,052;0;0,052;279
201301;XLF;XL AIRWAYS FRANCE;F;FRANCE;70943;313,2;74075;0,479;0,0021;0,5;302
201301;ZZE; AUTRES CIE (E);E;_ZZ_E;286671;4741;334081;0,649;0,0156;0,805;12595
201301;ZZF; AUTRES CIE (F);F;_ZZ_F;27394;192,6;29320;0,052;0,0001;0,053;4137
201302;AAF;AIGLE AZUR;F;FRANCE;114441;142;115861;0,151;0,0002;0,153;1197
201302;AAL;AMERICAN AIRLINES;E;ETATS-UNIS;37703;996,5;47668;0,256;0,0069;0,325;257
201302;AAR;ASIANA AIRLINES;E;COREE DU SUD;7316;728,3;14599;0,065;0,0065;0,13;32
201302;ABR;ASL AIRLINES IRELAND;E;IRLANDE;0;1491,3;14913;0;0,0012;0,012;396
201302;ABW;AIRBRIDGE CARGO AIRLINES;E;RUSSIE (FED. DE);0;2726;27260;0;0,0067;0,067;14
201302;ACA;AIR CANADA;E;CANADA;26336;1419,8;40534;0,143;0,0081;0,224;140
201302;ACI;AIRCALIN;F;FRANCE (OM);30720;388,3;34603;0,129;0,0018;0,147;316
201302;AEA;AIR EUROPA;E;ESPAGNE;75363;140,8;76771;0,088;0,0001;0,089;629
201302;AEE;AEGEAN AIRLINES;E;GRECE;13202;82,8;14030;0,028;0,0002;0,03;100
201302;AFL;AEROFLOT;E;RUSSIE (FED. DE);33902;540,3;39305;0,085;0,0013;0,098;345
201302;AFR;AIR FRANCE;F;FRANCE;3185416;45347;3638886;9,532;0,3265;12,797;27660
201302;AIC;AIR INDIA;E;INDE;11957;859,3;20550;0,08;0,0057;0,137;56
201302;ALK;SRILANKAN AIRLINES;E;SRI LANKA;7956;347,7;11433;0,068;0,003;0,098;32
201302;ANA;ANA ALL NIPPON AIRWAYS;E;JAPON;11510;1649;28000;0,112;0,016;0,272;56
201302;ANE;AIR NOSTRUM;E;ESPAGNE;49665;0,5;49670;0,04;0;0,04;982
201302;AUA;AUSTRIAN AIRLINES;E;AUTRICHE;30744;87,4;31618;0,03;0,0001;0,031;364
201302;AWE_EX;US AIRWAYS;E;ETATS-UNIS;9879;974,2;19621;0,059;0,0058;0,117;56
201302;AZA;ALITALIA;E;ITALIE;62161;190,5;64066;0,082;0,0002;0,084;634
201302;BAW;BRITISH AIRWAYS;E;ROYAUME-UNI;167974;522,2;173196;0,118;0,0002;0,12;1772
201302;BCS1;EUROPEAN AIR TRANSPORT (1);E;BELGIQUE;0;7472,7;74727;0;0,0067;0,067;515
201302;BCY;CITYJET IRL;E;IRLANDE;28137;0;28137;0,02;0;0,02;677
201302;BEE;FLYBE;E;ROYAUME-UNI;49655;0;49655;0,028;0;0,028;899
201302;BEL;BRUSSELS AIRLINES;E;BELGIQUE;41659;17,6;41835;0,027;0;0,027;754
201302;BER;AIR BERLIN;E;ALLEMAGNE;14536;6,6;14602;0,019;0;0,019;123
201302;BGA;AIRBUS TRANSPORT INTL;F;FRANCE;0;4511,3;45113;0;0,0042;0,042;210
201302;BIE;AIR MEDITERRANEE;F;FRANCE;48938;0,1;48939;0,122;0;0,122;378
201302;BZH;BRIT AIR;F;FRANCE;120852;3,1;120883;0,065;0;0,065;2868
201302;CCA;AIR CHINA INTL;E;CHINE;16529;1811,4;34643;0,14;0,0152;0,292;78
201302;CCM;AIR CORSICA;F;FRANCE;91108;156,7;92675;0,049;0,0001;0,05;1267
201302;CES;CHINA EASTERN AIRLINES;E;CHINE;16250;1072,7;26977;0,151;0,0099;0,25;78
201302;CPA;CATHAY PACIFIC;E;HONG KONG (CHINE);25943;3251,4;58457;0,249;0,0262;0,511;122
201302;CRL;CORSAIR;F;FRANCE;97019;1859,1;115610;0,694;0,0133;0,827;264
201302;CSA;CSA CZECH AIRLINES;E;TCHEQUIE;20148;117,9;21327;0,017;0,0001;0,018;220
201302;CSN;CHINA SOUTHERN AIRLINES;E;CHINE;8691;910,3;17794;0,082;0,0086;0,168;52
201302;DAH;AIR ALGERIE;E;ALGERIE;97417;1131,1;108728;0,116;0,0015;0,131;1191
201302;DAL;DELTA AIR LINES;E;ETATS-UNIS;54357;4067,7;95034;0,374;0,0278;0,652;376
201302;DLH;LUFTHANSA;E;ALLEMAGNE;237146;978,1;246927;0,148;0,0005;0,153;3563
201302;EIN;AER LINGUS;E;IRLANDE;40547;81,2;41359;0,038;0,0001;0,039;332
201302;ELY;EL AL;E;ISRAEL;27953;617,7;34130;0,091;0,002;0,111;160
201302;ETD;ETIHAD AIRWAYS;E;EMIRATS ARABES UNIS;28114;1865;46764;0,148;0,0098;0,246;112
201302;EXS;JET2.COM;E;ROYAUME-UNI;28528;0;28528;0,027;0;0,027;220
201302;EZS;EASYJET SWITZERLAND;E;SUISSE;217207;0;217207;0,198;0;0,198;1525
201302;EZY;EASYJET UK;E;ROYAUME-UNI;887928;0;887928;0,753;0;0,753;6367
201302;FDX;FEDEX EXPRESS;E;ETATS-UNIS;0;38660,6;386606;0;0,1445;1,445;899
201302;FIN;FINNAIR;E;FINLANDE;31721;333,8;35059;0,06;0,0006;0,066;278
201302;FPO;ASL AIRLINES FRANCE;F;FRANCE;5573;7206,9;77642;0,01;0,0041;0,051;857
201302;FWI;AIR CARAIBES;F;FRANCE (OM);104365;1058,6;114951;0,525;0,0072;0,597;936
201302;GMI;GERMANIA;E;ALLEMAGNE;12453;10,1;12554;0,016;0;0,016;173
201302;GUY;CAIRE - AIR GUYANE EXPRESS;F;FRANCE (OM);20783;72,4;21507;0,006;0;0,006;1191
201302;HVN;VIETNAM AIRLINES;E;VIETNAM;21200;1642,6;37626;0,2;0,0154;0,354;80
201302;IBE;IBERIA;E;ESPAGNE;31595;102,1;32616;0,037;0,0001;0,038;263
201302;JAF;TUIFLY BELGIUM;E;BELGIQUE;49914;29,8;50212;0,092;0,0001;0,093;380
201302;JAL;JAPAN AIRLINES;E;JAPON;25181;441,5;29596;0,245;0,0043;0,288;112
201302;KAL;KOREAN AIR;E;COREE DU SUD;14357;3067,6;45033;0,128;0,0272;0,4;81
201302;KLC;KLM/CITYHOPPER;E;PAYS-BAS;53579;5,5;53634;0,046;0;0,046;711
201302;KLM;KLM;E;PAYS-BAS;38979;244,5;41424;0,016;0,0001;0,017;296
201302;LBT;NOUVELAIR;E;TUNISIE;11815;4,8;11863;0,019;0;0,019;69
201302;LOT;LOT POLISH AIRLINES;E;POLOGNE;10053;78,5;10838;0,013;0,0001;0,014;198
201302;MAC;AIR ARABIA MAROC;E;MAROC;12324;0,9;12333;0,02;0;0,02;94
201302;MAS;MALAYSIA AIRLINES;E;MALAISIE;14715;661;21325;0,154;0,0069;0,223;56
201302;MAU;AIR MAURITIUS;E;MAURICE;29143;1259;41733;0,153;0,0086;0,239;247
201302;MDG;AIR MADAGASCAR;E;MADAGASCAR;8444;340,5;11849;0,055;0,0029;0,084;84
201302;MEA;MIDDLE EAST AIRLINES;E;LIBAN;18143;583,9;23982;0,058;0,0019;0,077;112
201302;MNB;MNG AIRLINES;E;TURQUIE;2;1661,3;16615;0;0,004;0,04;45
201302;MON;MONARCH AIRLINES;E;ROYAUME-UNI;24613;0;24613;0,02;0;0,02;124
201302;MSR;EGYPT AIR;E;EGYPTE;12990;578,5;18775;0,042;0,0019;0,061;88
201302;NAX;NORWEGIAN;E;NORVEGE;28263;3,2;28295;0,043;0;0,043;207
201302;NLY;NIKI;E;AUTRICHE;11718;0,2;11720;0,012;0;0,012;114
201302;OHY;ONUR AIR;E;TURQUIE;10946;0,2;10948;0,026;0;0,026;66
201302;OMA;OMAN AIR;E;OMAN;5413;641,6;11829;0,03;0,0036;0,066;32
201302;PGT;PEGASUS;E;TURQUIE;30568;111,2;31680;0,065;0,0003;0,068;232
201302;QTR;QATAR AIRWAYS;E;QATAR;39225;2816,3;67388;0,194;0,014;0,334;170
201302;RAE;REGIONAL CAE;F;FRANCE;171437;7,6;171513;0,108;0;0,108;4635
201302;RAM;ROYAL AIR MAROC;E;MAROC;119514;872,5;128239;0,22;0,0016;0,236;999
201302;REU;AIR AUSTRAL;F;FRANCE (OM);57574;1046,4;68038;0,279;0,0085;0,364;559
201302;RLA;AIRLINAIR;F;FRANCE;23387;0,1;23388;0,01;0;0,01;1104
201302;RYR;RYANAIR;E;IRLANDE;364893;0;364893;0,374;0;0,374;2708
201302;SAS;SAS;E;SUEDE;36434;175,5;38189;0,046;0,0002;0,048;408
201302;SIA;SINGAPORE AIRLINES;E;SINGAPOUR;20711;827,1;28982;0,222;0,0089;0,311;56
201302;SRR;STAR AIR DANEMARK;E;DANEMARK;0;3381,5;33815;0;0,002;0,02;240
201302;SWR;SWISS;E;SUISSE;83010;318,9;86199;0,04;0,0001;0,041;1157
201302;TAM;TAM/BRASIL;E;BRESIL;15389;1260,4;27993;0,144;0,0118;0,262;94
201302;TAP;TAP AIR PORTUGAL;E;PORTUGAL;73747;185,8;75605;0,098;0,0003;0,101;980
201302;TAR;TUNISAIR;E;TUNISIE;75602;353,3;79135;0,097;0,0005;0,102;806
201302;TAY;ASL AIRLINES BELGIUM;E;BELGIQUE;0;2825,5;28255;0;0,0018;0,018;388
201302;THA;THAI AIRWAYS INTL;E;THAILANDE;19621;1375,8;33379;0,186;0,013;0,316;76
201302;THT;AIR TAHITI NUI;F;FRANCE (OM);22345;580,2;28147;0,169;0,0047;0,216;114
201302;THY;TURKISH AIRLINES;E;TURQUIE;60691;832;69011;0,128;0,0018;0,146;448
201302;TOMS;THOMSONFLY (1ST);E;ROYAUME-UNI;23650;0;23650;0,022;0;0,022;124
201302;TPC;AIR CALEDONIE;F;FRANCE (OM);28925;119,7;30122;0,005;0;0,005;852
201302;TRA;TRANSAVIA PAYS BAS;E;PAYS-BAS;10766;0;10766;0,009;0;0,009;98
201302;TSC;AIR TRANSAT;E;CANADA;14596;155,4;16150;0,081;0,0009;0,09;50
201302;TVF;TRANSAVIA FRANCE;F;FRANCE;75361;0;75361;0,15;0;0,15;497
201302;TVS;TRAVEL SERVICE / SMARTWINGS;E;TCHEQUIE;10320;0;10320;0,022;0;0,022;83
201302;UAE;EMIRATES;E;EMIRATS ARABES UNIS;82764;3279,3;115557;0,425;0,0168;0,593;248
201302;UAL;UNITED AIRLINES;E;ETATS-UNIS;28221;2051;48731;0,174;0,013;0,304;192
201302;UPS;UPS AIRLINES;E;ETATS-UNIS;0;1658,7;16587;0;0,0036;0,036;80
201302;VLG;VUELING AIRLINES;E;ESPAGNE;123158;58,2;123740;0,12;0,0001;0,121;1020
201302;VOE;VOLOTEA;E;ESPAGNE;15146;0;15146;0,013;0;0,013;205
201302;VTA;AIR TAHITI;F;FRANCE (OM);46625;113;47755;0,016;0,0001;0,017;1766
201302;WZZ;WIZZ AIR;E;HONGRIE;31128;0;31128;0,045;0;0,045;236
201302;XLF;XL AIRWAYS FRANCE;F;FRANCE;69715;240;72115;0,46;0,0015;0,475;293
201302;ZZE; AUTRES CIE (E);E;_ZZ_E;289506;5137,1;340877;0,741;0,0213;0,954;11960
201302;ZZF; AUTRES CIE (F);F;_ZZ_F;26045;185,2;27897;0,046;0,0002;0,048;4117
201303;AAF;AIGLE AZUR;F;FRANCE;153915;151,7;155432;0,209;0,0002;0,211;1383
201303;AAL;AMERICAN AIRLINES;E;ETATS-UNIS;56952;1082,6;67778;0,385;0,0075;0,46;308
201303;AAR;ASIANA AIRLINES;E;COREE DU SUD;7933;791,1;15844;0,071;0,0071;0,142;36
201303;ABR;ASL AIRLINES IRELAND;E;IRLANDE;0;1939,5;19395;0;0,0015;0,015;442
201303;ABW;AIRBRIDGE CARGO AIRLINES;E;RUSSIE (FED. DE);0;2725,3;27253;0;0,0067;0,067;14
201303;ACA;AIR CANADA;E;CANADA;38912;1604;54952;0,216;0,0092;0,308;159
201303;ACI;AIRCALIN;F;FRANCE (OM);26469;457,4;31043;0,117;0,0024;0,141;288
201303;AEA;AIR EUROPA;E;ESPAGNE;95021;149,4;96515;0,112;0,0002;0,114;709
